timeTick, stateX, stateY, stateZ, stateVX, stateVY, stateVZ, whisker1, whisker2, whisker3, motor1, motor2, motor3, motor4, laserHeight, laserFront, laserBack, laserUp, laserLeft, laserRight
15768, 0.013044665567576885, -0.048930004239082336, 0.5104141235351562, -0.04600737616419792, -0.0076926774345338345, 0.10395199805498123, 0, 0, 0, 53331.0, 47286.0, 50120.0, 54326.0, 501.0, 32766.0, 75.0, 32766.0, 1386.0, 1220.0
15778, 0.015714386478066444, -0.04898252338171005, 0.511435329914093, -0.039222802966833115, -0.007518763653934002, 0.09991352260112762, 0, 0, 0, 54649.0, 48781.0, 48088.0, 53098.0, 501.0, 32766.0, 76.0, 32766.0, 1386.0, 1220.0
15788, 0.010214695706963539, -0.04935382679104805, 0.5124268531799316, -0.04612792655825615, -0.00787106342613697, 0.09890229254961014, 0, 0, 0, 55624.0, 48597.0, 47734.0, 52582.0, 501.0, 32766.0, 76.0, 32766.0, 1386.0, 1220.0
15798, 0.012054232880473137, -0.048075173050165176, 0.5087786316871643, -0.04072612151503563, -0.005525216460227966, 0.07099482417106628, 0, 0, 0, 54507.0, 49516.0, 49161.0, 51979.0, 501.0, 32766.0, 76.0, 32766.0, 1386.0, 1242.0
15808, 0.00490437401458621, -0.04934138432145119, 0.5095025897026062, -0.05004667118191719, -0.007456399966031313, 0.07423083484172821, 0, 0, 0, 54007.0, 52231.0, 49602.0, 51787.0, 501.0, 32766.0, 76.0, 32766.0, 1386.0, 1242.0
15818, 0.004413688089698553, -0.04941573366522789, 0.51027911901474, -0.048087671399116516, -0.007411683443933725, 0.08107326179742813, 0, 0, 0, 54992.0, 49513.0, 50188.0, 52975.0, 501.0, 32766.0, 76.0, 32766.0, 1386.0, 1242.0
15828, 0.0025512659922242165, -0.05560275539755821, 0.5111070275306702, -0.04845648631453514, -0.01749454066157341, 0.08482933789491653, 0, 0, 0, 56301.0, 48506.0, 47973.0, 53920.0, 501.0, 32766.0, 76.0, 32766.0, 1386.0, 1242.0
15838, 0.002977163065224886, -0.05268193408846855, 0.5119730234146118, -0.04495653510093689, -0.012369023635983467, 0.08805525302886963, 0, 0, 0, 54628.0, 48188.0, 50555.0, 54304.0, 501.0, 32766.0, 76.0, 32766.0, 1386.0, 1242.0
15848, 0.0018970337696373463, -0.04932934418320656, 0.5084573030471802, -0.04411608353257179, -0.0065704467706382275, 0.06426336616277695, 0, 0, 0, 53892.0, 48507.0, 51203.0, 53897.0, 501.0, 32766.0, 76.0, 32766.0, 1386.0, 1242.0
15858, 0.0012650912394747138, -0.04872499406337738, 0.5091039538383484, -0.0423673652112484, -0.005245688371360302, 0.06506746262311935, 0, 0, 0, 54916.0, 50817.0, 51562.0, 52239.0, 501.0, 32766.0, 76.0, 32766.0, 1386.0, 1242.0
15868, 0.0004380040627438575, -0.052574630826711655, 0.509752631187439, -0.04095592349767685, -0.011141529306769371, 0.06473635137081146, 0, 0, 0, 52391.0, 53860.0, 53687.0, 49268.0, 501.0, 398.0, 76.0, 32766.0, 1386.0, 1242.0
