timeTick, roll, pitch, yaw, stateX, stateY, stateZ, stateVX, stateVY, stateVZ, stateROLL, statePITCH, stateYAW, whisker1, whisker2, whisker3, motor1, motor2, motor3, motor4, ext_pos_X,ext_pos_Y,ext_pos_Z, kalX, kalY, kalZ, kalPX, kalPY, kalPZ
507718, 2.768892765045166, -2.7702252864837646, -11.987202644348145, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.03197791054844856, -0.4179479777812958, 0.015026381239295006, 0.047419242560863495, -0.07881981134414673, 0.00511487852782011
507728, 2.7667248249053955, -2.7666711807250977, -11.975913047790527, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.03176214545965195, -0.41844069957733154, 0.015092956833541393, 0.04801436513662338, -0.08017230778932571, 0.005860050208866596
507738, 2.7674214839935303, -2.7530367374420166, -11.96310043334961, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.032159436494112015, -0.419324666261673, 0.015140257775783539, 0.04500095918774605, -0.08499304205179214, 0.006268526893109083
507748, 2.7361161708831787, -2.7402970790863037, -11.940473556518555, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.031994957476854324, -0.41943007707595825, 0.015336149372160435, 0.04475444555282593, -0.08343254774808884, 0.007384875789284706
507798, 2.6917645931243896, -2.698073387145996, -11.894806861877441, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.031994957476854324, -0.41943007707595825, 0.015336149372160435, 0.04475444555282593, -0.08343254774808884, 0.007384875789284706
507888, 2.5506155490875244, -2.7975857257843018, -11.890268325805664, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.03139524161815643, -0.4224512279033661, 0.01864488236606121, 0.043488744646310806, -0.08926916122436523, 0.019587572664022446
507978, 2.520354986190796, -2.817314386367798, -11.886486053466797, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.03139524161815643, -0.4224512279033661, 0.01864488236606121, 0.043488744646310806, -0.08926916122436523, 0.019587572664022446
508099, 2.332838773727417, -2.858220338821411, -11.86846923828125, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.03153885900974274, -0.42097291350364685, 0.016150720417499542, 0.04788694158196449, -0.08107426017522812, 0.004502411931753159
508108, 2.270782470703125, -2.9675300121307373, -11.936927795410156, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.03153885900974274, -0.42097291350364685, 0.016150720417499542, 0.04788694158196449, -0.08107426017522812, 0.004502411931753159
508428, 2.3481948375701904, -2.9068596363067627, -11.945046424865723, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.03153885900974274, -0.42097291350364685, 0.016150720417499542, 0.04788694158196449, -0.08107426017522812, 0.004502411931753159
508468, 2.2963600158691406, -2.9409115314483643, -11.995339393615723, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.03300077095627785, -0.4197015166282654, 0.016181448474526405, 0.04538140073418617, -0.07766810059547424, 0.007239397149533033
508558, 2.364152193069458, -2.923170328140259, -11.948347091674805, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.03325553238391876, -0.41965165734291077, 0.01777764782309532, 0.04519415274262428, -0.07729137688875198, 0.015590767376124859
508608, 2.398444175720215, -2.889241933822632, -11.910175323486328, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.03325553238391876, -0.41965165734291077, 0.01777764782309532, 0.04519415274262428, -0.07729137688875198, 0.015590767376124859
508648, 2.4046196937561035, -2.8904964923858643, -11.8937406539917, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.03325553238391876, -0.41965165734291077, 0.01777764782309532, 0.04519415274262428, -0.07729137688875198, 0.015590767376124859
508658, 2.5381112098693848, -2.954871892929077, -11.981621742248535, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.03325553238391876, -0.41965165734291077, 0.01777764782309532, 0.04519415274262428, -0.07729137688875198, 0.015590767376124859
508688, 2.2449541091918945, -3.0053305625915527, -11.963281631469727, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.03325553238391876, -0.41965165734291077, 0.01777764782309532, 0.04519415274262428, -0.07729137688875198, 0.015590767376124859
508738, 2.3964486122131348, -2.987485885620117, -11.940018653869629, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.03325553238391876, -0.41965165734291077, 0.01777764782309532, 0.04519415274262428, -0.07729137688875198, 0.015590767376124859
508749, 2.3932056427001953, -2.993553400039673, -11.928412437438965, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.03325553238391876, -0.41965165734291077, 0.01777764782309532, 0.04519415274262428, -0.07729137688875198, 0.015590767376124859
