timeTick, roll, pitch, yaw, gyroX, gyroY, gyroZ, stateX, stateY, stateZ, stateVX, stateVY, stateVZ, whisker1, whisker2, whisker3, motor1, motor2, motor3, motor4, otX, otY, otZ, otRoll, otPitch, otYaw, otq0, otq1, otq2, otq3
276868, 1.2314904928207397, -0.09763661026954651, -2.200838804244995, -3.950131416320801, -2.250981092453003, -2.96470046043396, 0.5373374223709106, -1.407709002494812, 0.5233445167541504, 0.004352180752903223, -0.25133615732192993, -0.04294297471642494, 0, 0, 0, 49177.0, 51390.0, 50827.0, 54565.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
276878, 1.2223647832870483, -0.10827768594026566, -2.240701913833618, 0.4124349355697632, -0.07381778210401535, -3.12286114692688, 0.5374204516410828, -1.4098045825958252, 0.5230895280838013, 0.004684512037783861, -0.25183576345443726, -0.03894476592540741, 0, 0, 0, 49462.0, 49376.0, 50936.0, 55666.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
276889, 1.2161089181900024, -0.1061062216758728, -2.2693681716918945, -0.6703063249588013, -0.9967226386070251, -2.4656944274902344, 0.5375380516052246, -1.412034273147583, 0.5229431390762329, 0.005177510902285576, -0.2531346082687378, -0.035981472581624985, 0, 0, 0, 48771.0, 50867.0, 51317.0, 54567.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
276900, 1.1941715478897095, -0.08677851408720016, -2.2888946533203125, -0.7323195934295654, -2.044975519180298, -2.324108839035034, 0.5375924110412598, -1.4140809774398804, 0.5213325619697571, 0.0052866325713694096, -0.2531566619873047, -0.04189223423600197, 0, 0, 0, 50667.0, 50036.0, 49484.0, 55411.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
276908, 1.1469179391860962, -0.12116116285324097, -2.319932222366333, -7.806176662445068, 3.394813060760498, -2.7535858154296875, 0.5376439094543457, -1.4161808490753174, 0.5210835337638855, 0.00547037273645401, -0.25334304571151733, -0.043944358825683594, 0, 0, 0, 48197.0, 49235.0, 52157.0, 56560.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
276918, 1.1424561738967896, -0.13803163170814514, -2.319584846496582, 1.981547236442566, 0.7892282605171204, 1.6890672445297241, 0.5376816391944885, -1.4185582399368286, 0.5207247734069824, 0.005544126965105534, -0.2547306716442108, -0.04765293002128601, 0, 0, 0, 48997.0, 49887.0, 51994.0, 55889.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
276928, 1.1272475719451904, -0.17700211703777313, -2.3187034130096436, -2.334817886352539, 4.617430210113525, 0.5030943155288696, 0.5377713441848755, -1.420675277709961, 0.5204781889915466, 0.005986632779240608, -0.2547810971736908, -0.04424101114273071, 0, 0, 0, 52102.0, 52737.0, 49158.0, 53399.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
276939, 1.1435564756393433, -0.22826451063156128, -2.328476667404175, 2.220426082611084, 4.571263313293457, -0.8636612892150879, 0.537969708442688, -1.4227790832519531, 0.5204171538352966, 0.0066922372207045555, -0.25544053316116333, -0.03841059282422066, 0, 0, 0, 49791.0, 49431.0, 50932.0, 56340.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
276948, 1.1022274494171143, -0.28902432322502136, -2.3556036949157715, -2.2438032627105713, 4.293706893920898, -2.8699212074279785, 0.5379804968833923, -1.4252264499664307, 0.5202967524528503, 0.006770770065486431, -0.2569946348667145, -0.03074132651090622, 0, 0, 0, 50077.0, 52155.0, 49925.0, 54227.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
276958, 1.1047019958496094, -0.3338626027107239, -2.3679745197296143, 1.0402271747589111, 4.289319038391113, -0.23451796174049377, 0.5379953980445862, -1.427366852760315, 0.5201982259750366, 0.0069115981459617615, -0.2572358548641205, -0.02509809099137783, 0, 0, 0, 49268.0, 49804.0, 50882.0, 55711.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
276968, 1.096458911895752, -0.3952674865722656, -2.390171766281128, -0.17494530975818634, 5.52724027633667, -1.0845657587051392, 0.5381667017936707, -1.429529070854187, 0.5202282071113586, 0.007816643454134464, -0.2576436698436737, -0.021644918248057365, 0, 0, 0, 49466.0, 50003.0, 50128.0, 55591.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
276978, 1.0542453527450562, -0.4661424458026886, -2.400395631790161, -3.663405179977417, 6.710011959075928, -0.7141806483268738, 0.5384024977684021, -1.4318019151687622, 0.5203465223312378, 0.0091338399797678, -0.2587149441242218, -0.016736166551709175, 0, 0, 0, 50334.0, 48901.0, 49841.0, 55725.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
276988, 1.0527241230010986, -0.5185152292251587, -2.3828463554382324, 0.8768304586410522, 4.054101943969727, 1.4256895780563354, 0.5385625958442688, -1.4339349269866943, 0.5187948346138, 0.010216115973889828, -0.25885677337646484, -0.01638704538345337, 0, 0, 0, 49568.0, 49257.0, 50232.0, 54727.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
276998, 1.0531470775604248, -0.4856039583683014, -2.399963855743408, 2.477336883544922, -6.425597667694092, -1.6461960077285767, 0.5385914444923401, -1.4362483024597168, 0.518897294998169, 0.010758832097053528, -0.25996625423431396, -0.004871185403317213, 0, 0, 0, 49675.0, 50962.0, 49584.0, 53954.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
