timeTick, stateX, stateY, stateZ, stateVX, stateVY, stateVZ, whisker1, whisker2, whisker3, motor1, motor2, motor3, motor4, laserHeight
14887, 0.04488571733236313, -0.041711095720529556, 0.18450847268104553, -0.0005514863878488541, -0.024225490167737007, 0.2836049795150757, 0, 0, 0, 51432.0, 52239.0, 51515.0, 53220.0, 173.0
14897, 0.04497469216585159, -0.044290922582149506, 0.18593336641788483, -0.0008952909847721457, -0.032220661640167236, 0.2801486849784851, 0, 0, 0, 54992.0, 48704.0, 46902.0, 55435.0, 173.0
14907, 0.04496186226606369, -0.044603247195482254, 0.1887640357017517, -0.0016598949441686273, -0.030246146023273468, 0.285988986492157, 0, 0, 0, 52953.0, 51018.0, 49232.0, 53690.0, 184.0
14917, 0.04557323828339577, -0.044711288064718246, 0.19164781272411346, 0.0003957574663218111, -0.02755475975573063, 0.290293425321579, 0, 0, 0, 54823.0, 49114.0, 46134.0, 55144.0, 184.0
14927, 0.04559757933020592, -0.044405557215213776, 0.19460895657539368, 4.64838303741999e-05, -0.0231027789413929, 0.3010590374469757, 0, 0, 0, 49762.0, 48788.0, 51729.0, 55111.0, 184.0
14937, 0.04537561535835266, -0.044488854706287384, 0.19765743613243103, -0.0010749009670689702, -0.02052224427461624, 0.30844712257385254, 0, 0, 0, 51200.0, 49826.0, 50181.0, 53230.0, 184.0
14947, 0.04536281153559685, -0.04470779374241829, 0.19919158518314362, -0.0011987299658358097, -0.018558591604232788, 0.3070017099380493, 0, 0, 0, 51863.0, 48505.0, 48521.0, 54340.0, 197.0
14957, 0.044158030301332474, -0.04514904320240021, 0.20229408144950867, -0.006059980485588312, -0.017597094178199768, 0.3136713206768036, 0, 0, 0, 52344.0, 49466.0, 48282.0, 52721.0, 197.0
14967, 0.04569738358259201, -0.046884194016456604, 0.20543378591537476, 0.00014199737051967531, -0.021940341219305992, 0.3149184286594391, 0, 0, 0, 51083.0, 50109.0, 47825.0, 52425.0, 197.0
14977, 0.044093139469623566, -0.04501614347100258, 0.20864790678024292, -0.0063712215051054955, -0.011723027564585209, 0.3255777955055237, 0, 0, 0, 51263.0, 50085.0, 47301.0, 52022.0, 197.0
14987, 0.044675443321466446, -0.044426288455724716, 0.21193188428878784, -0.0041521042585372925, -0.007090701721608639, 0.33058467507362366, 0, 0, 0, 49465.0, 49765.0, 48437.0, 52014.0, 197.0
14997, 0.04353642091155052, -0.04475051164627075, 0.20889697968959808, -0.008611179888248444, -0.006062594708055258, 0.3022264838218689, 0, 0, 0, 51349.0, 46732.0, 45690.0, 54023.0, 197.0
15007, 0.04340013861656189, -0.04511960595846176, 0.21191398799419403, -0.009161158464848995, -0.0055214338935911655, 0.30123862624168396, 0, 0, 0, 49523.0, 51268.0, 49132.0, 51293.0, 200.0
