timeTick, stateX, stateY, stateZ, stateVX, stateVY, stateVZ, whisker1, whisker2, whisker3, motor1, motor2, motor3, motor4
712638, 22.024696350097656, -0.8850841522216797, 0.004276269115507603, 0.00133788981474936, -0.006320151966065168, -0.00012532500841189176, 0, 0, 0, 0.0, 0.0, 0.0, 0.0
712648, 22.02471351623535, -0.8846839070320129, 0.0033232923597097397, 0.0013156360946595669, -0.003680471796542406, -0.0049223750829696655, 0, 0, 0, 0.0, 0.0, 0.0, 0.0
712658, 22.024717330932617, -0.8844813704490662, 0.003275422379374504, 0.0013852723641321063, -0.00213428633287549, -0.0049244677647948265, 0, 0, 0, 0.0, 0.0, 0.0, 0.0
712668, 22.024700164794922, -0.8850852251052856, 0.0032240552827715874, 0.0013871937990188599, -0.0054875323548913, -0.0050023761577904224, 0, 0, 0, 0.0, 0.0, 0.0, 0.0
712678, 22.02358627319336, -0.8848918080329895, 0.003178622107952833, -0.004543468821793795, -0.0038877117913216352, -0.004916881676763296, 0, 0, 0, 0.0, 0.0, 0.0, 0.0
712688, 22.024513244628906, -0.8832921385765076, 0.003154535312205553, 0.0004878780455328524, 0.00589316850528121, -0.004585346207022667, 0, 0, 0, 0.0, 0.0, 0.0, 0.0
712698, 22.02446937561035, -0.8850778937339783, 0.0035125829745084047, 0.0003867460472974926, -0.004968371707946062, -0.002299136482179165, 0, 0, 0, 0.0, 0.0, 0.0, 0.0
712708, 22.02449607849121, -0.8838918209075928, 0.0034993882291018963, 0.00019417218572925776, 0.0023998343385756016, -0.002230570651590824, 0, 0, 0, 0.0, 0.0, 0.0, 0.0
712718, 22.024497985839844, -0.8838669061660767, 0.003477240912616253, 0.00022258884564507753, 0.002580157481133938, -0.0021985068451613188, 0, 0, 0, 0.0, 0.0, 0.0, 0.0
712728, 22.02472496032715, -0.8838633298873901, 0.0034557636827230453, 0.001624444150365889, 0.0026049099396914244, -0.0021348288282752037, 0, 0, 0, 0.0, 0.0, 0.0, 0.0
712738, 22.024742126464844, -0.8838366866111755, 0.0034352485090494156, 0.00170743721537292, 0.0027276375330984592, -0.0019678156822919846, 0, 0, 0, 0.0, 0.0, 0.0, 0.0
712748, 22.024728775024414, -0.8842679858207703, 0.003654413390904665, 0.0017294562421739101, 2.9788565370836295e-05, -0.0005791190778836608, 0, 0, 0, 0.0, 0.0, 0.0, 0.0
