timeTick, stateX, stateY, stateZ, stateVX, stateVY, stateVZ, whisker1_1, whisker1_2, whisker1_3, whisker2_1, whisker2_2, whisker2_3, prewhisker1_1, prewhisker1_2, prewhisker1_3, prewhisker2_1, prewhisker2_2, prewhisker2_3, stateouterloop, yaw
9532, 0.0007289949571713805, -0.0023599916603416204, 0.0015448718331754208, 0.002546330215409398, -0.0015148383099585772, -0.0005496156518347561, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.020299037918448448
9552, 0.00021225116506684572, -0.0018610081169754267, 0.00171964755281806, -0.00042463658610358834, 0.0012311183381825686, 0.000378767610527575, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.01882568560540676
9572, 0.0006802449934184551, -0.0018639079062268138, 0.0017420218791812658, 0.0017736982554197311, 0.0016234603244811296, 0.0009476245031692088, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.015515156090259552
9592, 0.00020156006212346256, -0.002091463655233383, 0.0018631218699738383, -0.0006882435409352183, 0.0008883676491677761, 0.0019813019316643476, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.01630505733191967
9612, 0.0011242447653785348, -0.0018329161684960127, 0.001910459715873003, 0.004476399160921574, 0.0021775655914098024, 0.0023090117610991, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.019330283626914024
9632, 0.0006775259971618652, -0.002509005833417177, 0.0016005508368834853, 0.002048048423603177, -0.0012139880564063787, 0.000692914065439254, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.02288479171693325
9651, 0.00044383766362443566, -0.0018466502660885453, 0.0016170769231393933, 0.0012589228572323918, 0.0030600582249462605, 0.0007844250649213791, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.023033790290355682
9671, 0.0006665661931037903, -0.0020668881479650736, 0.00163548206910491, 0.002507980680093169, 0.0016978910425677896, 0.0007313895621336997, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.02071196958422661
9692, 0.0011269042734056711, -0.0018542996840551496, 0.0009221220389008522, 0.005342219490557909, 0.0028102167416363955, -0.0030535822734236717, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.02128026820719242
9711, 0.0006955192075110972, -0.0020685680210590363, 0.0008953686919994652, 0.003345656441524625, 0.002447378123179078, -0.0030935134273022413, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.022411804646253586
9732, 0.0004804006894119084, -0.0020493005868047476, 0.0013008125824853778, 0.002789572114124894, 0.0026139074470847845, -0.0001775227574398741, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0247778482735157
9751, 0.00025866206851787865, -0.001855375012382865, 0.0013004776556044817, 0.0021103746257722378, 0.003550698282197118, -0.0002881205582525581, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.02479764074087143
9771, 0.00024083150492515415, -0.0018659207271412015, 0.001578455208800733, 0.0021660965867340565, 0.0030685197561979294, 0.001057321554981172, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.02474832534790039
9791, 0.0007123243995010853, -0.0018411525525152683, 0.0016012412961572409, 0.0045767370611429214, 0.00322711537592113, 0.0012040614383295178, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.023686621338129044
9811, 0.001181181287392974, -0.0018025654135271907, 0.002535924082621932, 0.007683071307837963, 0.003319980576634407, 0.006436700001358986, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.025398558005690575
