timeTick, whisker1_1, whisker1_2, whisker1_3, yaw, laserFront
265693, 157577.359375, 119179.4921875, 157700.5625, 1.1914900541305542, 301.0
265713, 157577.359375, 119191.328125, 157702.484375, 1.193934440612793, 301.0
265733, 157575.4375, 119185.40625, 157700.5625, 1.196140170097351, 301.0
265753, 157575.4375, 119183.1953125, 157698.640625, 1.1982654333114624, 301.0
265774, 157575.4375, 119186.890625, 157698.640625, 1.2010904550552368, 299.0
265793, 157575.4375, 119179.4921875, 157700.5625, 1.2033207416534424, 299.0
265813, 157579.28125, 119185.40625, 157700.5625, 1.2048251628875732, 299.0
265833, 157577.359375, 119187.625, 157700.5625, 1.2085522413253784, 299.0
265853, 157577.359375, 119185.40625, 157698.640625, 1.2100629806518555, 299.0
265874, 157577.359375, 119189.84375, 157700.5625, 1.2110427618026733, 299.0
265893, 157577.359375, 119188.359375, 157702.484375, 1.2142935991287231, 299.0
265913, 157575.4375, 119185.40625, 157698.640625, 1.2160003185272217, 299.0
265933, 157573.515625, 119186.140625, 157696.703125, 1.2182787656784058, 299.0
265953, 157575.4375, 119183.1953125, 157696.703125, 1.219622254371643, 299.0
265973, 157573.515625, 119181.7109375, 157698.640625, 1.222238540649414, 296.0
265993, 157575.4375, 119183.1953125, 157700.5625, 1.226141095161438, 296.0
266013, 157577.359375, 119189.109375, 157700.5625, 1.227530598640442, 296.0
266033, 157577.359375, 119180.2265625, 157696.703125, 1.2298208475112915, 296.0
266053, 157577.359375, 119189.109375, 157698.640625, 1.2318634986877441, 296.0
266074, 157573.515625, 119180.9765625, 157702.484375, 1.2351220846176147, 299.0
266093, 157577.359375, 119183.1953125, 157702.484375, 1.2356356382369995, 299.0
266114, 157575.4375, 119186.890625, 157698.640625, 1.2387760877609253, 299.0
266133, 157575.4375, 119186.140625, 157700.5625, 1.2398858070373535, 299.0
266153, 157573.515625, 119181.7109375, 157702.484375, 1.2441333532333374, 299.0
266174, 157575.4375, 119181.7109375, 157698.640625, 1.2459533214569092, 299.0
266193, 157577.359375, 119186.15625, 157698.640625, 1.2464388608932495, 299.0
266213, 157579.28125, 119179.4921875, 157700.5625, 1.2482808828353882, 299.0
266234, 157575.4375, 119181.7109375, 157704.421875, 1.2506389617919922, 299.0
266253, 157579.28125, 119181.7109375, 157700.5625, 1.2534555196762085, 299.0
266273, 157573.515625, 119179.4921875, 157700.5625, 1.2553929090499878, 299.0
266293, 157577.359375, 119187.625, 157700.5625, 1.2576277256011963, 299.0
266313, 157575.4375, 119178.7578125, 157702.484375, 1.260746717453003, 299.0
266334, 157577.359375, 119183.1953125, 157698.640625, 1.262528896331787, 299.0
266353, 157573.515625, 119187.625, 157700.5625, 1.2632153034210205, 299.0
266374, 157573.515625, 119180.9765625, 157700.5625, 1.2646762132644653, 299.0
266393, 157579.28125, 119182.4453125, 157700.5625, 1.267013669013977, 299.0
