timeTick, whisker1_1, whisker1_2, whisker1_3, whisker2_1, whisker2_2, whisker2_3
374180, 157395.015625, 120130.2109375, 157506.265625, 156839.0625, 146040.671875, 155974.875
374200, 157391.1875, 120138.359375, 157508.1875, 156843.484375, 146040.0, 155977.359375
374220, 157395.015625, 120133.1640625, 157508.1875, 156847.90625, 146037.546875, 155976.1875
374241, 157393.09375, 120141.3125, 157508.1875, 156836.5625, 146035.09375, 155974.875
374260, 157395.015625, 120126.5, 157510.109375, 156830.21875, 146035.765625, 155968.015625
374281, 157395.015625, 120139.09375, 157508.1875, 156845.984375, 146035.09375, 155969.90625
374300, 157395.015625, 120130.9375, 157510.109375, 156839.0625, 146038.21875, 155969.3125
374320, 157391.1875, 120133.890625, 157512.015625, 156845.40625, 146039.328125, 155979.84375
374340, 157393.09375, 120135.3828125, 157510.109375, 156839.0625, 146035.765625, 155981.75
374360, 157395.015625, 120136.109375, 157510.109375, 156835.984375, 146040.0, 155973.703125
374380, 157395.015625, 120141.3125, 157506.265625, 156843.484375, 146040.671875, 155966.109375
374400, 157395.015625, 120136.109375, 157510.109375, 156845.984375, 146025.953125, 155966.828125
374420, 157395.015625, 120141.3125, 157510.109375, 156851.546875, 146036.875, 155974.28125
374441, 157396.921875, 120132.4296875, 157508.1875, 156845.984375, 146043.140625, 155969.3125
374461, 157395.015625, 120139.828125, 157510.109375, 156845.984375, 146039.328125, 155968.015625
374481, 157391.1875, 120137.6015625, 157510.109375, 156841.5625, 146041.78125, 155974.875
374500, 157396.921875, 120137.6015625, 157508.1875, 156845.40625, 146035.09375, 155971.796875
374520, 157395.015625, 120143.5390625, 157513.9375, 156837.125, 146030.1875, 155981.75
374540, 157395.015625, 120137.6015625, 157508.1875, 156840.984375, 146040.671875, 155974.28125
374560, 157393.09375, 120133.1640625, 157512.015625, 156850.40625, 146033.3125, 155967.421875
374580, 157396.921875, 120143.5390625, 157510.109375, 156840.984375, 146044.921875, 155968.015625
374600, 157395.015625, 120139.09375, 157510.109375, 156846.546875, 146032.640625, 155974.28125
374620, 157395.015625, 120136.109375, 157512.015625, 156841.5625, 146035.09375, 155972.390625
374640, 157391.1875, 120142.8046875, 157508.1875, 156845.984375, 146035.765625, 155974.28125
374660, 157396.921875, 120137.6015625, 157508.1875, 156845.984375, 146040.671875, 155971.796875
374680, 157393.09375, 120140.5859375, 157510.109375, 156841.5625, 146038.65625, 155971.21875
374700, 157393.09375, 120142.8046875, 157512.015625, 156855.390625, 146027.734375, 155979.265625
374720, 157395.015625, 120142.046875, 157510.109375, 156842.125, 146033.3125, 155967.421875
374741, 157396.921875, 120139.828125, 157512.015625, 156837.703125, 146037.546875, 155971.796875
374760, 157396.921875, 120141.3125, 157510.109375, 156843.484375, 146035.765625, 155972.984375
374780, 157393.09375, 120144.265625, 157506.265625, 156845.984375, 146028.40625, 155971.796875
374800, 157393.09375, 120139.0625, 157512.015625, 156847.125, 146038.21875, 155971.796875
374820, 157395.015625, 120138.3359375, 157512.015625, 156849.046875, 146035.765625, 155959.96875
374840, 157396.921875, 120140.5546875, 157512.015625, 156846.546875, 146035.09375, 155978.078125
374860, 157396.921875, 120144.265625, 157510.109375, 156850.96875, 146031.96875, 155969.90625
374881, 157395.015625, 120132.3984375, 157513.9375, 156844.046875, 146037.546875, 155969.3125
