timeTick, stateX, stateY, stateZ, stateVX, stateVY, stateVZ, motor1, motor2, motor3, motor4, yaw, laserFront
114667, 0.0, 0.0, -19.82638168334961, 0.0, 0.0, -0.12950897216796875, 0.0, 0.0, 0.0, 0.0, -1.6980116367340088, 324.0
114687, 0.0, 0.0, -19.833791732788086, 0.0, 0.0, -0.3509521484375, 0.0, 0.0, 0.0, 0.0, -1.6986887454986572, 324.0
114707, 0.0, 0.0, -19.832002639770508, 0.0, 0.0, 0.084686279296875, 0.0, 0.0, 0.0, 0.0, -1.698848009109497, 324.0
114727, 0.0, 0.0, -19.814970016479492, 0.0, 0.0, 0.8068084716796875, 0.0, 0.0, 0.0, 0.0, -1.698612928390503, 324.0
114747, 0.0, 0.0, -19.802730560302734, 0.0, 0.0, 0.579833984375, 0.0, 0.0, 0.0, 0.0, -1.698262095451355, 324.0
114787, 0.0, 0.0, -19.77631950378418, 0.0, 0.0, 0.04329681396484375, 0.0, 0.0, 0.0, 0.0, -1.6997157335281372, 325.0
114807, 0.0, 0.0, -19.771942138671875, 0.0, 0.0, 0.20732879638671875, 0.0, 0.0, 0.0, 0.0, -1.6995223760604858, 325.0
114827, 0.0, 0.0, -19.774112701416016, 0.0, 0.0, -0.10280609130859375, 0.0, 0.0, 0.0, 0.0, -1.700493335723877, 325.0
114847, 0.0, 0.0, -19.7821044921875, 0.0, 0.0, -0.37860870361328125, 0.0, 0.0, 0.0, 0.0, -1.7003315687179565, 325.0
114867, 0.0, 0.0, -19.789094924926758, 0.0, 0.0, -0.33111572265625, 0.0, 0.0, 0.0, 0.0, -1.6995840072631836, 321.0
114887, 0.0, 0.0, -19.80618667602539, 0.0, 0.0, -0.8096694946289062, 0.0, 0.0, 0.0, 0.0, -1.7028025388717651, 321.0
114907, 0.0, 0.0, -19.816913604736328, 0.0, 0.0, -0.50811767578125, 0.0, 0.0, 0.0, 0.0, -1.7021392583847046, 321.0
114927, 0.0, 0.0, -19.828201293945312, 0.0, 0.0, -0.5346298217773438, 0.0, 0.0, 0.0, 0.0, -1.7018853425979614, 321.0
114947, 0.0, 0.0, -19.822797775268555, 0.0, 0.0, 0.2559661865234375, 0.0, 0.0, 0.0, 0.0, -1.701547622680664, 321.0
114967, 0.0, 0.0, -19.826213836669922, 0.0, 0.0, -0.1617431640625, 0.0, 0.0, 0.0, 0.0, -1.7019932270050049, 323.0
114987, 0.0, 0.0, -19.832616806030273, 0.0, 0.0, -0.3032684326171875, 0.0, 0.0, 0.0, 0.0, -1.7023730278015137, 323.0
115007, 0.0, 0.0, -19.83676528930664, 0.0, 0.0, -0.1964569091796875, 0.0, 0.0, 0.0, 0.0, -1.703462839126587, 323.0
