timeTick, stateX, stateY, stateZ, stateVX, stateVY, stateVZ, motor1, motor2, motor3, motor4, otX, otY, otZ, yaw, laserFront
31384, 0.0, 0.0, -19.002103805541992, 0.0, 0.0, -0.2658843994140625, 0.0, 0.0, 0.0, 0.0, -1.1475296020507812, -0.3806757926940918, 0.026655912399291992, -0.33443188667297363, 326.0
31404, 0.0, 0.0, -19.004053115844727, 0.0, 0.0, -0.092315673828125, 0.0, 0.0, 0.0, 0.0, -1.1475372314453125, -0.38075685501098633, 0.026756227016448975, -0.33216696977615356, 326.0
31424, 0.0, 0.0, -19.009267807006836, 0.0, 0.0, -0.24700164794921875, 0.0, 0.0, 0.0, 0.0, -1.1475486755371094, -0.380795955657959, 0.026622802019119263, -0.3325798213481903, 326.0
31444, 0.0, 0.0, -19.018688201904297, 0.0, 0.0, -0.446319580078125, 0.0, 0.0, 0.0, 0.0, -1.1474952697753906, -0.38074588775634766, 0.026788294315338135, -0.3335045874118805, 326.0
31464, 0.0, 0.0, -19.004501342773438, 0.0, 0.0, 0.6719589233398438, 0.0, 0.0, 0.0, 0.0, -1.1475791931152344, -0.3807201385498047, 0.026707381010055542, -0.3344752788543701, 326.0
31484, 0.0, 0.0, -18.996126174926758, 0.0, 0.0, 0.396728515625, 0.0, 0.0, 0.0, 0.0, -1.147491455078125, -0.38077640533447266, 0.026639074087142944, -0.33375969529151917, 326.0
31504, 0.0, 0.0, -18.99765396118164, 0.0, 0.0, -0.07228851318359375, 0.0, 0.0, 0.0, 0.0, -1.1474781036376953, -0.38088464736938477, 0.02669641375541687, -0.3361835777759552, 326.0
31524, 0.0, 0.0, -19.02018928527832, 0.0, 0.0, -1.0675430297851562, 0.0, 0.0, 0.0, 0.0, -1.1475868225097656, -0.3807559013366699, 0.026631087064743042, -0.3367365598678589, 326.0
31544, 0.0, 0.0, -19.046234130859375, 0.0, 0.0, -1.233673095703125, 0.0, 0.0, 0.0, 0.0, -1.1475048065185547, -0.3807492256164551, 0.02650141716003418, -0.3361291289329529, 326.0
31584, 0.0, 0.0, -19.086669921875, 0.0, 0.0, -1.0883331298828125, 0.0, 0.0, 0.0, 0.0, -1.1474685668945312, -0.3808603286743164, 0.026718705892562866, -0.3366430103778839, 326.0
31624, 0.0, 0.0, -19.111541748046875, 0.0, 0.0, -0.690460205078125, 0.0, 0.0, 0.0, 0.0, -1.1475238800048828, -0.38074731826782227, 0.026724010705947876, -0.33631566166877747, 326.0
31644, 0.0, 0.0, -19.11971092224121, 0.0, 0.0, -0.38700103759765625, 0.0, 0.0, 0.0, 0.0, -1.1474742889404297, -0.3806614875793457, 0.026746690273284912, -0.33628591895103455, 326.0
