timeTick, laserFront
50626, 32766.0
50646, 465.0
50666, 465.0
50686, 465.0
50706, 465.0
50726, 465.0
50746, 32766.0
50766, 32766.0
50786, 32766.0
50806, 32766.0
50826, 32766.0
50847, 32766.0
50866, 32766.0
50887, 32766.0
50906, 32766.0
50926, 32766.0
50946, 32766.0
50966, 32766.0
50986, 32766.0
51006, 32766.0
51026, 32766.0
51046, 32766.0
51066, 32766.0
51086, 32766.0
51106, 32766.0
51126, 32766.0
51146, 32766.0
51166, 32766.0
51186, 32766.0
51206, 32766.0
51226, 32766.0
51246, 32766.0
51266, 32766.0
51286, 32766.0
51306, 32766.0
51326, 32766.0
51346, 32766.0
51366, 32766.0
51386, 32766.0
51406, 32766.0
51426, 32766.0
51446, 10.0
51466, 10.0
51486, 10.0
51506, 10.0
51526, 10.0
51546, 28.0
51566, 28.0
51586, 28.0
51606, 28.0
51626, 28.0
51646, 28.0
51666, 28.0
51686, 28.0
51706, 28.0
51726, 28.0
51746, 26.0
51766, 26.0
51786, 26.0
51806, 26.0
51826, 26.0
51846, 30.0
51866, 30.0
51886, 30.0
51906, 30.0
51926, 30.0
51946, 27.0
51966, 27.0
51986, 27.0
52006, 27.0
52026, 27.0
52046, 27.0
52066, 27.0
52086, 27.0
52106, 27.0
52126, 27.0
52146, 29.0
52166, 29.0
52186, 29.0
52206, 29.0
52226, 29.0
52246, 29.0
52266, 29.0
52286, 29.0
52306, 29.0
52326, 29.0
52346, 28.0
52366, 28.0
52386, 28.0
52406, 28.0
52426, 28.0
52446, 28.0
52466, 28.0
52486, 28.0
52506, 28.0
52526, 28.0
52546, 27.0
52566, 27.0
52586, 27.0
52606, 27.0
52626, 27.0
52646, 27.0
52666, 27.0
52686, 27.0
52706, 27.0
52726, 27.0
52746, 30.0
52766, 30.0
52786, 30.0
52806, 30.0
52826, 30.0
52846, 27.0
52866, 27.0
52886, 27.0
52906, 27.0
52926, 27.0
52946, 26.0
52966, 26.0
52986, 26.0
53006, 26.0
53026, 26.0
53046, 29.0
53066, 29.0
53086, 29.0
53106, 29.0
53126, 29.0
53146, 29.0
53166, 29.0
53186, 29.0
53206, 29.0
53226, 29.0
53246, 32.0
53266, 32.0
53286, 32.0
53306, 32.0
53326, 32.0
53346, 31.0
53366, 31.0
