timeTick, stateX, stateY, stateZ, stateVX, stateVY, stateVZ, yaw, laserFront
207882, 0.0, 0.0, -19.763721466064453, 0.0, 0.0, -0.21820068359375, -3.415217161178589, 326.0
207902, 0.0, 0.0, -19.77210235595703, 0.0, 0.0, -0.641632080078125, -3.416205644607544, 326.0
207922, 0.0, 0.0, -19.790454864501953, 0.0, 0.0, -1.2578964233398438, -3.4161806106567383, 326.0
207942, 0.0, 0.0, -19.816884994506836, 0.0, 0.0, -1.5110015869140625, -3.4161808490753174, 326.0
207962, 0.0, 0.0, -19.8397159576416, 0.0, 0.0, -0.92315673828125, -3.414327383041382, 326.0
207982, 0.0, 0.0, -19.856595993041992, 0.0, 0.0, -0.8571624755859375, -3.4150593280792236, 326.0
208002, 0.0, 0.0, -19.8709774017334, 0.0, 0.0, -0.66680908203125, -3.414630651473999, 326.0
208022, 0.0, 0.0, -19.883201599121094, 0.0, 0.0, -0.6221771240234375, -3.4149086475372314, 326.0
208042, 0.0, 0.0, -19.8979434967041, 0.0, 0.0, -0.9141921997070312, -3.413973331451416, 326.0
208062, 0.0, 0.0, -19.916582107543945, 0.0, 0.0, -1.0412216186523438, -3.4138596057891846, 322.0
208082, 0.0, 0.0, -19.92755126953125, 0.0, 0.0, -0.1598358154296875, -3.41422438621521, 322.0
208102, 0.0, 0.0, -19.92864418029785, 0.0, 0.0, 0.03452301025390625, -3.413628339767456, 322.0
208122, 0.0, 0.0, -19.920124053955078, 0.0, 0.0, 0.8209228515625, -3.413264274597168, 322.0
208142, 0.0, 0.0, -19.903352737426758, 0.0, 0.0, 0.93841552734375, -3.410670280456543, 322.0
208162, 0.0, 0.0, -19.885665893554688, 0.0, 0.0, 0.9241104125976562, -3.41196870803833, 327.0
208182, 0.0, 0.0, -19.86740493774414, 0.0, 0.0, 0.9944915771484375, -3.4127824306488037, 327.0
208202, 0.0, 0.0, -19.853952407836914, 0.0, 0.0, 0.45013427734375, -3.4126219749450684, 327.0
208282, 0.0, 0.0, -19.82537078857422, 0.0, 0.0, -0.5357742309570312, -3.4151041507720947, 321.0
208302, 0.0, 0.0, -19.837812423706055, 0.0, 0.0, -0.7619857788085938, -3.414947271347046, 321.0
208322, 0.0, 0.0, -19.84482765197754, 0.0, 0.0, -0.01583099365234375, -3.416063070297241, 321.0
208342, 0.0, 0.0, -19.84372901916504, 0.0, 0.0, 0.1239776611328125, -3.4146361351013184, 321.0
208362, 0.0, 0.0, -19.843795776367188, 0.0, 0.0, -0.118255615234375, -3.4153687953948975, 328.0
208382, 0.0, 0.0, -19.841991424560547, 0.0, 0.0, 0.286865234375, -3.4165878295898438, 328.0
