timeTick, stateX, stateY, stateZ, stateVX, stateVY, stateVZ, whisker1_1, whisker1_2, whisker1_3, whisker2_1, whisker2_2, whisker2_3, motor1, motor2, motor3, motor4, yaw, laserFront
182892, 0.0, 0.0, -27.199892044067383, 0.0, 0.0, -1.10321044921875, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, -0.48637643456459045, 281.0
182912, 0.0, 0.0, -27.21766471862793, 0.0, 0.0, -0.7843017578125, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, -0.487474650144577, 281.0
182932, 0.0, 0.0, -27.2288875579834, 0.0, 0.0, -0.41656494140625, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, -0.4869827926158905, 281.0
182952, 0.0, 0.0, -27.222339630126953, 0.0, 0.0, 1.0295867919921875, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, -0.48383548855781555, 281.0
182972, 0.0, 0.0, -27.204187393188477, 0.0, 0.0, 0.8886337280273438, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, -0.4851428270339966, 281.0
182992, 0.0, 0.0, -27.188718795776367, 0.0, 0.0, 0.7471084594726562, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, -0.4855249226093292, 281.0
183012, 0.0, 0.0, -27.177034378051758, 0.0, 0.0, 0.49591064453125, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, -0.48430055379867554, 281.0
183032, 0.0, 0.0, -27.170467376708984, 0.0, 0.0, 0.21038055419921875, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, -0.4833368957042694, 281.0
183052, 0.0, 0.0, -27.1737060546875, 0.0, 0.0, -0.5130767822265625, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, -0.4822310209274292, 281.0
183072, 0.0, 0.0, -27.173458099365234, 0.0, 0.0, 0.48656463623046875, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, -0.4846351444721222, 283.0
183092, 0.0, 0.0, -27.161582946777344, 0.0, 0.0, 0.7495880126953125, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, -0.48672792315483093, 283.0
183112, 0.0, 0.0, -27.150680541992188, 0.0, 0.0, 0.41561126708984375, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, -0.48526060581207275, 283.0
183132, 0.0, 0.0, -27.14575958251953, 0.0, 0.0, 0.11806488037109375, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, -0.48391491174697876, 283.0
183152, 0.0, 0.0, -27.14674949645996, 0.0, 0.0, -0.205230712890625, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, -0.4848480522632599, 283.0
183172, 0.0, 0.0, -27.147249221801758, 0.0, 0.0, 0.1346588134765625, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, -0.4854622483253479, 286.0
183192, 0.0, 0.0, -27.14549446105957, 0.0, 0.0, 0.05435943603515625, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, -0.4855979382991791, 286.0
183212, 0.0, 0.0, -27.147300720214844, 0.0, 0.0, -0.22945404052734375, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, -0.48517146706581116, 286.0
183232, 0.0, 0.0, -27.160245895385742, 0.0, 0.0, -1.08795166015625, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, -0.48517075181007385, 286.0
183252, 0.0, 0.0, -27.169008255004883, 0.0, 0.0, 0.102996826171875, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, -0.4871334135532379, 286.0
183272, 0.0, 0.0, -27.168615341186523, 0.0, 0.0, -0.05340576171875, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, -0.48627519607543945, 283.0
183292, 0.0, 0.0, -27.16952896118164, 0.0, 0.0, -0.04329681396484375, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, -0.486551433801651, 283.0
183312, 0.0, 0.0, -27.168901443481445, 0.0, 0.0, 0.10166168212890625, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, -0.48613470792770386, 283.0
183332, 0.0, 0.0, -27.15950584411621, 0.0, 0.0, 0.8480072021484375, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, -0.48684194684028625, 283.0
183352, 0.0, 0.0, -27.152935028076172, 0.0, 0.0, -0.106048583984375, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, -0.48744261264801025, 283.0
