timeTick, whisker1_1, whisker1_2, whisker1_3, whisker2_1, whisker2_2, whisker2_3
31482, 157843.390625, 117252.65625, 157973.046875, 153561.5625, 140848.546875, 151845.671875
31502, 157845.3125, 117259.28125, 157974.984375, 153564.65625, 140853.4375, 151843.203125
31522, 157841.453125, 117257.0703125, 157973.046875, 153549.6875, 140857.28125, 151843.203125
31542, 157843.390625, 117261.4921875, 157973.046875, 153558.484375, 140854.84375, 151853.125
31562, 157843.390625, 117251.9296875, 157974.984375, 153549.6875, 140867.375, 151854.359375
31582, 157845.3125, 117258.5390625, 157973.046875, 153565.96875, 140858.3125, 151847.546875
31602, 157843.390625, 117263.6953125, 157973.046875, 153571.546875, 140852.40625, 151856.84375
31622, 157847.25, 117260.0234375, 157971.109375, 153557.171875, 140851.6875, 151853.125
31662, 157839.515625, 117261.4921875, 157973.046875, 153559.0625, 140855.875, 151853.75
31682, 157845.3125, 117265.90625, 157974.984375, 153554.671875, 140863.90625, 151853.125
31702, 157845.3125, 117260.0234375, 157973.046875, 153566.546875, 140859.71875, 151854.984375
31722, 157849.1875, 117263.6953125, 157971.109375, 153566.546875, 140859.71875, 151854.984375
31762, 157843.390625, 117267.375, 157974.984375, 153552.171875, 140863.90625, 151848.78125
31782, 157843.390625, 117262.9765625, 157971.109375, 153552.171875, 140863.90625, 151848.78125
31802, 157845.3125, 117269.5859375, 157973.046875, 153560.96875, 140865.640625, 151850.015625
31822, 157843.390625, 117266.6484375, 157976.921875, 153559.0625, 140870.515625, 151857.46875
31842, 157839.515625, 117262.9765625, 157973.046875, 153549.6875, 140865.640625, 151850.015625
31862, 157845.3125, 117268.1171875, 157973.046875, 153560.96875, 140863.90625, 151872.96875
31882, 157843.390625, 117255.609375, 157974.984375, 153555.984375, 140870.515625, 151860.5625
31902, 157845.3125, 117265.90625, 157973.046875, 153557.171875, 140867.75, 151868.625
31922, 157843.390625, 117265.1640625, 157974.984375, 153559.65625, 140872.953125, 151853.734375
31942, 157845.3125, 117262.9609375, 157971.109375, 153559.65625, 140872.953125, 151853.734375
31962, 157839.515625, 117271.0625, 157973.046875, 153564.0625, 140869.484375, 151857.46875
32002, 157843.390625, 117263.6953125, 157973.046875, 153559.0625, 140871.921875, 151866.140625
32122, 157843.390625, 117266.6484375, 157973.046875, 153564.65625, 140871.921875, 151858.703125
32162, 157841.453125, 117267.390625, 157971.109375, 153559.0625, 140870.1875, 151871.109375
32202, 157841.453125, 117269.6015625, 157971.109375, 153554.671875, 140876.8125, 151868.0
32222, 157845.3125, 117271.0625, 157971.109375, 153554.671875, 140876.8125, 151868.0
32242, 157841.453125, 117264.4375, 157973.046875, 153564.0625, 140873.671875, 151874.828125
32262, 157843.390625, 117267.390625, 157969.171875, 153559.65625, 140869.484375, 151850.640625
32282, 157845.3125, 117269.6015625, 157971.109375, 153562.15625, 140871.921875, 151874.828125
32302, 157843.390625, 117267.390625, 157969.171875, 153554.671875, 140879.953125, 151871.109375
32322, 157845.3125, 117268.859375, 157969.171875, 153549.6875, 140874.375, 151872.96875
32342, 157843.390625, 117267.390625, 157971.109375, 153555.859375, 140892.484375, 151860.5625
32362, 157841.453125, 117271.0625, 157973.046875, 153559.65625, 140885.875, 151870.484375
32382, 157847.25, 117273.2734375, 157973.046875, 153569.046875, 140873.671875, 151861.1875
32402, 157845.3125, 117267.390625, 157971.109375, 153557.765625, 140871.921875, 151865.515625
32422, 157843.390625, 117267.390625, 157969.171875, 153557.171875, 140874.375, 151868.625
32462, 157843.390625, 117274.015625, 157971.109375, 153560.25, 140885.171875, 151872.96875
32482, 157839.515625, 117273.2734375, 157974.984375, 153567.140625, 140885.875, 151867.390625
32502, 157843.390625, 117281.3671875, 157971.109375, 153570.234375, 140885.875, 151870.484375
32542, 157843.390625, 117276.953125, 157971.109375, 153564.65625, 140887.28125, 151881.03125
32562, 157841.453125, 117281.3671875, 157973.046875, 153564.65625, 140887.28125, 151881.03125
