timeTick, stateX, stateY, stateZ, stateVX, stateVY, stateVZ, whisker1_1, whisker1_2, whisker1_3, whisker2_1, whisker2_2, whisker2_3, yaw, laserFront
474521, -1.556936502456665, -2.026742935180664, 0.00846999604254961, 0.011172421276569366, 0.02386787161231041, 0.00032672766246832907, 157402.671875, 120315.4140625, 157531.234375, 156783.40625, 146360.359375, 156099.078125, -0.564233660697937, 319.0
474541, -1.556962490081787, -2.0267746448516846, 0.008456594310700893, 0.011083465069532394, 0.023605920374393463, -1.460336170566734e-05, 157402.671875, 120317.640625, 157529.3125, 156789.765625, 146368.84375, 156099.078125, -0.564233660697937, 319.0
474561, -1.556937336921692, -2.0267138481140137, 0.008456296287477016, 0.011164666153490543, 0.023681703954935074, 9.6338008006569e-05, 157402.671875, 120317.640625, 157529.3125, 156786.6875, 146361.03125, 156096.59375, -0.5643227100372314, 317.0
474581, -1.5569579601287842, -2.0267608165740967, 0.008454791270196438, 0.011078501120209694, 0.02342268079519272, 0.00018231470312457532, 157404.59375, 120318.3671875, 157527.390625, 156789.1875, 146367.0625, 156100.96875, -0.5622318387031555, 317.0
474601, -1.5570000410079956, -2.026825189590454, 0.008462277241051197, 0.01064272690564394, 0.023273948580026627, 0.0002852390753105283, 157404.59375, 120318.3671875, 157527.390625, 156782.84375, 146365.265625, 156090.3125, -0.5619308352470398, 317.0
474622, -1.5569260120391846, -2.026637315750122, 0.00844502728432417, 0.011102695018053055, 0.023626334965229034, -0.0002189009974244982, 157402.671875, 120315.4140625, 157527.390625, 156787.265625, 146367.0625, 156094.6875, -0.5602335333824158, 317.0
474641, -1.5569902658462524, -2.0268049240112305, 0.008448573760688305, 0.01088988222181797, 0.023038305342197418, -0.0002612809475976974, 157402.671875, 120316.90625, 157525.46875, 156784.1875, 146363.484375, 156096.0, -0.5596609115600586, 317.0
474662, -1.5570290088653564, -2.026860475540161, 0.008424553088843822, 0.010862542316317558, 0.02278224565088749, -0.00038198273978196084, 157404.59375, 120320.625, 157529.3125, 156785.34375, 146365.9375, 156081.671875, -0.5586942434310913, 324.0
474681, -1.556974172592163, -2.0267691612243652, 0.008436384610831738, 0.01121105719357729, 0.023333262652158737, -0.00021868324256502092, 157400.765625, 120311.734375, 157529.3125, 156782.84375, 146366.390625, 156084.75, -0.5577542185783386, 324.0
474701, -1.5569403171539307, -2.026689291000366, 0.008426724933087826, 0.011408036574721336, 0.023837974295020103, -8.20578497950919e-05, 157404.59375, 120317.640625, 157527.390625, 156784.765625, 146360.359375, 156099.078125, -0.5582569241523743, 324.0
474721, -1.5569692850112915, -2.0267512798309326, 0.008430501446127892, 0.011241232044994831, 0.02340121567249298, -0.0003395553503651172, 157402.671875, 120310.96875, 157529.3125, 156780.34375, 146362.140625, 156088.546875, -0.5572882294654846, 324.0
474741, -1.5569710731506348, -2.026764154434204, 0.008407062850892544, 0.011083578690886497, 0.023346232250332832, -0.00037867322680540383, 157406.515625, 120315.4140625, 157527.390625, 156778.421875, 146363.484375, 156089.71875, -0.5563508868217468, 324.0
474761, -1.5569100379943848, -2.026641607284546, 0.008417646400630474, 0.011247153393924236, 0.02379763312637806, -0.0003615349705796689, 157402.671875, 120321.3515625, 157529.3125, 156786.6875, 146365.265625, 156094.109375, -0.5568992495536804, 320.0
474781, -1.5569355487823486, -2.0266668796539307, 0.008409462869167328, 0.0109168766066432, 0.023617640137672424, -0.00034749944461509585, 157404.59375, 120316.90625, 157523.546875, 156784.765625, 146360.359375, 156092.796875, -0.5552758574485779, 320.0
474801, -1.5569761991500854, -2.026735544204712, 0.008401508443057537, 0.010587536729872227, 0.023639531806111336, -0.00019374473777133971, 157406.515625, 120315.4140625, 157527.390625, 156772.28125, 146364.59375, 156086.65625, -0.5552079081535339, 320.0
474821, -1.556938648223877, -2.0266647338867188, 0.008419077843427658, 0.010984868742525578, 0.023864589631557465, -0.00020980232511647046, 157404.59375, 120314.6875, 157529.3125, 156783.40625, 146364.59375, 156089.140625, -0.5563503503799438, 320.0
474841, -1.5569491386413574, -2.026644229888916, 0.008402897976338863, 0.010983741842210293, 0.023995868861675262, -0.00021352764451876283, 157402.671875, 120313.1953125, 157527.390625, 156778.421875, 146371.96875, 156093.515625, -0.5541955232620239, 320.0
474861, -1.5570390224456787, -2.026810884475708, 0.008382957428693771, 0.010704933665692806, 0.023429175838828087, -0.0003066580684389919, 157402.671875, 120316.90625, 157527.390625, 156789.1875, 146366.390625, 156093.515625, -0.5525947213172913, 320.0
474881, -1.5569454431533813, -2.026629686355591, 0.008405891247093678, 0.011284462176263332, 0.024087615311145782, -7.538262434536591e-05, 157402.671875, 120316.90625, 157527.390625, 156787.265625, 146361.46875, 156094.109375, -0.5522383451461792, 324.0
474901, -1.557073712348938, -2.026919364929199, 0.008409625850617886, 0.010774683207273483, 0.023020481690764427, -0.00013368732470553368, 157404.59375, 120316.140625, 157527.390625, 156778.421875, 146359.6875, 156091.03125, -0.5510810017585754, 324.0
474922, -1.5570060014724731, -2.0268309116363525, 0.008437294512987137, 0.011115750297904015, 0.023197215050458908, -4.447972969501279e-05, 157404.59375, 120314.6875, 157525.46875, 156784.765625, 146359.6875, 156092.203125, -0.5505558252334595, 324.0
474941, -1.5570482015609741, -2.0268781185150146, 0.008409101516008377, 0.011127985082566738, 0.02289823442697525, 0.00012297776993364096, 157404.59375, 120314.6875, 157529.3125, 156779.765625, 146357.90625, 156096.59375, -0.5494411587715149, 324.0
474962, -1.5569995641708374, -2.0268094539642334, 0.008416958153247833, 0.011398758739233017, 0.02297711931169033, 0.00013330271758604795, 157404.59375, 120313.953125, 157529.3125, 156784.1875, 146363.265625, 156096.0, -0.5537567138671875, 319.0
474981, -1.5570266246795654, -2.026878595352173, 0.00841948576271534, 0.011140170507133007, 0.022569572553038597, 0.00033709913259372115, 157404.59375, 120310.2421875, 157529.3125, 156778.984375, 146356.109375, 156088.546875, -0.5537567138671875, 319.0
475001, -1.5570425987243652, -2.026939868927002, 0.008458036929368973, 0.010736863128840923, 0.02268976718187332, 0.0007954586762934923, 157408.421875, 120319.1328125, 157529.3125, 156770.359375, 146364.59375, 156089.140625, -0.5537295341491699, 319.0
475022, -1.556999921798706, -2.0268421173095703, 0.008443142287433147, 0.010855206288397312, 0.022897152230143547, 0.00045754489838145673, 157404.59375, 120309.4765625, 157525.46875, 156787.265625, 146361.46875, 156088.546875, -0.5522434115409851, 319.0
475041, -1.5570197105407715, -2.026886224746704, 0.008462154306471348, 0.010808269493281841, 0.022918177768588066, 0.00046870444202795625, 157406.515625, 120322.84375, 157529.3125, 156784.1875, 146359.6875, 156087.234375, -0.5562387108802795, 319.0
