timeTick, whisker1_1, whisker1_2, whisker1_3, whisker2_1, whisker2_2, whisker2_3, laserFront
809961, 157619.671875, 119038.4296875, 157746.84375, 155528.609375, 144116.28125, 154455.59375, 314.0
809971, 157617.75, 119031.78125, 157746.84375, 155534.359375, 144119.140625, 154455.0, 314.0
809982, 157619.671875, 119034.734375, 157746.84375, 155520.53125, 144116.28125, 154456.875, 314.0
809991, 157619.671875, 119046.5703125, 157744.90625, 155526.109375, 144113.15625, 154466.8125, 314.0
810001, 157621.59375, 119043.6015625, 157750.703125, 155524.1875, 144119.140625, 154467.421875, 314.0
810012, 157617.75, 119034.734375, 157744.90625, 155533.59375, 144124.71875, 154450.03125, 314.0
810021, 157617.75, 119042.8671875, 157746.84375, 155526.109375, 144117.375, 154459.359375, 314.0
810032, 157619.671875, 119038.4296875, 157746.84375, 155527.453125, 144116.28125, 154455.0, 314.0
810041, 157621.59375, 119042.1328125, 157744.90625, 155527.265625, 144111.375, 154458.078125, 314.0
810051, 157619.671875, 119033.265625, 157748.765625, 155525.34375, 144109.609375, 154453.109375, 314.0
810061, 157619.671875, 119038.4296875, 157746.84375, 155531.09375, 144116.6875, 154450.625, 324.0
810073, 157617.75, 119040.6484375, 157744.90625, 155529.1875, 144118.046875, 154452.515625, 324.0
810081, 157617.75, 119038.4296875, 157746.84375, 155525.53125, 144103.34375, 154451.90625, 324.0
810091, 157619.671875, 119043.6171875, 157746.84375, 155525.53125, 144103.34375, 154451.90625, 324.0
810101, 157621.59375, 119038.4296875, 157744.90625, 155526.109375, 144118.734375, 154448.140625, 324.0
810111, 157621.59375, 119043.6015625, 157746.84375, 155528.609375, 144108.9375, 154450.03125, 324.0
810122, 157621.59375, 119038.4296875, 157744.90625, 155526.109375, 144122.265625, 154450.03125, 324.0
810131, 157617.75, 119036.21875, 157744.90625, 155531.09375, 144119.8125, 154457.484375, 324.0
810141, 157621.59375, 119038.4296875, 157744.90625, 155529.1875, 144118.046875, 154451.90625, 324.0
810151, 157621.59375, 119034.0, 157748.765625, 155528.609375, 144120.5, 154445.0625, 324.0
810161, 157617.75, 119039.9140625, 157744.90625, 155528.03125, 144125.796875, 154453.109375, 321.0
810172, 157619.671875, 119041.3984375, 157742.984375, 155529.1875, 144113.828125, 154445.0625, 321.0
810181, 157619.671875, 119038.4296875, 157741.046875, 155533.015625, 144122.265625, 154458.078125, 321.0
810191, 157619.671875, 119032.515625, 157748.765625, 155526.109375, 144113.828125, 154445.65625, 321.0
810201, 157617.75, 119033.265625, 157748.765625, 155521.109375, 144111.375, 154449.421875, 321.0
810211, 157617.75, 119039.9140625, 157746.84375, 155530.515625, 144111.375, 154455.59375, 321.0
810221, 157617.75, 119037.6953125, 157741.046875, 155528.609375, 144119.8125, 154449.421875, 321.0
810231, 157617.75, 119037.6953125, 157741.046875, 155530.515625, 144110.015625, 154452.515625, 321.0
810241, 157619.671875, 119034.734375, 157741.046875, 155538.015625, 144116.28125, 154459.359375, 321.0
810251, 157619.671875, 119036.21875, 157742.984375, 155523.609375, 144115.59375, 154453.109375, 321.0
810261, 157619.671875, 119034.0, 157746.84375, 155525.53125, 144113.15625, 154456.875, 321.0
810273, 157619.671875, 119042.1328125, 157744.90625, 155522.265625, 144115.59375, 154456.875, 321.0
810281, 157619.671875, 119042.1328125, 157744.90625, 155533.015625, 144122.265625, 154450.03125, 321.0
