timeTick, stateX, stateY, stateZ, stateVX, stateVY, stateVZ, whisker1_1, whisker1_2, whisker1_3, whisker2_1, whisker2_2, whisker2_3, motor1, motor2, motor3, motor4, yaw, laserFront
714516, 0.0, 0.0, -26.999134063720703, 0.0, 0.0, -0.11386871337890625, 157535.078125, 119596.4453125, 157665.875, 155605.796875, 143467.125, 153937.234375, 0.0, 0.0, 0.0, 0.0, -2.046590566635132, 290.0
714536, 0.0, 0.0, -26.99998664855957, 0.0, 0.0, 0.0171661376953125, 157531.234375, 119610.515625, 157665.875, 155610.21875, 143481.125, 153944.09375, 0.0, 0.0, 0.0, 0.0, -2.0482096672058105, 290.0
714556, 0.0, 0.0, -26.994497299194336, 0.0, 0.0, 0.5334854125976562, 157535.078125, 119607.5390625, 157665.875, 155603.296875, 143475.546875, 153947.84375, 0.0, 0.0, 0.0, 0.0, -2.049295663833618, 281.0
714576, 0.0, 0.0, -26.9829158782959, 0.0, 0.0, 0.6780624389648438, 157538.921875, 119601.6171875, 157660.109375, 155617.125, 143471.328125, 153946.578125, 0.0, 0.0, 0.0, 0.0, -2.0492632389068604, 281.0
714596, 0.0, 0.0, -26.96803855895996, 0.0, 0.0, 0.87738037109375, 157538.921875, 119597.171875, 157663.953125, 155622.125, 143479.75, 153944.09375, 0.0, 0.0, 0.0, 0.0, -2.0503671169281006, 281.0
714616, 0.0, 0.0, -26.959596633911133, 0.0, 0.0, 0.0545501708984375, 157535.078125, 119607.5390625, 157662.03125, 155613.28125, 143474.84375, 153942.8125, 0.0, 0.0, 0.0, 0.0, -2.0509166717529297, 281.0
714636, 0.0, 0.0, -26.95265007019043, 0.0, 0.0, 0.6456375122070312, 157537.0, 119604.5859375, 157665.875, 155605.21875, 143482.203125, 153942.875, 0.0, 0.0, 0.0, 0.0, -2.050340414047241, 281.0
714656, 0.0, 0.0, -26.94133758544922, 0.0, 0.0, 0.5502700805664062, 157533.15625, 119603.1015625, 157665.875, 155617.125, 143465.359375, 153952.140625, 0.0, 0.0, 0.0, 0.0, -2.0496256351470947, 287.0
714676, 0.0, 0.0, -26.93274688720703, 0.0, 0.0, 0.36373138427734375, 157537.0, 119606.8125, 157663.953125, 155606.375, 143471.328125, 153962.75, 0.0, 0.0, 0.0, 0.0, -2.047921895980835, 287.0
714696, 0.0, 0.0, -26.92133331298828, 0.0, 0.0, 0.814056396484375, 157533.15625, 119603.8359375, 157665.875, 155613.859375, 143471.328125, 153944.09375, 0.0, 0.0, 0.0, 0.0, -2.047351121902466, 287.0
714716, 0.0, 0.0, -26.904953002929688, 0.0, 0.0, 0.9054183959960938, 157535.078125, 119609.03125, 157667.8125, 155608.875, 143473.78125, 153924.21875, 0.0, 0.0, 0.0, 0.0, -2.0467076301574707, 287.0
714736, 0.0, 0.0, -26.884273529052734, 0.0, 0.0, 1.2529373168945312, 157533.15625, 119609.7578125, 157663.953125, 155606.375, 143478.671875, 153949.046875, 0.0, 0.0, 0.0, 0.0, -2.045501708984375, 287.0
714756, 0.0, 0.0, -26.86777114868164, 0.0, 0.0, 0.522613525390625, 157535.078125, 119606.078125, 157662.03125, 155612.125, 143475.546875, 153949.046875, 0.0, 0.0, 0.0, 0.0, -2.0440173149108887, 283.0
714776, 0.0, 0.0, -26.862934112548828, 0.0, 0.0, 0.0133514404296875, 157537.0, 119609.7578125, 157665.875, 155598.3125, 143470.640625, 153954.015625, 0.0, 0.0, 0.0, 0.0, -2.0433666706085205, 283.0
714796, 0.0, 0.0, -26.85997200012207, 0.0, 0.0, 0.2841949462890625, 157535.078125, 119601.6171875, 157663.953125, 155612.703125, 143473.78125, 153956.5, 0.0, 0.0, 0.0, 0.0, -2.044322967529297, 283.0
714816, 0.0, 0.0, -26.85647964477539, 0.0, 0.0, 0.0934600830078125, 157535.078125, 119601.6171875, 157663.953125, 155612.703125, 143468.875, 153944.6875, 0.0, 0.0, 0.0, 0.0, -2.0425221920013428, 283.0
714836, 0.0, 0.0, -26.85624885559082, 0.0, 0.0, -0.06103515625, 157535.078125, 119601.6171875, 157663.953125, 155605.796875, 143461.53125, 153954.015625, 0.0, 0.0, 0.0, 0.0, -2.042572498321533, 283.0
714856, 0.0, 0.0, -26.85565185546875, 0.0, 0.0, 0.11463165283203125, 157538.921875, 119600.1484375, 157663.953125, 155622.703125, 143476.234375, 153944.6875, 0.0, 0.0, 0.0, 0.0, -2.0431487560272217, 299.0
714876, 0.0, 0.0, -26.85369110107422, 0.0, 0.0, 0.09288787841796875, 157538.921875, 119600.8828125, 157662.03125, 155605.796875, 143478.671875, 153955.296875, 0.0, 0.0, 0.0, 0.0, -2.041524887084961, 299.0
714896, 0.0, 0.0, -26.852924346923828, 0.0, 0.0, -0.006866455078125, 157535.078125, 119609.7578125, 157663.953125, 155608.296875, 143481.8125, 153942.203125, 0.0, 0.0, 0.0, 0.0, -2.0423645973205566, 299.0
714916, 0.0, 0.0, -26.8505802154541, 0.0, 0.0, 0.24051666259765625, 157537.0, 119604.5859375, 157663.953125, 155598.3125, 143474.46875, 153939.125, 0.0, 0.0, 0.0, 0.0, -2.0404880046844482, 299.0
714936, 0.0, 0.0, -26.852481842041016, 0.0, 0.0, -0.406646728515625, 157533.15625, 119601.6171875, 157663.953125, 155616.546875, 143473.78125, 153944.09375, 0.0, 0.0, 0.0, 0.0, -2.0423896312713623, 299.0
714956, 0.0, 0.0, -26.858068466186523, 0.0, 0.0, -0.1926422119140625, 157535.078125, 119609.7578125, 157662.03125, 155614.046875, 143473.09375, 153941.0, 0.0, 0.0, 0.0, 0.0, -2.041656494140625, 286.0
714976, 0.0, 0.0, -26.860815048217773, 0.0, 0.0, -0.10128021240234375, 157538.921875, 119606.8125, 157663.953125, 155615.78125, 143481.125, 153934.15625, 0.0, 0.0, 0.0, 0.0, -2.0427541732788086, 286.0
714996, 0.0, 0.0, -26.86090660095215, 0.0, 0.0, 0.0820159912109375, 157535.078125, 119606.8125, 157663.953125, 155610.21875, 143471.328125, 153952.8125, 0.0, 0.0, 0.0, 0.0, -2.0427541732788086, 286.0
715016, 0.0, 0.0, -26.861419677734375, 0.0, 0.0, -0.1251220703125, 157537.0, 119600.1484375, 157663.953125, 155603.875, 143482.890625, 153931.671875, 0.0, 0.0, 0.0, 0.0, -2.0442163944244385, 286.0
