timeTick, whisker1_1, whisker1_2, whisker1_3, whisker2_1, whisker2_2, whisker2_3
958187, 157631.21875, 118935.75, 157760.34375, 155371.09375, 143892.6875, 154269.453125
958208, 157631.21875, 118935.75, 157758.421875, 155371.09375, 143899.34375, 154266.96875
958227, 157625.453125, 118934.265625, 157758.421875, 155367.265625, 143901.796875, 154271.9375
958248, 157629.296875, 118935.75, 157758.421875, 155376.09375, 143894.4375, 154273.21875
958267, 157627.375, 118920.9609375, 157758.421875, 155364.765625, 143908.46875, 154276.296875
958288, 157629.296875, 118935.015625, 157760.34375, 155371.09375, 143904.9375, 154264.484375
958307, 157631.21875, 118927.6171875, 157754.5625, 155362.265625, 143904.25, 154273.8125
958327, 157633.140625, 118929.8359375, 157758.421875, 155356.109375, 143909.15625, 154254.546875
958348, 157627.375, 118932.796875, 157758.421875, 155368.59375, 143900.03125, 154275.703125
958367, 157631.21875, 118934.28125, 157756.484375, 155357.28125, 143896.890625, 154268.84375
958387, 157633.140625, 118935.015625, 157760.34375, 155367.265625, 143901.796875, 154266.96875
958407, 157629.296875, 118926.8828125, 157764.203125, 155364.1875, 143904.9375, 154269.453125
958427, 157629.296875, 118935.015625, 157760.34375, 155366.09375, 143898.65625, 154276.296875
958447, 157629.296875, 118931.3203125, 157758.421875, 155364.765625, 143897.578125, 154261.390625
958467, 157633.140625, 118929.8359375, 157760.34375, 155362.265625, 143904.9375, 154271.328125
958488, 157633.140625, 118929.1015625, 157760.34375, 155368.59375, 143906.703125, 154270.734375
958507, 157633.140625, 118923.921875, 157762.28125, 155356.6875, 143905.625, 154258.90625
958527, 157629.296875, 118929.1015625, 157754.5625, 155366.09375, 143907.78125, 154268.25
958548, 157629.296875, 118929.8359375, 157758.421875, 155361.6875, 143899.34375, 154268.84375
958567, 157629.296875, 118925.3984375, 157760.34375, 155364.1875, 143899.34375, 154262.0
958587, 157631.21875, 118929.1015625, 157758.421875, 155363.609375, 143892.0, 154275.703125
958607, 157633.140625, 118921.703125, 157760.34375, 155359.765625, 143898.265625, 154268.84375
958627, 157627.375, 118926.8828125, 157760.34375, 155359.1875, 143910.90625, 154261.390625
958648, 157629.296875, 118922.453125, 157756.484375, 155363.609375, 143895.125, 154271.328125
958667, 157629.296875, 118930.5703125, 157758.421875, 155359.1875, 143901.796875, 154270.734375
958687, 157627.375, 118931.3203125, 157756.484375, 155356.6875, 143903.5625, 154275.703125
958707, 157631.21875, 118927.6171875, 157758.421875, 155354.78125, 143904.25, 154276.296875
958728, 157629.296875, 118925.3984375, 157756.484375, 155370.515625, 143904.9375, 154261.390625
958747, 157625.453125, 118923.921875, 157760.34375, 155367.265625, 143904.25, 154275.703125
958767, 157631.21875, 118926.8828125, 157756.484375, 155361.6875, 143901.796875, 154271.328125
958787, 157627.375, 118924.6640625, 157760.34375, 155365.515625, 143901.796875, 154270.734375
958807, 157633.140625, 118929.8359375, 157758.421875, 155364.1875, 143903.5625, 154263.875
958828, 157629.296875, 118932.0546875, 157756.484375, 155366.09375, 143899.34375, 154271.328125
958849, 157631.21875, 118931.3203125, 157762.28125, 155366.09375, 143906.015625, 154275.703125
958867, 157629.296875, 118926.8828125, 157756.484375, 155362.265625, 143901.796875, 154257.03125
958887, 157627.375, 118924.6640625, 157756.484375, 155364.765625, 143906.015625, 154268.25
958907, 157629.296875, 118929.1015625, 157758.421875, 155369.171875, 143897.578125, 154266.359375
958927, 157633.140625, 118923.1875, 157754.5625, 155364.1875, 143900.03125, 154266.359375
958947, 157627.375, 118932.0546875, 157760.34375, 155368.015625, 143898.65625, 154273.8125
958967, 157629.296875, 118922.453125, 157756.484375, 155361.6875, 143904.25, 154275.09375
958988, 157631.21875, 118927.6171875, 157760.34375, 155366.6875, 143906.703125, 154273.21875
959007, 157631.21875, 118929.1015625, 157758.421875, 155366.09375, 143906.015625, 154265.078125
959027, 157631.21875, 118925.3984375, 157756.484375, 155360.53125, 143900.03125, 154265.765625
959048, 157627.375, 118933.53125, 157760.34375, 155361.109375, 143899.34375, 154273.8125
959067, 157627.375, 118932.0546875, 157760.34375, 155363.609375, 143901.796875, 154262.0
959087, 157631.21875, 118929.1015625, 157758.421875, 155352.28125, 143901.796875, 154273.21875
959107, 157629.296875, 118934.265625, 157758.421875, 155365.515625, 143899.34375, 154266.96875
959127, 157629.296875, 118925.3984375, 157756.484375, 155357.859375, 143893.359375, 154275.703125
959148, 157631.21875, 118929.1015625, 157760.34375, 155368.015625, 143900.03125, 154258.90625
959167, 157627.375, 118925.3984375, 157760.34375, 155363.03125, 143897.578125, 154271.9375
959187, 157629.296875, 118923.1875, 157760.34375, 155368.59375, 143899.34375, 154271.328125
959207, 157631.21875, 118929.8359375, 157760.34375, 155372.25, 143896.890625, 154264.484375
959227, 157631.21875, 118936.5, 157760.34375, 155361.6875, 143904.25, 154266.359375
959249, 157631.21875, 118926.8828125, 157762.28125, 155356.6875, 143898.65625, 154270.734375
959267, 157631.21875, 118929.8359375, 157760.34375, 155373.015625, 143894.4375, 154273.8125
