timeTick, whisker1_1, whisker1_2, whisker1_3, whisker2_1, whisker2_2, whisker2_3, yaw, laserFront
185509, 157571.59375, 119124.046875, 157692.859375, 156289.0, 144969.484375, 155073.5625, 1.0701981782913208, 302.0
185530, 157571.59375, 119126.265625, 157690.921875, 156291.5, 144964.578125, 155071.671875, 1.073995590209961, 302.0
185549, 157571.59375, 119115.1796875, 157689.0, 156288.4375, 144962.125, 155079.71875, 1.0766738653182983, 302.0
185569, 157571.59375, 119123.3125, 157689.0, 156300.921875, 144966.34375, 155079.71875, 1.0797559022903442, 305.0
185589, 157571.59375, 119120.34375, 157690.921875, 156296.5, 144968.796875, 155067.296875, 1.0823010206222534, 305.0
185609, 157573.515625, 119121.828125, 157689.0, 156292.078125, 144967.03125, 155086.578125, 1.0848134756088257, 305.0
185629, 157569.671875, 119125.53125, 157690.921875, 156291.5, 144965.671875, 155072.265625, 1.0877708196640015, 305.0
185650, 157573.515625, 119124.78125, 157689.0, 156299.0, 144963.890625, 155072.265625, 1.0905930995941162, 305.0
185669, 157569.671875, 119124.046875, 157692.859375, 156295.34375, 144968.796875, 155079.125, 1.0935665369033813, 303.0
185689, 157569.671875, 119124.78125, 157690.921875, 156298.421875, 144971.25, 155071.078125, 1.095994472503662, 303.0
185709, 157573.515625, 119124.046875, 157687.078125, 156294.0, 144969.484375, 155071.078125, 1.0980395078659058, 303.0
185729, 157573.515625, 119127.0, 157690.921875, 156294.0, 144969.484375, 155067.296875, 1.1003602743148804, 303.0
185750, 157571.59375, 119127.0, 157690.921875, 156295.921875, 144972.609375, 155083.484375, 1.1019619703292847, 303.0
185769, 157573.515625, 119127.7421875, 157690.921875, 156299.0, 144964.578125, 155080.40625, 1.103474736213684, 303.0
185790, 157569.671875, 119123.296875, 157690.921875, 156295.34375, 144967.03125, 155075.34375, 1.106357455253601, 303.0
185809, 157573.515625, 119129.9609375, 157690.921875, 156294.0, 144962.796875, 155066.703125, 1.1083277463912964, 303.0
185829, 157569.671875, 119122.5625, 157690.921875, 156292.078125, 144968.796875, 155077.234375, 1.1111294031143188, 303.0
185849, 157573.515625, 119138.828125, 157690.921875, 156290.9375, 144970.15625, 155076.046875, 1.1126407384872437, 303.0
185869, 157569.671875, 119127.0, 157692.859375, 156300.34375, 144958.984375, 155079.71875, 1.1149814128875732, 303.0
185890, 157569.671875, 119125.53125, 157687.078125, 156294.0, 144964.578125, 155072.859375, 1.1179851293563843, 303.0
185909, 157573.515625, 119121.828125, 157687.078125, 156291.5, 144962.796875, 155082.203125, 1.1200392246246338, 303.0
185930, 157569.671875, 119124.78125, 157692.859375, 156284.59375, 144964.578125, 155071.671875, 1.1213480234146118, 303.0
185949, 157567.75, 119134.3984375, 157692.859375, 156292.078125, 144974.390625, 155071.671875, 1.1225935220718384, 303.0
185969, 157573.515625, 119126.265625, 157689.0, 156297.078125, 144967.703125, 155067.296875, 1.1243948936462402, 303.0
185990, 157569.671875, 119127.7421875, 157690.921875, 156292.078125, 144962.125, 155090.34375, 1.1250712871551514, 303.0
186009, 157571.59375, 119126.265625, 157689.0, 156300.34375, 144962.125, 155076.640625, 1.1281574964523315, 303.0
186029, 157569.671875, 119127.7421875, 157690.921875, 156298.421875, 144966.34375, 155074.75, 1.131414532661438, 303.0
186049, 157569.671875, 119131.4453125, 157689.0, 156294.0, 144971.9375, 155077.921875, 1.1348661184310913, 303.0
186069, 157571.59375, 119129.9609375, 157689.0, 156305.34375, 144962.125, 155073.5625, 1.1391292810440063, 306.0
186090, 157571.59375, 119125.53125, 157689.0, 156302.84375, 144968.796875, 155079.125, 1.141771912574768, 306.0
186109, 157569.671875, 119121.078125, 157692.859375, 156299.0, 144969.484375, 155076.046875, 1.1438751220703125, 306.0
186149, 157571.59375, 119122.5625, 157690.921875, 156294.0, 144971.25, 155072.953125, 1.1487634181976318, 306.0
186169, 157569.671875, 119127.0, 157689.0, 156294.0, 144971.25, 155072.953125, 1.1487634181976318, 302.0
186189, 157571.59375, 119128.4765625, 157690.921875, 156296.5, 144963.890625, 155083.484375, 1.1546329259872437, 302.0
186209, 157571.59375, 119122.5625, 157689.0, 156290.9375, 144968.796875, 155087.859375, 1.1558846235275269, 302.0
186229, 157567.75, 119128.4765625, 157692.859375, 156291.5, 144966.34375, 155076.640625, 1.158259630203247, 302.0
186249, 157573.515625, 119124.046875, 157687.078125, 156296.5, 144969.484375, 155080.40625, 1.1605427265167236, 302.0
186270, 157569.671875, 119127.7421875, 157690.921875, 156296.5, 144967.03125, 155076.046875, 1.1626845598220825, 301.0
186291, 157575.4375, 119122.5625, 157690.921875, 156292.65625, 144968.125, 155076.046875, 1.1649106740951538, 301.0
186309, 157573.515625, 119128.4765625, 157689.0, 156305.90625, 144969.484375, 155069.1875, 1.1675411462783813, 301.0
186329, 157569.671875, 119127.0078125, 157689.0, 156302.84375, 144968.796875, 155083.484375, 1.1681928634643555, 301.0
186349, 157573.515625, 119130.6953125, 157694.78125, 156294.578125, 144965.671875, 155076.046875, 1.1727681159973145, 301.0
186369, 157569.671875, 119128.4765625, 157689.0, 156295.921875, 144973.703125, 155074.75, 1.1739860773086548, 300.0
186390, 157567.75, 119128.4765625, 157690.921875, 156297.265625, 144968.796875, 155083.484375, 1.174971103668213, 300.0
186409, 157567.75, 119126.265625, 157690.921875, 156298.421875, 144971.25, 155083.484375, 1.1781458854675293, 300.0
186429, 157569.671875, 119134.3984375, 157690.921875, 156302.84375, 144969.484375, 155074.15625, 1.1789522171020508, 300.0
186449, 157569.671875, 119124.78125, 157689.0, 156297.078125, 144973.703125, 155073.5625, 1.1811776161193848, 300.0
186469, 157573.515625, 119130.6953125, 157689.0, 156297.078125, 144973.703125, 155073.5625, 1.1842097043991089, 300.0
186489, 157575.4375, 119130.6953125, 157689.0, 156302.265625, 144973.703125, 155078.53125, 1.1857025623321533, 300.0
186509, 157569.671875, 119129.9609375, 157692.859375, 156297.84375, 144969.484375, 155079.125, 1.190242052078247, 300.0
186529, 157569.671875, 119132.1796875, 157689.0, 156298.421875, 144968.796875, 155079.125, 1.1927226781845093, 300.0
