timeTick, stateX, stateY, stateZ, stateVX, stateVY, stateVZ, whisker2_1, whisker2_2, whisker2_3, motor1, motor2, motor3, motor4, yaw, laserFront
312565, 0.0, 0.0, -26.560373306274414, 0.0, 0.0, 0.9954452514648438, 155806.359375, 143711.578125, 154076.765625, 0.0, 0.0, 0.0, 0.0, -0.8615354299545288, 286.0
312585, 0.0, 0.0, -26.540752410888672, 0.0, 0.0, 0.9294509887695312, 155814.421875, 143721.375, 154094.140625, 0.0, 0.0, 0.0, 0.0, -0.8633135557174683, 286.0
312605, 0.0, 0.0, -26.536287307739258, 0.0, 0.0, 0.21152496337890625, 155798.09375, 143707.375, 154082.328125, 0.0, 0.0, 0.0, 0.0, -0.8628293871879578, 286.0
312625, 0.0, 0.0, -26.543060302734375, 0.0, 0.0, -0.3208160400390625, 155808.859375, 143712.265625, 154064.34375, 0.0, 0.0, 0.0, 0.0, -0.8623327612876892, 286.0
312645, 0.0, 0.0, -26.548025131225586, 0.0, 0.0, -0.23517608642578125, 155797.515625, 143718.921875, 154077.359375, 0.0, 0.0, 0.0, 0.0, -0.8613496422767639, 286.0
312665, 0.0, 0.0, -26.538541793823242, 0.0, 0.0, 0.44918060302734375, 155800.78125, 143712.265625, 154062.46875, 0.0, 0.0, 0.0, 0.0, -0.8608657717704773, 286.0
312685, 0.0, 0.0, -26.54436683654785, 0.0, 0.0, -0.27599334716796875, 155797.515625, 143715.796875, 154081.125, 0.0, 0.0, 0.0, 0.0, -0.858928918838501, 286.0
312705, 0.0, 0.0, -26.55687713623047, 0.0, 0.0, -0.5926132202148438, 155803.28125, 143717.171875, 154081.734375, 0.0, 0.0, 0.0, 0.0, -0.8597249388694763, 286.0
312725, 0.0, 0.0, -26.56700897216797, 0.0, 0.0, -0.479888916015625, 155798.859375, 143714.71875, 154097.234375, 0.0, 0.0, 0.0, 0.0, -0.8603962659835815, 286.0
312745, 0.0, 0.0, -26.57677459716797, 0.0, 0.0, -0.46253204345703125, 155806.359375, 143716.484375, 154081.734375, 0.0, 0.0, 0.0, 0.0, -0.8604303002357483, 286.0
312765, 0.0, 0.0, -26.58000946044922, 0.0, 0.0, -0.15316009521484375, 155787.53125, 143714.03125, 154079.84375, 0.0, 0.0, 0.0, 0.0, -0.8587356805801392, 285.0
312785, 0.0, 0.0, -26.58055305480957, 0.0, 0.0, -0.02574920654296875, 155801.9375, 143714.71875, 154086.703125, 0.0, 0.0, 0.0, 0.0, -0.8581796884536743, 285.0
312805, 0.0, 0.0, -26.567487716674805, 0.0, 0.0, 0.6189346313476562, 155801.359375, 143716.484375, 154073.0, 0.0, 0.0, 0.0, 0.0, -0.8568719625473022, 285.0
312825, 0.0, 0.0, -26.57612419128418, 0.0, 0.0, -0.40912628173828125, 155797.515625, 143712.265625, 154077.96875, 0.0, 0.0, 0.0, 0.0, -0.8578360676765442, 285.0
312845, 0.0, 0.0, -26.593507766723633, 0.0, 0.0, -0.8234024047851562, 155813.265625, 143715.796875, 154089.78125, 0.0, 0.0, 0.0, 0.0, -0.8597093820571899, 285.0
312865, 0.0, 0.0, -26.61745834350586, 0.0, 0.0, -1.134490966796875, 155790.609375, 143709.8125, 154079.84375, 0.0, 0.0, 0.0, 0.0, -0.8593881130218506, 286.0
312885, 0.0, 0.0, -26.62750816345215, 0.0, 0.0, -0.47607421875, 155801.9375, 143710.5, 154088.578125, 0.0, 0.0, 0.0, 0.0, -0.859656035900116, 286.0
312905, 0.0, 0.0, -26.634611129760742, 0.0, 0.0, -0.336456298828125, 155803.859375, 143706.0, 154084.8125, 0.0, 0.0, 0.0, 0.0, -0.8592802882194519, 286.0
312925, 0.0, 0.0, -26.641921997070312, 0.0, 0.0, -0.34637451171875, 155794.453125, 143709.8125, 154086.703125, 0.0, 0.0, 0.0, 0.0, -0.8598935604095459, 286.0
312945, 0.0, 0.0, -26.63849449157715, 0.0, 0.0, 0.16231536865234375, 155796.359375, 143715.796875, 154087.90625, 0.0, 0.0, 0.0, 0.0, -0.8611918091773987, 286.0
312965, 0.0, 0.0, -26.640911102294922, 0.0, 0.0, -0.11444091796875, 155789.453125, 143718.921875, 154073.609375, 0.0, 0.0, 0.0, 0.0, -0.8607882857322693, 279.0
312985, 0.0, 0.0, -26.642868041992188, 0.0, 0.0, -0.0926971435546875, 155802.703125, 143709.8125, 154074.28125, 0.0, 0.0, 0.0, 0.0, -0.8611279726028442, 279.0
313005, 0.0, 0.0, -26.651206970214844, 0.0, 0.0, -0.39501190185546875, 155801.359375, 143724.90625, 154081.046875, 0.0, 0.0, 0.0, 0.0, -0.8621679544448853, 279.0
313025, 0.0, 0.0, -26.641338348388672, 0.0, 0.0, 0.46749114990234375, 155801.359375, 143706.296875, 154068.03125, 0.0, 0.0, 0.0, 0.0, -0.8631855249404907, 279.0
313045, 0.0, 0.0, -26.638540267944336, 0.0, 0.0, 0.13256072998046875, 155799.4375, 143709.8125, 154077.359375, 0.0, 0.0, 0.0, 0.0, -0.8618224859237671, 279.0
313065, 0.0, 0.0, -26.62900161743164, 0.0, 0.0, 0.45185089111328125, 155803.28125, 143717.171875, 154078.5625, 0.0, 0.0, 0.0, 0.0, -0.8628050088882446, 292.0
