timeTick, whisker1_1, whisker1_2, whisker1_3, whisker2_1, whisker2_2, whisker2_3, yaw
38039, 157685.140625, 118375.375, 157806.671875, 155323.609375, 143312.0, 153908.328125, -0.2907501757144928
38059, 157685.140625, 118379.0703125, 157812.46875, 155320.53125, 143315.515625, 153920.8125, -0.2906992435455322
38079, 157687.078125, 118384.96875, 157810.546875, 155325.515625, 143315.515625, 153917.65625, -0.29009339213371277
38099, 157685.140625, 118379.0703125, 157808.609375, 155324.9375, 143315.515625, 153910.203125, -0.2915547490119934
38119, 157687.078125, 118377.59375, 157812.46875, 155318.03125, 143322.171875, 153915.25, -0.29250940680503845
38139, 157685.140625, 118379.0703125, 157808.609375, 155325.515625, 143313.0625, 153903.359375, -0.29329073429107666
38159, 157685.140625, 118373.1640625, 157812.46875, 155329.9375, 143325.6875, 153923.90625, -0.2927245795726776
38179, 157687.078125, 118380.5390625, 157810.546875, 155321.109375, 143314.828125, 153905.234375, -0.2945353388786316
38199, 157685.140625, 118379.0703125, 157810.546875, 155316.109375, 143320.40625, 153912.6875, -0.29258009791374207
38219, 157689.0, 118372.421875, 157814.40625, 155321.109375, 143312.375, 153902.15625, -0.2921335995197296
38239, 157689.0, 118381.28125, 157806.671875, 155322.4375, 143313.0625, 153913.96875, -0.2908492386341095
38259, 157689.0, 118373.1640625, 157812.46875, 155318.03125, 143330.578125, 153919.53125, -0.29040011763572693
38279, 157687.078125, 118376.8515625, 157808.609375, 155317.453125, 143317.953125, 153907.71875, -0.2923886775970459
38299, 157687.078125, 118376.8515625, 157808.609375, 155318.03125, 143309.921875, 153914.5625, -0.29120227694511414
38319, 157690.921875, 118380.5390625, 157808.609375, 155323.609375, 143319.71875, 153912.078125, -0.2903127372264862
38339, 157685.140625, 118380.5390625, 157808.609375, 155314.953125, 143310.609375, 153919.53125, -0.2894684672355652
38359, 157685.140625, 118372.421875, 157808.609375, 155330.515625, 143324.625, 153916.453125, -0.28931352496147156
