timeTick, whisker1_1, whisker1_2, whisker1_3, whisker2_1, whisker2_2, whisker2_3
165763, 157679.359375, 118430.71875, 157804.75, 154305.265625, 142663.953125, 153074.109375
165783, 157677.4375, 118435.8828125, 157802.8125, 154317.0, 142670.609375, 153076.59375
165803, 157679.359375, 118443.265625, 157806.671875, 154318.921875, 142671.296875, 153085.90625
165823, 157679.359375, 118435.1484375, 157806.671875, 154304.53125, 142666.40625, 153071.015625
165843, 157675.515625, 118432.1953125, 157806.671875, 154304.53125, 142666.40625, 153071.015625
165883, 157675.515625, 118439.5703125, 157806.671875, 154311.421875, 142673.046875, 153076.59375
165903, 157679.359375, 118445.4765625, 157808.609375, 154318.328125, 142656.609375, 153083.421875
165923, 157677.4375, 118438.09375, 157806.671875, 154307.03125, 142666.40625, 153072.234375
165943, 157677.4375, 118433.671875, 157804.75, 154314.65625, 142664.65625, 153081.5625
165963, 157681.296875, 118438.8359375, 157808.609375, 154318.328125, 142664.65625, 153080.953125
165983, 157681.296875, 118434.40625, 157802.8125, 154303.9375, 142656.609375, 153076.59375
166003, 157677.4375, 118451.3828125, 157806.671875, 154318.328125, 142668.15625, 153080.953125
166023, 157679.359375, 118435.1484375, 157804.75, 154318.328125, 142668.15625, 153080.953125
166043, 157675.515625, 118441.7890625, 157804.75, 154301.453125, 142674.796875, 153086.515625
166063, 157679.359375, 118437.359375, 157810.546875, 154315.25, 142657.3125, 153084.640625
166083, 157679.359375, 118437.359375, 157806.671875, 154307.609375, 142670.609375, 153090.265625
166123, 157677.4375, 118436.625, 157810.546875, 154312.015625, 142668.84375, 153076.59375
166143, 157677.4375, 118439.578125, 157804.75, 154300.125, 142670.609375, 153082.171875
166163, 157677.4375, 118435.8828125, 157806.671875, 154318.328125, 142668.84375, 153081.5625
166183, 157677.4375, 118438.8359375, 157806.671875, 154318.328125, 142668.84375, 153081.5625
166203, 157681.296875, 118435.1484375, 157804.75, 154310.109375, 142666.40625, 153081.5625
166223, 157677.4375, 118441.046875, 157806.671875, 154308.34375, 142663.953125, 153079.6875
166263, 157677.4375, 118434.40625, 157804.75, 154305.84375, 142664.65625, 153076.59375
166303, 157677.4375, 118432.9296875, 157804.75, 154303.359375, 142661.515625, 153082.8125
166323, 157677.4375, 118441.046875, 157806.671875, 154315.25, 142668.84375, 153091.484375
166343, 157675.515625, 118436.625, 157804.75, 154310.84375, 142661.515625, 153077.203125
166363, 157679.359375, 118438.8359375, 157806.671875, 154320.828125, 142654.859375, 153085.90625
166383, 157677.4375, 118441.046875, 157804.75, 154320.828125, 142654.859375, 153085.90625
166403, 157681.296875, 118432.9296875, 157806.671875, 154320.828125, 142654.859375, 153085.90625
166423, 157677.4375, 118445.4765625, 157808.609375, 154310.84375, 142673.046875, 153083.421875
166443, 157675.515625, 118435.8828125, 157806.671875, 154315.25, 142674.4375, 153090.875
166463, 157677.4375, 118444.7421875, 157808.609375, 154311.421875, 142664.65625, 153075.984375
166483, 157677.4375, 118446.21875, 157806.671875, 154313.921875, 142667.09375, 153088.390625
166503, 157677.4375, 118436.625, 157804.75, 154314.515625, 142678.640625, 153084.03125
166523, 157679.359375, 118441.7890625, 157806.671875, 154307.03125, 142669.546875, 153097.109375
166543, 157677.4375, 118431.453125, 157806.671875, 154325.8125, 142673.75, 153081.5625
166563, 157677.4375, 118439.5703125, 157806.671875, 154313.921875, 142666.40625, 153085.296875
166603, 157675.515625, 118438.1015625, 157806.671875, 154322.0, 142673.046875, 153083.421875
166643, 157677.4375, 118439.5703125, 157802.8125, 154319.5, 142670.609375, 153069.140625
166663, 157677.4375, 118439.5703125, 157810.546875, 154319.5, 142670.609375, 153069.140625
166703, 157675.515625, 118444.0, 157804.75, 154312.015625, 142673.046875, 153089.0
166723, 157679.359375, 118436.625, 157802.8125, 154311.421875, 142678.640625, 153091.53125
166763, 157675.515625, 118441.7890625, 157808.609375, 154305.125, 142681.078125, 153090.875
166783, 157677.4375, 118439.5703125, 157806.671875, 154319.5, 142678.640625, 153086.515625
166803, 157677.4375, 118439.5703125, 157804.75, 154320.234375, 142673.046875, 153089.0
166843, 157677.4375, 118442.5234375, 157804.75, 154320.234375, 142673.046875, 153089.0
166863, 157677.4375, 118437.359375, 157802.8125, 154317.0, 142674.4375, 153092.75
166883, 157677.4375, 118429.9765625, 157806.671875, 154316.421875, 142667.796875, 153082.171875
166903, 157677.4375, 118435.1484375, 157806.671875, 154335.203125, 142676.1875, 153090.875
166923, 157675.515625, 118441.046875, 157802.8125, 154318.921875, 142677.9375, 153091.484375
166943, 157679.359375, 118441.046875, 157804.75, 154309.515625, 142674.4375, 153093.359375
166963, 157675.515625, 118442.5234375, 157806.671875, 154308.9375, 142669.546875, 153098.9375
166983, 157677.4375, 118434.40625, 157806.671875, 154312.015625, 142673.75, 153093.359375
167003, 157679.359375, 118437.359375, 157804.75, 154313.921875, 142676.1875, 153089.0
167083, 157677.4375, 118444.0, 157806.671875, 154324.5, 142685.28125, 153077.8125
167103, 157677.4375, 118435.8828125, 157804.75, 154317.0, 142673.046875, 153090.265625
167123, 157679.359375, 118439.5703125, 157806.671875, 154317.0, 142673.046875, 153090.265625
167143, 157677.4375, 118448.4296875, 157806.671875, 154317.0, 142673.046875, 153090.265625
167163, 157675.515625, 118444.7421875, 157804.75, 154313.921875, 142674.4375, 153088.390625
167183, 157673.578125, 118443.265625, 157806.671875, 154323.90625, 142667.09375, 153089.0
167203, 157677.4375, 118441.7890625, 157804.75, 154315.828125, 142678.640625, 153085.90625
167223, 157677.4375, 118440.3125, 157804.75, 154318.921875, 142675.5, 153082.78125
