timeTick, yaw, laserFront
127718, -2.368600845336914, 324.0
127738, -2.364398241043091, 324.0
127759, -2.368680238723755, 324.0
127778, -2.3589558601379395, 322.0
127798, -2.363513231277466, 322.0
127818, -2.3603944778442383, 322.0
127839, -2.350289821624756, 322.0
127858, -2.3466665744781494, 322.0
127878, -2.3422389030456543, 319.0
127899, -2.344071865081787, 319.0
127918, -2.3517227172851562, 319.0
127938, -2.3403823375701904, 319.0
127958, -2.3431284427642822, 319.0
127978, -2.339836597442627, 318.0
127998, -2.3434455394744873, 318.0
128018, -2.3466012477874756, 318.0
128038, -2.347818613052368, 318.0
128058, -2.3369901180267334, 318.0
128078, -2.3397040367126465, 320.0
128098, -2.3363285064697266, 320.0
128118, -2.346006393432617, 320.0
128138, -2.342698097229004, 320.0
128158, -2.3448843955993652, 320.0
128178, -2.346966505050659, 32766.0
128199, -2.3481204509735107, 32766.0
128218, -2.338987112045288, 32766.0
128238, -2.3415451049804688, 32766.0
128258, -2.3373234272003174, 32766.0
128278, -2.33414363861084, 319.0
128298, -2.330251932144165, 319.0
128318, -2.3307743072509766, 319.0
128338, -2.331683397293091, 319.0
128358, -2.327859878540039, 319.0
128378, -2.323880195617676, 321.0
128398, -2.319261312484741, 321.0
128418, -2.3156931400299072, 321.0
128438, -2.3134922981262207, 321.0
128458, -2.321855068206787, 321.0
128478, -2.328732490539551, 324.0
128499, -2.3359384536743164, 324.0
128518, -2.33351469039917, 324.0
128540, -2.333627700805664, 324.0
128558, -2.3297667503356934, 324.0
128578, -2.3250036239624023, 319.0
128598, -2.3279011249542236, 319.0
128618, -2.335933208465576, 319.0
128639, -2.3441200256347656, 319.0
128658, -2.3400378227233887, 319.0
128678, -2.3487000465393066, 323.0
128699, -2.3461365699768066, 323.0
128718, -2.3497259616851807, 323.0
128738, -2.3506038188934326, 323.0
128758, -2.353811025619507, 323.0
128778, -2.3499934673309326, 320.0
128799, -2.3521084785461426, 320.0
128818, -2.3561394214630127, 320.0
128838, -2.3501205444335938, 320.0
128858, -2.3521528244018555, 320.0
128878, -2.352451801300049, 315.0
128899, -2.3638508319854736, 315.0
128918, -2.3690881729125977, 315.0
128938, -2.3747360706329346, 315.0
128958, -2.377718210220337, 315.0
128978, -2.38078236579895, 32766.0
128998, -2.3924455642700195, 32766.0
129018, -2.3984410762786865, 32766.0
129038, -2.4065210819244385, 32766.0
129058, -2.4143941402435303, 32766.0
129078, -2.420109748840332, 323.0
129099, -2.404646396636963, 323.0
129118, -2.4220449924468994, 323.0
129138, -2.425220489501953, 323.0
129158, -2.428392171859741, 323.0
129178, -2.43432879447937, 325.0
129199, -2.4434900283813477, 325.0
129218, -2.453885316848755, 325.0
129239, -2.444530963897705, 325.0
129258, -2.451345205307007, 325.0
129278, -2.451293468475342, 32766.0
129300, -2.4481494426727295, 32766.0
129318, -2.4583094120025635, 32766.0
129338, -2.4692015647888184, 32766.0
129358, -2.4580466747283936, 32766.0
129378, -2.4480741024017334, 335.0
129399, -2.4482760429382324, 335.0
129418, -2.4500887393951416, 335.0
129439, -2.462290048599243, 335.0
129458, -2.4568700790405273, 335.0
129478, -2.452876567840576, 341.0
129500, -2.4634978771209717, 341.0
129518, -2.475895881652832, 341.0
129539, -2.4602880477905273, 341.0
129558, -2.477296829223633, 341.0
129578, -2.4793550968170166, 346.0
129599, -2.480156183242798, 346.0
129618, -2.48077654838562, 346.0
129639, -2.500542163848877, 346.0
129658, -2.475600242614746, 346.0
129678, -2.484484910964966, 332.0
129700, -2.4999427795410156, 332.0
129718, -2.4912619590759277, 332.0
129740, -2.5040266513824463, 332.0
129758, -2.504434108734131, 332.0
129778, -2.5094940662384033, 334.0
129798, -2.49988055229187, 334.0
129818, -2.5049376487731934, 334.0
129838, -2.4949371814727783, 334.0
129858, -2.510108232498169, 334.0
129878, -2.503279447555542, 32766.0
129898, -2.51627516746521, 32766.0
129918, -2.5240061283111572, 32766.0
129940, -2.5433971881866455, 32766.0
129958, -2.554964303970337, 32766.0
129979, -2.5694713592529297, 335.0
130000, -2.5754165649414062, 335.0
130018, -2.5693516731262207, 335.0
130039, -2.58638072013855, 335.0
130058, -2.572115182876587, 335.0
130078, -2.5619006156921387, 341.0
130099, -2.5526349544525146, 341.0
130118, -2.563680648803711, 341.0
130139, -2.558462619781494, 341.0
130158, -2.5711629390716553, 341.0
130178, -2.575122117996216, 32766.0
130198, -2.57650089263916, 32766.0
130218, -2.5731539726257324, 32766.0
130239, -2.586557626724243, 32766.0
130258, -2.590014696121216, 32766.0
130278, -2.5823206901550293, 32766.0
130299, -2.5650510787963867, 32766.0
130318, -2.5773088932037354, 32766.0
130339, -2.5856339931488037, 32766.0
130358, -2.561582326889038, 32766.0
130379, -2.57454776763916, 331.0
130398, -2.5981228351593018, 331.0
130418, -2.6151316165924072, 331.0
130439, -2.632282018661499, 331.0
130458, -2.608316659927368, 331.0
130479, -2.640523910522461, 353.0
130500, -2.6112325191497803, 353.0
130518, -2.5729949474334717, 353.0
130539, -2.5713744163513184, 353.0
130558, -2.57482647895813, 353.0
130578, -2.5327963829040527, 349.0
130598, -2.5269134044647217, 349.0
130618, -2.543968677520752, 349.0
