timeTick, motor1, motor2, motor3, motor4, otX, otY, otZ
164615, 0.0, 0.0, 0.0, 0.0, -1.1475391387939453, -0.3808779716491699, 0.026413321495056152
164635, 0.0, 0.0, 0.0, 0.0, -1.1475391387939453, -0.3808779716491699, 0.026413321495056152
164675, 0.0, 0.0, 0.0, 0.0, -1.1476116180419922, -0.3809351921081543, 0.026384949684143066
164695, 0.0, 0.0, 0.0, 0.0, -1.1476116180419922, -0.3809351921081543, 0.026384949684143066
164755, 0.0, 0.0, 0.0, 0.0, -1.1476097106933594, -0.3809018135070801, 0.026475369930267334
164775, 0.0, 0.0, 0.0, 0.0, -1.1476097106933594, -0.3809018135070801, 0.026475369930267334
164795, 0.0, 0.0, 0.0, 0.0, -1.1476097106933594, -0.3809018135070801, 0.026475369930267334
164815, 0.0, 0.0, 0.0, 0.0, -1.147674560546875, -0.38091230392456055, 0.026456862688064575
164835, 0.0, 0.0, 0.0, 0.0, -1.1475849151611328, -0.38091182708740234, 0.026395559310913086
164875, 0.0, 0.0, 0.0, 0.0, -1.1476821899414062, -0.38089942932128906, 0.026474475860595703
164935, 0.0, 0.0, 0.0, 0.0, -1.1476726531982422, -0.38089656829833984, 0.026562035083770752
164955, 0.0, 0.0, 0.0, 0.0, -1.1476726531982422, -0.38089656829833984, 0.026562035083770752
164975, 0.0, 0.0, 0.0, 0.0, -1.1475963592529297, -0.3809394836425781, 0.026403844356536865
164995, 0.0, 0.0, 0.0, 0.0, -1.1475963592529297, -0.3809394836425781, 0.026403844356536865
165015, 0.0, 0.0, 0.0, 0.0, -1.1475963592529297, -0.3809394836425781, 0.026403844356536865
165035, 0.0, 0.0, 0.0, 0.0, -1.1475849151611328, -0.38094520568847656, 0.026554971933364868
165055, 0.0, 0.0, 0.0, 0.0, -1.1476402282714844, -0.3809170722961426, 0.02629542350769043
165075, 0.0, 0.0, 0.0, 0.0, -1.1476631164550781, -0.3809347152709961, 0.026361167430877686
165095, 0.0, 0.0, 0.0, 0.0, -1.1475715637207031, -0.3808746337890625, 0.026289373636245728
165115, 0.0, 0.0, 0.0, 0.0, -1.147613525390625, -0.3809189796447754, 0.026393622159957886
165135, 0.0, 0.0, 0.0, 0.0, -1.1477165222167969, -0.3808560371398926, 0.02638837695121765
165175, 0.0, 0.0, 0.0, 0.0, -1.1477031707763672, -0.38089752197265625, 0.026361465454101562
165235, 0.0, 0.0, 0.0, 0.0, -1.1476497650146484, -0.38089942932128906, 0.026456117630004883
165255, 0.0, 0.0, 0.0, 0.0, -1.1476497650146484, -0.38089942932128906, 0.026456117630004883
165275, 0.0, 0.0, 0.0, 0.0, -1.1476631164550781, -0.3808574676513672, 0.026480138301849365
165295, 0.0, 0.0, 0.0, 0.0, -1.1476631164550781, -0.3808574676513672, 0.026480138301849365
165315, 0.0, 0.0, 0.0, 0.0, -1.1476783752441406, -0.38091611862182617, 0.0264585018157959
165335, 0.0, 0.0, 0.0, 0.0, -1.1477394104003906, -0.38094186782836914, 0.026395827531814575
165375, 0.0, 0.0, 0.0, 0.0, -1.1476287841796875, -0.3808159828186035, 0.02656671404838562
165415, 0.0, 0.0, 0.0, 0.0, -1.1474990844726562, -0.38079309463500977, 0.026501625776290894
165455, 0.0, 0.0, 0.0, 0.0, -1.147613525390625, -0.3808450698852539, 0.02634856104850769
165475, 0.0, 0.0, 0.0, 0.0, -1.1477336883544922, -0.3809208869934082, 0.02631479501724243
165495, 0.0, 0.0, 0.0, 0.0, -1.1477336883544922, -0.3809208869934082, 0.02631479501724243
165515, 0.0, 0.0, 0.0, 0.0, -1.1478805541992188, -0.38102197647094727, 0.026514917612075806
165575, 0.0, 0.0, 0.0, 0.0, -1.1476287841796875, -0.3807845115661621, 0.02652481198310852
165635, 0.0, 0.0, 0.0, 0.0, -1.1475467681884766, -0.38089990615844727, 0.026677370071411133
