timeTick, whisker1_1, whisker1_2, whisker1_3
332492, 157602.359375, 119093.8046875, 157721.765625
332513, 157590.8125, 119089.375, 157721.765625
332532, 157592.734375, 119096.0234375, 157723.703125
332552, 157598.515625, 119090.109375, 157719.84375
332573, 157594.671875, 119091.5859375, 157723.703125
332592, 157596.59375, 119093.8046875, 157721.765625
332612, 157596.59375, 119088.625, 157719.84375
332632, 157596.59375, 119086.40625, 157725.625
332652, 157594.671875, 119085.671875, 157725.625
332672, 157594.671875, 119091.5859375, 157721.765625
332692, 157596.59375, 119085.671875, 157723.703125
332712, 157596.59375, 119091.5859375, 157723.703125
332732, 157594.671875, 119087.15625, 157723.703125
332753, 157594.671875, 119097.5078125, 157719.84375
332772, 157594.671875, 119098.2421875, 157723.703125
332792, 157594.671875, 119090.109375, 157719.84375
332812, 157592.734375, 119089.375, 157719.84375
332832, 157596.59375, 119092.3203125, 157719.84375
332853, 157596.59375, 119089.375, 157721.765625
332872, 157596.59375, 119087.15625, 157721.765625
332892, 157598.515625, 119097.5078125, 157719.84375
332912, 157592.734375, 119096.0234375, 157721.765625
332932, 157598.515625, 119081.234375, 157727.546875
332952, 157598.515625, 119090.8515625, 157721.765625
332972, 157596.59375, 119088.640625, 157719.84375
332992, 157596.59375, 119087.15625, 157723.703125
333012, 157592.734375, 119085.671875, 157721.765625
333032, 157598.515625, 119089.375, 157725.625
333052, 157594.671875, 119090.8515625, 157719.84375
333072, 157598.515625, 119089.375, 157723.703125
333092, 157598.515625, 119093.8046875, 157721.765625
333112, 157596.59375, 119089.375, 157723.703125
333132, 157594.671875, 119090.8515625, 157723.703125
333152, 157596.59375, 119095.2890625, 157721.765625
333172, 157598.515625, 119091.5859375, 157721.765625
333192, 157594.671875, 119089.375, 157721.765625
333213, 157594.671875, 119089.375, 157721.765625
333232, 157596.59375, 119088.640625, 157723.703125
333253, 157596.59375, 119083.46875, 157721.765625
333272, 157594.671875, 119089.375, 157719.84375
333292, 157596.59375, 119090.109375, 157723.703125
333312, 157596.59375, 119093.0703125, 157721.765625
333332, 157594.671875, 119087.890625, 157721.765625
333353, 157596.59375, 119078.2734375, 157721.765625
333372, 157596.59375, 119094.5546875, 157721.765625
333392, 157594.671875, 119087.890625, 157721.765625
333412, 157594.671875, 119094.5390625, 157721.765625
333432, 157594.671875, 119084.1875, 157721.765625
333452, 157592.734375, 119084.9375, 157721.765625
333473, 157600.4375, 119085.671875, 157717.90625
333492, 157596.59375, 119083.453125, 157723.703125
333513, 157596.59375, 119090.8515625, 157721.765625
333532, 157598.515625, 119079.0234375, 157721.765625
333552, 157596.59375, 119089.375, 157723.703125
333572, 157596.59375, 119085.671875, 157723.703125
333592, 157596.59375, 119088.640625, 157723.703125
333613, 157596.59375, 119082.71875, 157721.765625
333632, 157596.59375, 119086.40625, 157721.765625
333652, 157592.734375, 119093.0703125, 157721.765625
333672, 157596.59375, 119084.9375, 157721.765625
333692, 157596.59375, 119082.71875, 157723.703125
333714, 157594.671875, 119086.421875, 157725.625
333732, 157594.671875, 119079.0234375, 157721.765625
333752, 157594.671875, 119087.15625, 157725.625
333772, 157594.671875, 119093.0546875, 157721.765625
333792, 157594.671875, 119085.671875, 157723.703125
333812, 157594.671875, 119089.375, 157723.703125
333832, 157596.59375, 119083.453125, 157719.84375
333852, 157594.671875, 119091.5859375, 157721.765625
333872, 157600.4375, 119086.40625, 157721.765625
333892, 157594.671875, 119085.671875, 157723.703125
333913, 157596.59375, 119086.421875, 157721.765625
333932, 157596.59375, 119091.5859375, 157721.765625
333953, 157600.4375, 119083.453125, 157717.90625
333972, 157596.59375, 119085.671875, 157721.765625
333992, 157596.59375, 119082.71875, 157719.84375
334014, 157596.59375, 119086.40625, 157721.765625
334032, 157598.515625, 119090.109375, 157721.765625
334052, 157596.59375, 119085.671875, 157723.703125
334072, 157598.515625, 119087.890625, 157723.703125
334092, 157598.515625, 119082.71875, 157721.765625
334113, 157592.734375, 119084.1875, 157721.765625
334132, 157598.515625, 119090.109375, 157719.84375
334153, 157596.59375, 119080.5, 157725.625
334172, 157598.515625, 119087.890625, 157723.703125
334192, 157596.59375, 119087.15625, 157723.703125
334213, 157596.59375, 119087.15625, 157721.765625
