timeTick, stateX, stateY, stateZ, stateVX, stateVY, stateVZ, whisker1_1, whisker1_2, whisker1_3, whisker2_1, whisker2_2, whisker2_3, yaw, laserFront
198078, -1.5173107385635376, -0.8969075083732605, 0.025305623188614845, -0.007758167572319508, -0.017143085598945618, 0.0025141118094325066, 157381.609375, 120394.5625, 157502.421875, 156088.328125, 145855.28125, 155640.78125, -3.0056166648864746, 265.0
198098, -1.5173543691635132, -0.8969871997833252, 0.0253006462007761, -0.007808045484125614, -0.017241552472114563, 0.0024935761466622353, 157383.515625, 120392.34375, 157504.34375, 156099.078125, 145852.390625, 155634.625, -2.999638319015503, 265.0
198118, -1.517372727394104, -0.8970075249671936, 0.025313304737210274, -0.007665225770324469, -0.01728951930999756, 0.002216763561591506, 157385.4375, 120384.1796875, 157502.421875, 156094.65625, 145855.28125, 155618.421875, -3.004096269607544, 265.0
198138, -1.51742684841156, -0.8971221446990967, 0.025316499173641205, -0.007667326834052801, -0.01771586388349533, 0.001781525555998087, 157387.34375, 120396.0546875, 157502.421875, 156082.765625, 145860.859375, 155635.8125, -3.0102100372314453, 265.0
198158, -1.5174552202224731, -0.8971568942070007, 0.02531016245484352, -0.007731550373136997, -0.01750950701534748, 0.001540185883641243, 157385.4375, 120393.1015625, 157500.5, 156104.0625, 145855.28125, 155628.359375, -3.0088961124420166, 265.0
198180, -1.5174051523208618, -0.8970480561256409, 0.025279132649302483, -0.007410588674247265, -0.016992049291729927, 0.0013894897419959307, 157387.34375, 120390.1171875, 157508.1875, 156094.65625, 145859.515625, 155635.8125, -3.015177011489868, 260.0
198198, -1.5173896551132202, -0.8970354795455933, 0.025269711390137672, -0.007319750264286995, -0.017201682552695274, 0.0010443383362144232, 157385.4375, 120394.6015625, 157504.34375, 156106.5625, 145855.28125, 155631.4375, -3.009026288986206, 260.0
198218, -1.517462134361267, -0.8971914052963257, 0.025264805182814598, -0.007530711125582457, -0.017491240054368973, 0.0009362992714159191, 157383.515625, 120396.0546875, 157504.34375, 156104.640625, 145857.734375, 155640.1875, -3.001556396484375, 260.0
198238, -1.5174258947372437, -0.8971145749092102, 0.025244949385523796, -0.007459084503352642, -0.017100932076573372, 0.0009241168154403567, 157381.609375, 120383.453125, 157504.34375, 156097.734375, 145860.1875, 155622.078125, -2.9971985816955566, 260.0
198258, -1.5174137353897095, -0.8970779776573181, 0.025230931118130684, -0.007524979766458273, -0.016785454005002975, 0.0009802676504477859, 157385.4375, 120393.0703125, 157502.421875, 156099.078125, 145853.5, 155621.5, -2.993826389312744, 260.0
198279, -1.5174504518508911, -0.8971483111381531, 0.02522800862789154, -0.007687255274504423, -0.017104236409068108, 0.0010452086571604013, 157385.4375, 120389.390625, 157504.34375, 156100.234375, 145852.828125, 155628.359375, -2.9942514896392822, 262.0
198298, -1.5174453258514404, -0.897122859954834, 0.02523329108953476, -0.007400402333587408, -0.01679992862045765, 0.0013411390827968717, 157383.515625, 120386.40625, 157504.34375, 156101.578125, 145864.421875, 155631.4375, -2.988999128341675, 262.0
198318, -1.5174261331558228, -0.8970762491226196, 0.025211220607161522, -0.007184979971498251, -0.016707122325897217, 0.001281994627788663, 157387.34375, 120386.40625, 157506.265625, 156103.5, 145852.828125, 155635.21875, -2.986607551574707, 262.0
198339, -1.5174510478973389, -0.8971264362335205, 0.02521825209259987, -0.007169788237661123, -0.016575997695326805, 0.0014183269813656807, 157383.515625, 120385.671875, 157502.421875, 156094.65625, 145859.515625, 155625.875, -2.9840283393859863, 262.0
198358, -1.5174230337142944, -0.897080659866333, 0.02521069534122944, -0.006823425646871328, -0.016313398256897926, 0.00140193582046777, 157383.515625, 120390.1171875, 157504.34375, 156097.15625, 145851.046875, 155626.46875, -2.9777462482452393, 262.0
198379, -1.5174437761306763, -0.8971627354621887, 0.025250421836972237, -0.006925253663212061, -0.016938678920269012, 0.0018418513936921954, 157385.4375, 120396.0546875, 157504.34375, 156094.65625, 145857.734375, 155633.328125, -2.978231430053711, 263.0
198398, -1.5174274444580078, -0.8971197605133057, 0.02524206042289734, -0.0069814580492675304, -0.017209962010383606, 0.0018594523426145315, 157385.4375, 120390.1171875, 157504.34375, 156092.171875, 145854.609375, 155635.8125, -2.9768078327178955, 263.0
198419, -1.517443060874939, -0.8971944451332092, 0.025271741673350334, -0.006819728761911392, -0.017589855939149857, 0.00224306364543736, 157385.4375, 120389.390625, 157504.34375, 156097.15625, 145855.953125, 155638.296875, -2.9706645011901855, 263.0
