whisker1_1,whisker1_2,whisker1_3,whisker2_1,whisker2_2,whisker2_3,WhiskerGT1,WhiskerGT2,laser,yaw,pitch
-2.4645575428661464,2.561832663867057,1.9735550886191418,1.831192377880246,-1.0164090736147346,-1.584780653330925,0.0,0.0,652.0,1.5620492696762085,0.0367796644568443
-2.7499241377828905,2.6330724494350735,1.7852070302889642,3.1030228130008286,-1.9948154537900213,-0.3248305267870307,0.0,0.0,652.0,1.553702473640442,0.0690545365214347
-2.8750427352295693,3.9841684644966806,1.7192821777725984,0.7021766137290646,-0.9325452494812432,1.0188428863353431,0.0,0.0,652.0,1.54275643825531,0.0938552990555763
-2.8902669608550826,3.7398106496084185,1.7372524901116262,-1.3620256320863118,-0.4721277350289136,1.5683811691062557,0.0,0.0,640.0,1.537714958190918,0.1201877370476722
-3.133732992555868,3.109945444630514,1.2031957168520893,-0.3470791524428929,-1.028885416431938,1.6573461098186588,0.0,0.0,640.0,1.5230456590652466,0.1319244056940078
-3.22940883817631,3.049023882473652,0.9019105555015584,0.8111749476072265,-2.339685040317823,1.2632386571600056,0.0,0.0,631.0,1.5082610845565796,0.1267082244157791
-3.223773366923906,3.3762638431771252,1.0664255629128323,1.1818952539475864,-3.887433445570803,0.371639496979264,0.0,0.0,631.0,1.4866756200790403,0.1213598102331161
-3.1488318904214663,2.4326084000791504,0.9374507140288195,1.1092554917941646,-4.26437316909451,0.41204917587702483,0.0,0.0,631.0,1.4644875526428225,0.1109918430447578
-2.7231598830586177,3.2167752826978706,1.2173218541864745,-0.34720776394573893,-4.007251003320916,1.4823400652441028,0.0,0.0,620.0,1.4450443983078003,0.1021866574883461
-2.3618386604893487,4.702907299065151,1.7788286602675838,-1.467083606654179,-2.0955700859612447,1.278911571243024,0.0,0.0,620.0,1.435694694519043,0.0990363210439682
-2.0452753016672873,4.9022972454950136,1.6165765984411828,-1.9621257676429464,-1.5475400066126508,0.6855115085927138,0.0,0.0,620.0,1.4143009185791016,0.1106587648391723
-1.7599740000493873,5.417473351559689,1.2629172647933622,-2.2284980584335616,-2.876088335270784,0.13982052645736148,0.0,0.0,607.0,1.3966927528381348,0.1186929568648338
-1.4966378322774165,4.9510920182289375,0.7814774163030453,-2.434096440447226,-1.943052252202839,1.2068646169343633,0.0,0.0,607.0,1.388818621635437,0.122629664838314
-1.5523239495370882,4.858916628626262,0.21358120447168652,-1.2259495312165134,-1.569018294030573,2.188481240735954,0.0,0.0,607.0,1.3722445964813232,0.130513533949852
-1.826173310369039,3.738795329990726,0.19460197614118835,-0.424701972418558,-4.008375789405608,1.6145602749095675,0.0,0.0,595.0,1.3625918626785278,0.1330520659685135
-2.2487378541933913,2.156927394059188,-0.058161078226281304,-0.882940301807019,-5.491013995494077,3.0515948569420095,0.0,0.0,595.0,1.3457629680633545,0.1309549510478973
-3.078130684531108,1.7993725395507256,-0.773831920618086,-0.8302476397620097,-5.045477343996145,4.36652187404411,0.0,0.0,595.0,1.3389129638671875,0.1466866880655288
-3.574810812778323,1.221798354943114,-0.8894595695899579,-1.1139558808009014,-3.5579025570212286,3.3106465117460226,0.0,0.0,589.0,1.327235460281372,0.1476946473121643
-3.536916709392457,0.14204587880996,-0.5943033765388827,-0.6453224615439561,-0.866929768112161,2.272998040725049,0.0,0.0,589.0,1.316017746925354,0.1445060968399047
-3.135809635366159,0.9499724678493066,-0.6305428658750833,0.7293996598714865,0.04157938289307317,2.123293536781677,0.0,0.0,578.0,1.3140499591827393,0.1233589723706245
-3.0963928908985987,1.3985163162662193,-0.8934507308220097,0.26645737026577665,-0.4884203137386596,1.3971801694093982,0.0,0.0,578.0,1.3173240423202517,0.1331419795751571
-3.911449674610374,2.0788967786492565,-0.6990558589436628,-1.8476319410236899,-0.8395418689989562,0.36203570506053695,0.0,0.0,578.0,1.3149794340133667,0.1461035460233688
-4.3966398753196865,1.7322839600266422,-0.8040250818439607,-0.7671516182665032,-1.1761219945298778,0.9481833040070339,0.0,0.0,569.0,1.3169466257095337,0.1496569216251373
-4.045763908782404,0.33212754024155244,-1.11360795500917,0.7303820621709911,-1.0086389609103557,0.9795636943412693,0.0,0.0,569.0,1.3214348554611206,0.1447204947471618
-3.7329499752724598,0.920449728113271,-1.2566336561316456,0.7437463765145362,-2.7072010969732108,-1.7371791884193013,0.0,0.0,569.0,1.3445779085159302,0.1106965914368629
-4.0562012811826715,0.2738716878746066,-0.9794825010553845,0.7235478960884105,-3.7448231025445176,-3.3384965543930303,0.0,0.0,557.0,1.368017077445984,0.0732562243938446
-4.204605312008979,-0.4971414395329464,-0.10947515864788834,0.6804264440965053,-2.951452156428593,-1.6593567306706063,0.0,0.0,557.0,1.4008828401565552,0.0410606227815151
-3.929616707855154,-1.239481353741127,0.24662136458280542,0.9177689642165576,-3.2754006207934068,-0.7317925176869001,0.0,0.0,557.0,1.4250476360321045,-0.0011985171586275
-3.6689593574559054,-1.8484489432029338,0.25038082793583405,-0.12637645842026768,-4.918281578713904,-0.6311928836823868,0.0,0.0,544.0,1.456533670425415,-0.0247245449572801
-4.025558209503823,-1.885069004094156,0.6249223133170292,-1.948991792501226,-4.859862267356108,0.4848519388109873,0.0,0.0,544.0,1.4926921129226685,-0.0234485249966382
