timeTick, roll, pitch, yaw, gyroX, gyroY, gyroZ, stateX, stateY, stateZ, stateVX, stateVY, stateVZ, motor1, motor2, motor3, motor4
623408, 153.23825073242188, 22.089351654052734, -19.0318603515625, 1180.7559814453125, -12.416217803955078, 30.018314361572266, 0.4247061014175415, -1.3390755653381348, 0.21157988905906677, -0.444539874792099, -1.4828370809555054, -2.535259485244751, 55951.0, 51126.0, 55951.0, 46636.0
623418, 165.71652221679688, 22.310256958007812, -19.254989624023438, 1231.2225341796875, 10.5996675491333, 28.733108520507812, 0.4202895760536194, -1.35416579246521, 0.18546107411384583, -0.41595298051834106, -1.536445140838623, -2.7466776371002197, 55956.0, 50983.0, 55956.0, 47316.0
623428, -179.39111328125, 6.687165260314941, -20.333406448364258, 1285.3367919921875, 37.033668518066406, 25.798166275024414, 0.2999357283115387, -2.2627487182617188, 0.1484854370355606, -1.0719060897827148, -2.9323015213012695, -3.297227382659912, 59123.0, 56116.0, 49667.0, 54572.0
623438, -165.8638153076172, 7.24669885635376, -20.635784149169922, 1341.543212890625, 56.24552536010742, 23.60968589782715, 0.28922784328460693, -2.2921721935272217, 0.11461186408996582, -1.0706584453582764, -2.9791066646575928, -3.5712077617645264, 60007.0, 58184.0, 44838.0, 57315.0
623448, -157.50376892089844, -6.060572147369385, -19.39374542236328, 1398.221923828125, 73.79444885253906, 23.3846492767334, 0.2785723805427551, -2.321977138519287, 0.07795947790145874, -1.0613069534301758, -3.011011838912964, -3.8647513389587402, 60449.0, 59134.0, 42414.0, 58577.0
623458, -142.8854217529297, -5.4280009269714355, -20.00452995300293, 1460.0186767578125, 85.02703857421875, 22.165048599243164, -0.07119705528020859, -2.3857719898223877, 0.08607617765665054, -1.847228765487671, -2.931762456893921, -3.458740234375, 59722.0, 60465.0, 34169.0, 60229.0
623468, -131.21620178222656, -20.5681209564209, -15.782143592834473, 1518.6064453125, 86.9518051147461, 20.815275192260742, -0.08965244889259338, -2.414900064468384, 0.050555258989334106, -1.876059889793396, -2.929044008255005, -3.76172137260437, 57987.0, 53773.0, 53137.0, 52297.0
623478, -115.46330261230469, -20.293973922729492, -16.560298919677734, 1591.0604248046875, 77.67404174804688, 19.165510177612305, -0.49904686212539673, -2.583754539489746, 0.04571619629859924, -2.583749532699585, -3.1431050300598145, -3.4765100479125977, 60315.0, 58826.0, 47542.0, 56218.0
623488, -98.91507720947266, -20.16366958618164, -17.361194610595703, 1671.5870361328125, 75.42499542236328, 8.995375633239746, -0.5248942375183105, -2.6147572994232178, 0.010124865919351578, -2.662081718444824, -3.1127243041992188, -3.7748987674713135, 60347.0, 58998.0, 44790.0, 57575.0
623498, -81.47640228271484, -20.255313873291016, -18.167219161987305, 1762.9093017578125, 76.25968170166016, 8.488168716430664, -0.5514506697654724, -2.6453733444213867, -0.0283416248857975, -2.738466739654541, -3.0755293369293213, -4.074885845184326, 60179.0, 58553.0, 44751.0, 57472.0
