timeTick, roll, pitch, yaw, gyroX, gyroY, gyroZ, stateX, stateY, stateZ, stateVX, stateVY, stateVZ, whisker1, whisker2, whisker3, motor1, motor2, motor3, motor4
23059, -0.38137441873550415, 0.3643350601196289, -1.356411337852478, -6.893415451049805, 1.565851092338562, -10.974629402160645, 0.00667398888617754, -0.49604952335357666, 0.49876880645751953, -0.029564019292593002, 0.004045007284730673, 0.04865443333983421, 0, 0, 0, 44965.0, 47140.0, 47892.0, 52513.0
23069, -0.38137441873550415, 0.3643350601196289, -1.356411337852478, -0.34737882018089294, 15.858144760131836, -9.021711349487305, 0.007814223878085613, -0.49410301446914673, 0.49925708770751953, -0.02767552249133587, 0.007980400696396828, 0.0489950068295002, 0, 0, 0, 52633.0, 46046.0, 43992.0, 49485.0
23079, -0.31061646342277527, 0.1052652969956398, -1.5259830951690674, 3.891507148742676, 13.870012283325195, -8.371417045593262, 0.00701494887471199, -0.49339669942855835, 0.49976348876953125, -0.029202954843640327, 0.009764736518263817, 0.05236610397696495, 0, 0, 0, 47820.0, 46845.0, 46559.0, 51481.0
23089, -0.31061646342277527, 0.1052652969956398, -1.5259830951690674, 7.216976165771484, 11.176485061645508, -3.2490363121032715, 0.005218395963311195, -0.4939728081226349, 0.5002923011779785, -0.032225288450717926, 0.009173405356705189, 0.053450655192136765, 0, 0, 0, 51886.0, 44228.0, 45393.0, 50233.0
23099, -0.13793973624706268, -0.2095627784729004, -1.5875303745269775, 9.654817581176758, 18.389549255371094, -3.486039638519287, 0.004895329475402832, -0.49387845396995544, 0.500817060470581, -0.0323932059109211, 0.009702170267701149, 0.051503896713256836, 0, 0, 0, 50648.0, 47629.0, 45377.0, 48600.0
23109, -0.13793973624706268, -0.2095627784729004, -1.5875303745269775, 13.401933670043945, 9.704237937927246, 3.34181809425354, 0.0037881876341998577, -0.49356573820114136, 0.4997735321521759, -0.03369311988353729, 0.010493408888578415, 0.03741667792201042, 0, 0, 0, 52147.0, 48606.0, 46529.0, 45974.0
23119, 0.07043075561523438, -0.49728816747665405, -1.535451889038086, 8.193623542785645, 17.153942108154297, 4.58044958114624, 0.003782424610108137, -0.4934019446372986, 0.5001350045204163, -0.03276355564594269, 0.010821004398167133, 0.034869540482759476, 0, 0, 0, 53917.0, 41974.0, 44939.0, 51098.0
23129, 0.05475033447146416, -0.4767087996006012, -1.5385143756866455, 15.278141021728516, 4.819385051727295, 5.321070671081543, 0.0055826385505497456, -0.49353402853012085, 0.5004686713218689, -0.02849619649350643, 0.010430239140987396, 0.031788382679224014, 0, 0, 0, 51042.0, 48514.0, 48622.0, 45575.0
23139, 0.3245738446712494, -0.5650184750556946, -1.4073351621627808, 12.77660846710205, 3.954625368118286, 7.683659553527832, 0.002641713246703148, -0.49130362272262573, 0.500777006149292, -0.032341424375772476, 0.014039328321814537, 0.029977047815918922, 0, 0, 0, 53590.0, 42847.0, 47844.0, 48881.0
23149, 0.3245527744293213, -0.5492416024208069, -1.4080475568771362, 10.904070854187012, 0.9353322386741638, 6.561225891113281, 0.003589372616261244, -0.49111223220825195, 0.500391960144043, -0.029240287840366364, 0.013750551268458366, 0.028469180688261986, 0, 0, 0, 50631.0, 48903.0, 49599.0, 45140.0
