timeTick, roll, pitch, yaw, gyroX, gyroY, gyroZ, stateX, stateY, stateZ, stateVX, stateVY, stateVZ
5773115, -173.3916778564453, -3.808924674987793, -161.33595275878906, -0.07492224127054214, 0.6964283585548401, -0.32026538252830505, 14.083043098449707, -2.864234685897827, 0.37539392709732056, -0.8876917362213135, -1.4837322235107422, 0.7651918530464172
5773125, -173.4100799560547, -3.6948769092559814, -161.3490447998047, 0.1466781198978424, 0.03787130489945412, 0.8157737255096436, 14.074106216430664, -2.879023551940918, 0.38304606080055237, -0.8983038067817688, -1.4736886024475098, 0.7674787044525146
5773135, -173.4272918701172, -3.5802066326141357, -161.3567657470703, 0.2450263947248459, 0.0330793671309948, 0.15113483369350433, 14.065065383911133, -2.8937137126922607, 0.39072152972221375, -0.9084790349006653, -1.4640125036239624, 0.7698768377304077
5773145, -173.44461059570312, -3.4662387371063232, -161.3649444580078, 0.19203630089759827, 0.18361599743366241, 0.3259742856025696, 14.055923461914062, -2.908306837081909, 0.39842069149017334, -0.918448805809021, -1.454282522201538, 0.7722343802452087
5773155, -173.46408081054688, -3.3521645069122314, -161.37319946289062, -0.16899612545967102, 0.20089130103588104, 0.12990117073059082, 14.046682357788086, -2.9228031635284424, 0.4061437249183655, -0.928374707698822, -1.4446399211883545, 0.7746672630310059
5773165, -173.4818572998047, -3.239302158355713, -161.38027954101562, 0.037240467965602875, 0.044695496559143066, 0.030905410647392273, 14.037342071533203, -2.9372031688690186, 0.4138909578323364, -0.9382485151290894, -1.4350262880325317, 0.7770896553993225
5773175, -173.47341918945312, -2.916405439376831, -161.4105224609375, 0.46873316168785095, -0.05860397219657898, -0.14161592721939087, 14.02790355682373, -2.951507091522217, 0.4216615557670593, -0.948125422000885, -1.4253919124603271, 0.779356062412262
5773185, -173.4904327392578, -2.8043723106384277, -161.41770935058594, 0.09923725575208664, -0.10134802758693695, 0.048205211758613586, 14.017033576965332, -2.9584569931030273, 0.4336496591567993, -0.9393624067306519, -1.4013816118240356, 0.7972108721733093
5773195, -173.51010131835938, -2.689070463180542, -161.4244384765625, -0.15014700591564178, 0.31269386410713196, -0.07042468339204788, 14.007587432861328, -2.972421407699585, 0.44162359833717346, -0.9484320282936096, -1.3911453485488892, 0.7998948097229004
5773205, -173.5302276611328, -2.5746498107910156, -161.4318389892578, -0.15177176892757416, 0.06313338130712509, -0.1343413144350052, 13.998051643371582, -2.9862825870513916, 0.44962430000305176, -0.9573211073875427, -1.3807185888290405, 0.8025783896446228
