timeTick, stateX, stateY, stateZ, stateVX, stateVY, stateVZ, whisker1, whisker2, whisker3, motor1, motor2, motor3, motor4, otX, otY, otZ, laserFront
1535945, 0.0, 0.0, 62.83808135986328, 0.0, 0.0, 0.49285888671875, 154353.46875, 150884.46875, 164774.078125, 0.0, 0.0, 0.0, 0.0, -0.04943966865539551, -0.9950942993164062, 0.00569567084312439, 111.0
1535955, 0.0, 0.0, 62.83808135986328, 0.0, 0.0, 0.49285888671875, 154344.609375, 150891.921875, 164771.5625, 0.0, 0.0, 0.0, 0.0, -0.04946303367614746, -0.9949836730957031, 0.0063169896602630615, 124.0
1535965, 0.0, 0.0, 62.83808135986328, 0.0, 0.0, 0.49285888671875, 154347.109375, 150877.640625, 164773.09375, 0.0, 0.0, 0.0, 0.0, -0.049378812313079834, -0.9950542449951172, 0.006335414946079254, 124.0
1535975, 0.0, 0.0, 62.83808135986328, 0.0, 0.0, 0.49285888671875, 154355.390625, 150898.75, 164776.109375, 0.0, 0.0, 0.0, 0.0, -0.049423813819885254, -0.9949665069580078, 0.006090417504310608, 124.0
1535985, 0.0, 0.0, 62.83808135986328, 0.0, 0.0, 0.49285888671875, 154355.390625, 150898.75, 164776.109375, 0.0, 0.0, 0.0, 0.0, -0.04943645000457764, -0.9950618743896484, 0.006274096667766571, 124.0
1535995, 0.0, 0.0, 62.83808135986328, 0.0, 0.0, 0.49285888671875, 154344.609375, 150894.40625, 164785.1875, 0.0, 0.0, 0.0, 0.0, -0.04934966564178467, -0.9950428009033203, 0.006347864866256714, 124.0
1536005, 0.0, 0.0, 62.83808135986328, 0.0, 0.0, 0.49285888671875, 154341.515625, 150886.953125, 164768.0625, 0.0, 0.0, 0.0, 0.0, -0.049376726150512695, -0.9950275421142578, 0.006333634257316589, 124.0
1536015, 0.0, 0.0, 62.83808135986328, 0.0, 0.0, 0.49285888671875, 154345.953125, 150888.203125, 164775.609375, 0.0, 0.0, 0.0, 0.0, -0.049314260482788086, -0.9949378967285156, 0.006419621407985687, 124.0
1536025, 0.0, 0.0, 62.83808135986328, 0.0, 0.0, 0.49285888671875, 154349.03125, 150889.4375, 164780.640625, 0.0, 0.0, 0.0, 0.0, -0.0494152307510376, -0.9950408935546875, 0.006165944039821625, 124.0
1536035, 0.0, 0.0, 62.83808135986328, 0.0, 0.0, 0.49285888671875, 154351.546875, 150888.203125, 164776.109375, 0.0, 0.0, 0.0, 0.0, -0.04936426877975464, -0.9949054718017578, 0.006144121289253235, 124.0
1536045, 0.0, 0.0, 62.83808135986328, 0.0, 0.0, 0.49285888671875, 154345.171875, 150900.625, 164782.671875, 0.0, 0.0, 0.0, 0.0, -0.049343764781951904, -0.9950103759765625, 0.0063015371561050415, 124.0
1536055, 0.0, 0.0, 62.83808135986328, 0.0, 0.0, 0.49285888671875, 154352.6875, 150893.78125, 164773.09375, 0.0, 0.0, 0.0, 0.0, -0.04933595657348633, -0.9950885772705078, 0.006438516080379486, 111.0
1536065, 0.0, 0.0, 62.83808135986328, 0.0, 0.0, 0.49285888671875, 154351.546875, 150888.203125, 164771.5625, 0.0, 0.0, 0.0, 0.0, -0.0494002103805542, -0.9950084686279297, 0.006131753325462341, 111.0
1536075, 0.0, 0.0, 62.83808135986328, 0.0, 0.0, 0.49285888671875, 154349.609375, 150892.53125, 164783.65625, 0.0, 0.0, 0.0, 0.0, -0.049441397190093994, -0.9950828552246094, 0.006435088813304901, 111.0
1536085, 0.0, 0.0, 62.83808135986328, 0.0, 0.0, 0.49285888671875, 154338.234375, 150886.953125, 164777.640625, 0.0, 0.0, 0.0, 0.0, -0.04930013418197632, -0.9950675964355469, 0.006132647395133972, 111.0
1536095, 0.0, 0.0, 62.83808135986328, 0.0, 0.0, 0.49285888671875, 154345.171875, 150895.65625, 164775.125, 0.0, 0.0, 0.0, 0.0, -0.049451589584350586, -0.9949703216552734, 0.006396487355232239, 111.0
1536105, 0.0, 0.0, 62.83808135986328, 0.0, 0.0, 0.49285888671875, 154339.59375, 150891.296875, 164777.140625, 0.0, 0.0, 0.0, 0.0, -0.04935234785079956, -0.9950847625732422, 0.006407886743545532, 111.0
1536115, 0.0, 0.0, 62.83808135986328, 0.0, 0.0, 0.49285888671875, 154340.171875, 150902.484375, 164782.171875, 0.0, 0.0, 0.0, 0.0, -0.04939216375350952, -0.9949169158935547, 0.006098523736000061, 111.0
1536125, 0.0, 0.0, 62.83808135986328, 0.0, 0.0, 0.49285888671875, 154349.609375, 150889.4375, 164785.1875, 0.0, 0.0, 0.0, 0.0, -0.049415409564971924, -0.9950275421142578, 0.006290659308433533, 111.0
1536135, 0.0, 0.0, 62.83808135986328, 0.0, 0.0, 0.49285888671875, 154345.75, 150893.171875, 164774.578125, 0.0, 0.0, 0.0, 0.0, -0.0491524338722229, -0.9950599670410156, 0.007085129618644714, 111.0
1536145, 0.0, 0.0, 62.83808135986328, 0.0, 0.0, 0.49285888671875, 154338.234375, 150900.625, 164773.59375, 0.0, 0.0, 0.0, 0.0, -0.04945206642150879, -0.9950351715087891, 0.005825735628604889, 111.0
1536155, 0.0, 0.0, 62.83808135986328, 0.0, 0.0, 0.49285888671875, 154337.09375, 150891.921875, 164781.140625, 0.0, 0.0, 0.0, 0.0, -0.049427032470703125, -0.9950313568115234, 0.006153106689453125, 121.0
1536165, 0.0, 0.0, 62.83808135986328, 0.0, 0.0, 0.49285888671875, 154342.671875, 150891.921875, 164776.109375, 0.0, 0.0, 0.0, 0.0, -0.04931366443634033, -0.9950275421142578, 0.006079718470573425, 121.0
1536175, 0.0, 0.0, 62.83808135986328, 0.0, 0.0, 0.49285888671875, 154349.609375, 150884.46875, 164781.140625, 0.0, 0.0, 0.0, 0.0, -0.049401044845581055, -0.9951324462890625, 0.00648905336856842, 121.0
1536185, 0.0, 0.0, 62.83808135986328, 0.0, 0.0, 0.49285888671875, 154349.609375, 150899.390625, 164775.609375, 0.0, 0.0, 0.0, 0.0, -0.049411892890930176, -0.9949436187744141, 0.006284482777118683, 121.0
