timeTick, roll, pitch, yaw, stateX, stateY, stateZ, stateVX, stateVY, stateVZ, stateROLL, statePITCH, stateYAW, whisker1, whisker2, whisker3, motor1, motor2, motor3, motor4, kalX, kalY, kalZ, kalPX, kalPY, kalPZ
799545, 0.43699052929878235, -0.4637451171875, -0.15690957009792328, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 48891.0, 48216.0, 52379.0, 54252.0, 0.5010766386985779, -1.4008742570877075, 0.49687036871910095, 0.03888603299856186, -0.014571606181561947, 0.017248038202524185
799556, 0.4280555248260498, -0.4803096055984497, -0.15539062023162842, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 51442.0, 50710.0, 49817.0, 51818.0, 0.501519501209259, -1.4009265899658203, 0.49719226360321045, 0.039774712175130844, -0.014938630163669586, 0.023714078590273857
799565, 0.4143184423446655, -0.5625227093696594, -0.14733847975730896, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 54856.0, 48055.0, 45396.0, 53774.0, 0.5019943118095398, -1.4009803533554077, 0.49767330288887024, 0.04100312292575836, -0.015294384211301804, 0.029411612078547478
799575, 0.4094929099082947, -0.6466617584228516, -0.14336968958377838, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 46325.0, 50972.0, 53544.0, 51155.0, 0.5024683475494385, -1.4010471105575562, 0.496255487203598, 0.04227263480424881, -0.015876268967986107, 0.026180660352110863
799585, 0.4379538297653198, -0.6765924096107483, -0.13328413665294647, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 54271.0, 51860.0, 46149.0, 49981.0, 0.5028982758522034, -1.4012125730514526, 0.4965413212776184, 0.043196361511945724, -0.016590315848588943, 0.03212335333228111
799596, 0.44730144739151, -0.7448516488075256, -0.11456842720508575, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 50913.0, 49875.0, 50005.0, 51672.0, 0.5033391714096069, -1.4013855457305908, 0.49688056111335754, 0.044283851981163025, -0.01728292927145958, 0.03698984161019325
799605, 0.4770115911960602, -0.7766269445419312, -0.09913163632154465, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 49246.0, 51712.0, 51256.0, 49477.0, 0.503758430480957, -1.4014503955841064, 0.4973922073841095, 0.04529755935072899, -0.017545156180858612, 0.04521309584379196
799615, 0.4867520034313202, -0.7643064856529236, -0.0957806184887886, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 50546.0, 48288.0, 49322.0, 52730.0, 0.5042213797569275, -1.4016255140304565, 0.4951852560043335, 0.04674433916807175, -0.01836666651070118, 0.03346695378422737
799625, 0.4565907120704651, -0.8643918633460999, -0.0880909115076065, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 49049.0, 48916.0, 51991.0, 52137.0, 0.5047000050544739, -1.4018170833587646, 0.4955419600009918, 0.04808008670806885, -0.019180459901690483, 0.03947445750236511
799635, 0.4199284017086029, -0.8260926604270935, -0.09159091860055923, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 49826.0, 51517.0, 50502.0, 49586.0, 0.5052015781402588, -1.4019832611083984, 0.4959435760974884, 0.04937531426548958, -0.019823219627141953, 0.04255903139710426
799645, 0.36663299798965454, -0.8527795672416687, -0.0944744199514389, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 50817.0, 45756.0, 49183.0, 54600.0, 0.5057463645935059, -1.4021449089050293, 0.4963533878326416, 0.05111820995807648, -0.020353151485323906, 0.04129462689161301
799655, 0.30642926692962646, -0.9024702906608582, -0.0898706465959549, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 48370.0, 48351.0, 51489.0, 52716.0, 0.506270706653595, -1.4023561477661133, 0.49679359793663025, 0.052514441311359406, -0.02110770344734192, 0.04856037721037865
799665, 0.24199973046779633, -0.9185355305671692, -0.08837771415710449, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 45916.0, 46554.0, 53596.0, 53496.0, 0.5068053603172302, -1.4025629758834839, 0.4944162964820862, 0.05415932089090347, -0.021804964169859886, 0.02900911122560501
799675, 0.15793298184871674, -1.0400664806365967, -0.07976584136486053, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 51364.0, 48914.0, 50025.0, 51975.0, 0.5074008703231812, -1.40278160572052, 0.4947145879268646, 0.05593252554535866, -0.022337734699249268, 0.03273038566112518
799685, 0.08672225475311279, -1.056738257408142, -0.08425788581371307, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 49686.0, 51483.0, 50412.0, 50476.0, 0.5079469084739685, -1.4030250310897827, 0.4950457215309143, 0.05728859454393387, -0.022893840447068214, 0.035515058785676956
799695, 0.07395080476999283, -1.0714455842971802, -0.07244962453842163, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 54407.0, 45143.0, 44949.0, 55352.0, 0.5086503028869629, -1.403309941291809, 0.49538183212280273, 0.05967944860458374, -0.023485220968723297, 0.034390971064567566
799705, 0.08870036900043488, -1.098802089691162, -0.056874100118875504, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 46610.0, 51031.0, 53635.0, 50438.0, 0.5092600584030151, -1.403542399406433, 0.49467772245407104, 0.06157075986266136, -0.02363373339176178, 0.03551904484629631
799715, 0.126644566655159, -1.065693974494934, -0.05277131497859955, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 50205.0, 49272.0, 50498.0, 51869.0, 0.5098913311958313, -1.4037805795669556, 0.49502864480018616, 0.06338176876306534, -0.02376805990934372, 0.03711261227726936
799725, 0.1333293914794922, -1.1079952716827393, -0.04166311398148537, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 51515.0, 48456.0, 49327.0, 52563.0, 0.5099028944969177, -1.4034616947174072, 0.4955878257751465, 0.06325589120388031, -0.021830309182405472, 0.037587594240903854
