timeTick, roll, pitch, yaw, whisker1, whisker2, whisker3, motor1, motor2, motor3, motor4, ext_pos_X,ext_pos_Y,ext_pos_Z, kalX, kalY, kalZ, kalPX, kalPY, kalPZ
740954, 0.008213414810597897, -1.4677146673202515, -1.5494117736816406, 0, 0, 0, 48576.0, 48021.0, 48126.0, 53377.0, 0.0, 0.0, 0.0, -0.016033627092838287, -1.4169909954071045, 0.5096646547317505, -0.09181782603263855, 0.0009584851795807481, 0.016187461093068123
740963, 0.010360943153500557, -1.496703863143921, -1.5533087253570557, 0, 0, 0, 45928.0, 50992.0, 50294.0, 50494.0, 0.0, 0.0, 0.0, -0.017064273357391357, -1.4170267581939697, 0.5100522637367249, -0.08988035470247269, 0.000481049733934924, 0.019710872322320938
740973, -0.04731426760554314, -1.4579131603240967, -1.5574897527694702, 0, 0, 0, 51270.0, 49998.0, 44682.0, 51087.0, 0.0, 0.0, 0.0, -0.018019042909145355, -1.4170266389846802, 0.5078977942466736, -0.08730986714363098, 0.0001700432039797306, 0.008967986330389977
740983, -0.06776943802833557, -1.4767839908599854, -1.5768600702285767, 0, 0, 0, 45727.0, 49695.0, 50249.0, 52501.0, 0.0, 0.0, 0.0, -0.01890837587416172, -1.416993260383606, 0.5084375739097595, -0.0849522277712822, 6.523306365124881e-05, 0.015060226432979107
740993, -0.10062618553638458, -1.4657204151153564, -1.60615074634552, 0, 0, 0, 49879.0, 52826.0, 45427.0, 49122.0, 0.0, 0.0, 0.0, -0.019785765558481216, -1.416943907737732, 0.5090900659561157, -0.08283064514398575, 0.00021257990738376975, 0.022788582369685173
741003, -0.09249413013458252, -1.4359067678451538, -1.6187885999679565, 0, 0, 0, 47215.0, 49884.0, 48259.0, 51997.0, 0.0, 0.0, 0.0, -0.020600581541657448, -1.4169176816940308, 0.5098117589950562, -0.08037155866622925, 0.0002707709791138768, 0.03297022357583046
741013, -0.058571115136146545, -1.4247246980667114, -1.6363033056259155, 0, 0, 0, 48531.0, 51794.0, 46704.0, 49473.0, 0.0, 0.0, 0.0, -0.02146819792687893, -1.416911005973816, 0.5084177255630493, -0.07815366238355637, 8.427990542259067e-05, 0.025726888328790665
741023, -0.0069839488714933395, -1.3603190183639526, -1.6410870552062988, 0, 0, 0, 48190.0, 48240.0, 46723.0, 52348.0, 0.0, 0.0, 0.0, -0.02230018377304077, -1.4168933629989624, 0.5090183019638062, -0.07603638619184494, -1.492572482675314e-05, 0.02505142241716385
741033, 0.03605136647820473, -1.3499081134796143, -1.6527998447418213, 0, 0, 0, 51669.0, 47739.0, 43388.0, 53194.0, 0.0, 0.0, 0.0, -0.02303316444158554, -1.4168683290481567, 0.5094354748725891, -0.07373223453760147, -0.00011361404904164374, 0.023023046553134918
741043, 0.10559000819921494, -1.3073467016220093, -1.670986533164978, 0, 0, 0, 44616.0, 49046.0, 50342.0, 52456.0, 0.0, 0.0, 0.0, -0.023831386119127274, -1.4168492555618286, 0.5100489258766174, -0.07182187587022781, -0.0004070113063789904, 0.024480771273374557
