timeTick, roll, pitch, yaw, stateX, stateY, stateZ, stateVX, stateVY, stateVZ, stateROLL, statePITCH, stateYAW, whisker1, whisker2, whisker3, motor1, motor2, motor3, motor4, laserHeight, flowX, flowY, ext_pos_X,ext_pos_Y,ext_pos_Z, kalX, kalY, kalZ, kalPX, kalPY, kalPZ
308327, 2.634185791015625, -3.093648672103882, -12.070710182189941, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 16.0, 0.0, 3.0, 0.0, 0.0, 0.0, -0.02924433909356594, -0.419878751039505, 0.016092749312520027, 0.06239305064082146, -0.07943065464496613, 0.011195884086191654
308337, 2.5841188430786133, -3.098238706588745, -12.078776359558105, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 15.0, 1.0, -1.0, 0.0, 0.0, 0.0, -0.02914310246706009, -0.4201149642467499, 0.0162037443369627, 0.0620899423956871, -0.07964598387479782, 0.011847448535263538
308347, 2.608217239379883, -3.0942068099975586, -12.060044288635254, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 15.0, -1.0, 1.0, 0.0, 0.0, 0.0, -0.029398994520306587, -0.41975411772727966, 0.015955377370119095, 0.05952337384223938, -0.076795794069767, 0.009874807670712471
308358, 2.6275436878204346, -3.091604232788086, -12.061616897583008, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 15.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.029395271092653275, -0.4199943244457245, 0.015926681458950043, 0.0599152036011219, -0.07909844070672989, 0.009652175009250641
308367, 2.618516683578491, -3.094574451446533, -12.054471015930176, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 15.0, 0.0, -3.0, 0.0, 0.0, 0.0, -0.029290631413459778, -0.4198199510574341, 0.01597326621413231, 0.06061121076345444, -0.0779229998588562, 0.0101204514503479
308377, 2.5418646335601807, -3.132068395614624, -12.109842300415039, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 15.0, 0.0, 2.0, 0.0, 0.0, 0.0, -0.029665984213352203, -0.4195480942726135, 0.01612214744091034, 0.05712268874049187, -0.07643736898899078, 0.010911024175584316
308387, 2.651318311691284, -3.1011507511138916, -12.080867767333984, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 15.0, 21.0, -19.0, 0.0, 0.0, 0.0, -0.028276748955249786, -0.42203664779663086, 0.015263690613210201, 0.07191386073827744, -0.09177421033382416, 0.005636933259665966
308397, 2.5439374446868896, -3.1321749687194824, -12.061302185058594, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 15.0, -10.0, 9.0, 0.0, 0.0, 0.0, -0.029129931703209877, -0.420710951089859, 0.015758590772747993, 0.06206773594021797, -0.08313059061765671, 0.008953702636063099
308408, 2.576909065246582, -3.1036901473999023, -12.073871612548828, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 15.0, -5.0, 6.0, 0.0, 0.0, 0.0, -0.029765376821160316, -0.4198690950870514, 0.016047483310103416, 0.05617310851812363, -0.07730348408222198, 0.010527153499424458
308417, 2.634458303451538, -3.0887904167175293, -12.06552791595459, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 15.0, 0.0, -3.0, 0.0, 0.0, 0.0, -0.029671097174286842, -0.4197259545326233, 0.016116607934236526, 0.05658530443906784, -0.07688353210687637, 0.010856930166482925
