timeTick, roll, pitch, yaw, whisker1, whisker2, whisker3, motor1, motor2, motor3, motor4, ext_pos_X,ext_pos_Y,ext_pos_Z, kalX, kalY, kalZ, kalPX, kalPY, kalPZ
577689, 2.627859592437744, -3.0924134254455566, -12.038492202758789, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.03635912761092186, -0.41618895530700684, 0.01459111925214529, 0.033105067908763885, -0.06692486256361008, 0.0026790013071149588
577699, 2.614248275756836, -3.1066901683807373, -12.037174224853516, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.0362156517803669, -0.4163689911365509, 0.013738948851823807, 0.03528117388486862, -0.06881385296583176, -0.00270617357455194
577709, 2.6079723834991455, -3.121438503265381, -12.03317928314209, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.03647619113326073, -0.4166998863220215, 0.013738779351115227, 0.03409146890044212, -0.07227568328380585, -0.002111259615048766
577720, 2.6590940952301025, -3.1223347187042236, -12.065506935119629, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.03598996624350548, -0.41612204909324646, 0.013883591629564762, 0.03715682774782181, -0.06752865761518478, -0.0005827988497912884
577729, 2.6084046363830566, -3.112269163131714, -12.055732727050781, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.036235470324754715, -0.4161495864391327, 0.014000678434967995, 0.034955643117427826, -0.06711336970329285, 0.0006134188733994961
577739, 2.636720657348633, -3.097166061401367, -12.033580780029297, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.03583357855677605, -0.41610437631607056, 0.014074892736971378, 0.037830378860235214, -0.0668744295835495, 0.0015170424012467265
577749, 2.629842758178711, -3.1192705631256104, -12.042011260986328, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.035662587732076645, -0.4163127839565277, 0.013428942300379276, 0.03989848867058754, -0.06884212791919708, -0.001982052344828844
577759, 2.5997588634490967, -3.1265575885772705, -12.032323837280273, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.03240006044507027, -0.41098251938819885, 0.014211890287697315, 0.054583583027124405, -0.023848414421081543, 0.0031019914895296097
577770, 2.5689260959625244, -3.12982439994812, -12.067187309265137, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.0318598635494709, -0.41106680035591125, 0.0142290024086833, 0.05783466249704361, -0.02573751099407673, 0.0034718855749815702
577779, 2.5129270553588867, -3.1526198387145996, -12.04920768737793, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.0328097864985466, -0.41084709763526917, 0.014532933011651039, 0.05014616250991821, -0.027064276859164238, 0.005175510421395302
577789, 2.555518865585327, -3.1299479007720947, -12.037778854370117, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.03233838081359863, -0.4112042188644409, 0.014691718854010105, 0.053540755063295364, -0.03133028745651245, 0.006305511109530926
577799, 2.650651216506958, -3.1143369674682617, -12.0258150100708, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.03160823509097099, -0.4106628894805908, 0.014777891337871552, 0.05734125152230263, -0.028875984251499176, 0.006805700249969959
577809, 2.6274523735046387, -3.1080949306488037, -12.029500961303711, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.0318615697324276, -0.4111771583557129, 0.014864508993923664, 0.05562271922826767, -0.03487072512507439, 0.007184185087680817
577819, 2.628084421157837, -3.1075339317321777, -12.034208297729492, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.03190110623836517, -0.41132044792175293, 0.014962619170546532, 0.05492669716477394, -0.03765390068292618, 0.007610931992530823
577829, 2.6062445640563965, -3.1452527046203613, -12.027670860290527, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.03237309679389, -0.41135165095329285, 0.015211638063192368, 0.05074810981750488, -0.03947576880455017, 0.008928705006837845
577839, 2.631164073944092, -3.116952657699585, -12.025333404541016, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.032404012978076935, -0.41128861904144287, 0.014904412440955639, 0.050030894577503204, -0.04087265953421593, 0.007009386550635099
