timeTick, stateX, stateY, stateZ, stateVX, stateVY, stateVZ, whisker1, whisker2, whisker3, otX, otY, otZ, laserFront
1568013, 0.0, 0.0, 62.83808135986328, 0.0, 0.0, 0.49285888671875, 154603.640625, 151311.046875, 165081.765625, -0.04937636852264404, -0.9950447082519531, 0.005904585123062134, 121.0
1568023, 0.0, 0.0, 62.83808135986328, 0.0, 0.0, 0.49285888671875, 154593.625, 151324.09375, 165091.34375, -0.04958313703536987, -0.9950141906738281, 0.005902029573917389, 121.0
1568033, 0.0, 0.0, 62.83808135986328, 0.0, 0.0, 0.49285888671875, 154606.140625, 151307.3125, 165084.28125, -0.04940617084503174, -0.9950714111328125, 0.006182871758937836, 121.0
1568043, 0.0, 0.0, 62.83808135986328, 0.0, 0.0, 0.49285888671875, 154601.125, 151313.53125, 165093.859375, -0.04939347505569458, -0.9950351715087891, 0.006222918629646301, 121.0
1568053, 0.0, 0.0, 62.83808135986328, 0.0, 0.0, 0.49285888671875, 154603.0625, 151309.796875, 165091.34375, -0.0493350625038147, -0.9950618743896484, 0.006401948630809784, 121.0
1568063, 0.0, 0.0, 62.83808135986328, 0.0, 0.0, 0.49285888671875, 154601.703125, 151311.671875, 165086.796875, -0.04940950870513916, -0.9950790405273438, 0.006276413798332214, 107.0
1568073, 0.0, 0.0, 62.83808135986328, 0.0, 0.0, 0.49285888671875, 154601.703125, 151311.671875, 165086.796875, -0.04941880702972412, -0.9950962066650391, 0.0062868595123291016, 107.0
1568083, 0.0, 0.0, 62.83808135986328, 0.0, 0.0, 0.49285888671875, 154601.703125, 151316.015625, 165088.828125, -0.04936033487319946, -0.9949913024902344, 0.006131388247013092, 107.0
1568093, 0.0, 0.0, 62.83808135986328, 0.0, 0.0, 0.49285888671875, 154601.125, 151317.25, 165095.890625, -0.04937744140625, -0.9950733184814453, 0.006249099969863892, 107.0
1568103, 0.0, 0.0, 62.83808135986328, 0.0, 0.0, 0.49285888671875, 154606.140625, 151309.796875, 165088.828125, -0.049414098262786865, -0.9950275421142578, 0.006079040467739105, 107.0
1568113, 0.0, 0.0, 62.83808135986328, 0.0, 0.0, 0.49285888671875, 154603.640625, 151309.796875, 165086.3125, -0.04942941665649414, -0.9950122833251953, 0.006242640316486359, 107.0
1568123, 0.0, 0.0, 62.83808135986328, 0.0, 0.0, 0.49285888671875, 154601.703125, 151306.0625, 165089.3125, -0.04938709735870361, -0.9949474334716797, 0.006409987807273865, 107.0
1568133, 0.0, 0.0, 62.83808135986328, 0.0, 0.0, 0.49285888671875, 154605.5625, 151308.5625, 165081.765625, -0.04915100336074829, -0.9950084686279297, 0.007041029632091522, 107.0
1568143, 0.0, 0.0, 62.83808135986328, 0.0, 0.0, 0.49285888671875, 154603.0625, 151309.1875, 165086.796875, -0.049471497535705566, -0.9950904846191406, 0.006153084337711334, 107.0
1568153, 0.0, 0.0, 62.83808135986328, 0.0, 0.0, 0.49285888671875, 154603.640625, 151305.4375, 165077.21875, -0.0494346022605896, -0.9950466156005859, 0.006158612668514252, 107.0
1568163, 0.0, 0.0, 62.83808135986328, 0.0, 0.0, 0.49285888671875, 154599.203125, 151312.28125, 165086.796875, -0.0493396520614624, -0.9950580596923828, 0.006014600396156311, 117.0
