timeTick, laserFront
102158, 119.0
102168, 119.0
102178, 119.0
102188, 119.0
102198, 119.0
102208, 119.0
102218, 119.0
102228, 119.0
102238, 119.0
102248, 119.0
102258, 136.0
102268, 136.0
102278, 136.0
102288, 136.0
102298, 136.0
102308, 136.0
102318, 136.0
102328, 136.0
102338, 136.0
102348, 136.0
102358, 116.0
102368, 116.0
102378, 116.0
102388, 116.0
102398, 116.0
102408, 116.0
102418, 116.0
102428, 116.0
102438, 116.0
102448, 116.0
102458, 135.0
102468, 135.0
102478, 135.0
102488, 135.0
102498, 135.0
102508, 135.0
102518, 135.0
102528, 135.0
102538, 135.0
102548, 135.0
102558, 122.0
102568, 122.0
102578, 122.0
102588, 122.0
102598, 122.0
102608, 122.0
102618, 122.0
102628, 122.0
102638, 122.0
102648, 122.0
102658, 135.0
102668, 135.0
102678, 135.0
102688, 135.0
102698, 135.0
102708, 135.0
102718, 135.0
102728, 135.0
102738, 135.0
102749, 135.0
102759, 117.0
102768, 117.0
102778, 117.0
102788, 117.0
102798, 117.0
102808, 117.0
102819, 117.0
102828, 117.0
102838, 117.0
102848, 117.0
102859, 135.0
102869, 135.0
102878, 135.0
102888, 135.0
102899, 135.0
102908, 135.0
102919, 135.0
102928, 135.0
102938, 135.0
102949, 135.0
102958, 121.0
102968, 121.0
102978, 121.0
102988, 121.0
102998, 121.0
103009, 121.0
103018, 121.0
103028, 121.0
103038, 121.0
103048, 121.0
103058, 138.0
103068, 138.0
103078, 138.0
103088, 138.0
103098, 138.0
103109, 138.0
103118, 138.0
103128, 138.0
103138, 138.0
103148, 138.0
103158, 118.0
103168, 118.0
103178, 118.0
103188, 118.0
103198, 118.0
103209, 118.0
103218, 118.0
103228, 118.0
103238, 118.0
103248, 118.0
103259, 136.0
103268, 136.0
103278, 136.0
103288, 136.0
103298, 136.0
103309, 136.0
103318, 136.0
103328, 136.0
103338, 136.0
103348, 136.0
103359, 122.0
103368, 122.0
103378, 122.0
103388, 122.0
103399, 122.0
103409, 122.0
103418, 122.0
103428, 122.0
103438, 122.0
103448, 122.0
103459, 136.0
103468, 136.0
103478, 136.0
103488, 136.0
103498, 136.0
103509, 136.0
103518, 136.0
103528, 136.0
103538, 136.0
103548, 136.0
103559, 118.0
