timeTick, stateX, stateY, stateZ, stateVX, stateVY, stateVZ, whisker1, whisker2, whisker3, motor1, motor2, motor3, motor4, otX, otY, otZ, yaw
43046, 0.0, 0.0, 82.97742462158203, 0.0, 0.0, 0.304412841796875, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.015998810529708862, -0.7365570068359375, -0.0028581619262695312, 0.600276529788971
43056, 0.0, 0.0, 82.98289489746094, 0.0, 0.0, 0.547027587890625, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.015991240739822388, -0.7364835739135742, -0.0026502981781959534, 0.6002916097640991
43066, 0.0, 0.0, 82.98782348632812, 0.0, 0.0, 0.49285888671875, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.015926063060760498, -0.7366733551025391, -0.002487070858478546, 0.6004912853240967
43076, 0.0, 0.0, 83.00154876708984, 0.0, 0.0, 1.372528076171875, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.015591740608215332, -0.7384424209594727, 0.01898743212223053, 0.6015321612358093
43086, 0.0, 0.0, 83.01390838623047, 0.0, 0.0, 1.2359619140625, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.015616416931152344, -0.7386341094970703, 0.018672823905944824, 0.6014827489852905
43096, 0.0, 0.0, 83.026123046875, 0.0, 0.0, 1.221466064453125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.015668630599975586, -0.7384443283081055, 0.01894739270210266, 0.6029682755470276
43106, 0.0, 0.0, 83.03711700439453, 0.0, 0.0, 1.099395751953125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.016045421361923218, -0.7366762161254883, -0.0026337653398513794, 0.6039533019065857
43116, 0.0, 0.0, 83.04045104980469, 0.0, 0.0, 0.333404541015625, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.016091108322143555, -0.7366361618041992, -0.0027328506112098694, 0.6037824153900146
43126, 0.0, 0.0, 83.04344940185547, 0.0, 0.0, 0.299835205078125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.01607993245124817, -0.7365274429321289, -0.0027529820799827576, 0.605242133140564
43136, 0.0, 0.0, 83.04122924804688, 0.0, 0.0, -0.222015380859375, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.01614171266555786, -0.7364473342895508, -0.002742573618888855, 0.6038950681686401
43146, 0.0, 0.0, 83.03923034667969, 0.0, 0.0, -0.19989013671875, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.015949487686157227, -0.7366218566894531, -0.0024194717407226562, 0.6037102937698364
43156, 0.0, 0.0, 83.03414916992188, 0.0, 0.0, -0.50811767578125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.01602989435195923, -0.7364683151245117, -0.0026989951729774475, 0.603527843952179
43166, 0.0, 0.0, 83.02957916259766, 0.0, 0.0, -0.457000732421875, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.015642791986465454, -0.7385072708129883, 0.018471047282218933, 0.6026864051818848
43176, 0.0, 0.0, 83.01835632324219, 0.0, 0.0, -1.122283935546875, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.015610069036483765, -0.7384510040283203, 0.019260257482528687, 0.6038920879364014
43186, 0.0, 0.0, 83.00825500488281, 0.0, 0.0, -1.0101318359375, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.015626519918441772, -0.7385578155517578, 0.01865631341934204, 0.6038376688957214
43196, 0.0, 0.0, 82.9942398071289, 0.0, 0.0, -1.401519775390625, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.015714794397354126, -0.7384986877441406, 0.018606826663017273, 0.6043375730514526
43206, 0.0, 0.0, 82.98162841796875, 0.0, 0.0, -1.261138916015625, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.015705376863479614, -0.7385787963867188, 0.018557652831077576, 0.6049174070358276
43216, 0.0, 0.0, 82.97683715820312, 0.0, 0.0, -0.4791259765625, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.01604783535003662, -0.7365579605102539, -0.0027350932359695435, 0.6044360399246216
43226, 0.0, 0.0, 82.97252655029297, 0.0, 0.0, -0.431060791015625, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.015855759382247925, -0.7366600036621094, -0.0028999820351600647, 0.6043462753295898
43236, 0.0, 0.0, 82.97138214111328, 0.0, 0.0, -0.11444091796875, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.016248881816864014, -0.7365589141845703, -0.0028088465332984924, 0.6051118969917297
43246, 0.0, 0.0, 82.97035217285156, 0.0, 0.0, -0.102996826171875, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.016022980213165283, -0.7366113662719727, -0.0027082711458206177, 0.6049462556838989
43256, 0.0, 0.0, 82.96669006347656, 0.0, 0.0, -0.3662109375, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.016002029180526733, -0.7365036010742188, -0.0028612688183784485, 0.6056687235832214
43266, 0.0, 0.0, 82.96339416503906, 0.0, 0.0, -0.32958984375, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.015551924705505371, -0.7384757995605469, 0.01860848069190979, 0.605903685092926
43276, 0.0, 0.0, 82.95714569091797, 0.0, 0.0, -0.624847412109375, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.015724986791610718, -0.7384510040283203, 0.018692463636398315, 0.6054494976997375
43286, 0.0, 0.0, 82.95152282714844, 0.0, 0.0, -0.562286376953125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.01577550172805786, -0.7384653091430664, 0.018696635961532593, 0.6055384278297424
43296, 0.0, 0.0, 82.93990325927734, 0.0, 0.0, -1.161956787109375, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.015621572732925415, -0.738581657409668, 0.01876033842563629, 0.6055840253829956
43306, 0.0, 0.0, 82.929443359375, 0.0, 0.0, -1.045989990234375, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.016093850135803223, -0.7365875244140625, -0.002734065055847168, 0.607051432132721
43316, 0.0, 0.0, 82.92166900634766, 0.0, 0.0, -0.777435302734375, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.016273021697998047, -0.7367639541625977, -0.003414839506149292, 0.6069125533103943
43326, 0.0, 0.0, 82.9146728515625, 0.0, 0.0, -0.699615478515625, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.016030341386795044, -0.7365398406982422, -0.002713911235332489, 0.6066302061080933
43336, 0.0, 0.0, 82.90728759765625, 0.0, 0.0, -0.738525390625, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.016019225120544434, -0.7366151809692383, -0.0026568248867988586, 0.6065981388092041
