timeTick, stateX, stateY, stateZ, stateVX, stateVY, stateVZ, whisker1, whisker2, whisker3, laserFront
610430, 0.0, 0.0, -102.47762298583984, 0.0, 0.0, 0.164031982421875, 157462.640625, 144421.140625, 149379.53125, 175.0
610450, 0.0, 0.0, -102.47317504882812, 0.0, 0.0, 0.296783447265625, 157458.734375, 144419.796875, 149384.421875, 175.0
610470, 0.0, 0.0, -102.46426391601562, 0.0, 0.0, 0.623321533203125, 157459.578125, 144413.765625, 149380.109375, 177.0
610490, 0.0, 0.0, -102.45523834228516, 0.0, 0.0, 0.341033935546875, 157452.609375, 144413.09375, 149383.21875, 177.0
610510, 0.0, 0.0, -102.44640350341797, 0.0, 0.0, 0.5767822265625, 157455.671875, 144421.140625, 149380.734375, 177.0
610530, 0.0, 0.0, -102.43599700927734, 0.0, 0.0, 0.5218505859375, 157453.703125, 144416.21875, 149380.109375, 177.0
610550, 0.0, 0.0, -102.43171691894531, 0.0, 0.0, -0.041961669921875, 157460.6875, 144418.015625, 149382.578125, 177.0
610570, 0.0, 0.0, -102.42669677734375, 0.0, 0.0, 0.5401611328125, 157452.609375, 144413.765625, 149385.6875, 176.0
610590, 0.0, 0.0, -102.41664123535156, 0.0, 0.0, 0.519561767578125, 157450.640625, 144418.015625, 149390.015625, 176.0
610610, 0.0, 0.0, -102.41923522949219, 0.0, 0.0, -0.727081298828125, 157455.671875, 144422.25, 149389.390625, 176.0
610630, 0.0, 0.0, -102.44124603271484, 0.0, 0.0, -1.546478271484375, 157457.625, 144417.328125, 149382.578125, 176.0
610650, 0.0, 0.0, -102.4603042602539, 0.0, 0.0, -0.51422119140625, 157458.171875, 144417.328125, 149382.578125, 176.0
610670, 0.0, 0.0, -102.47757720947266, 0.0, 0.0, -1.264190673828125, 157467.109375, 144420.46875, 149383.21875, 183.0
610690, 0.0, 0.0, -102.50602722167969, 0.0, 0.0, -1.70745849609375, 157455.671875, 144416.21875, 149378.265625, 183.0
610710, 0.0, 0.0, -102.52920532226562, 0.0, 0.0, -0.78125, 157462.640625, 144414.4375, 149382.578125, 183.0
610730, 0.0, 0.0, -102.53409576416016, 0.0, 0.0, 0.214385986328125, 157460.140625, 144417.328125, 149385.6875, 183.0
610750, 0.0, 0.0, -102.53125, 0.0, 0.0, 0.091552734375, 157455.109375, 144416.65625, 149393.703125, 183.0
610770, 0.0, 0.0, -102.53597259521484, 0.0, 0.0, -0.554656982421875, 157455.671875, 144418.015625, 149383.21875, 176.0
610790, 0.0, 0.0, -102.53807067871094, 0.0, 0.0, 0.289154052734375, 157452.296875, 144421.578125, 149385.0625, 176.0
610810, 0.0, 0.0, -102.53996276855469, 0.0, 0.0, -0.449371337890625, 157450.640625, 144422.25, 149392.5, 176.0
610830, 0.0, 0.0, -102.54244995117188, 0.0, 0.0, 0.1556396484375, 157451.203125, 144418.6875, 149383.21875, 176.0
610850, 0.0, 0.0, -102.54717254638672, 0.0, 0.0, -0.61187744140625, 157453.703125, 144418.6875, 149387.53125, 176.0
610870, 0.0, 0.0, -102.55845642089844, 0.0, 0.0, -0.577545166015625, 157462.09375, 144413.765625, 149381.375, 175.0
610890, 0.0, 0.0, -102.56150817871094, 0.0, 0.0, 0.21514892578125, 157453.15625, 144411.296875, 149383.21875, 175.0
610910, 0.0, 0.0, -102.5570068359375, 0.0, 0.0, 0.25634765625, 157453.703125, 144424.71875, 149390.65625, 175.0
610930, 0.0, 0.0, -102.55070495605469, 0.0, 0.0, 0.399017333984375, 157446.171875, 144415.546875, 149391.859375, 175.0
610950, 0.0, 0.0, -102.54032135009766, 0.0, 0.0, 0.67901611328125, 157460.6875, 144428.96875, 149390.015625, 175.0
610970, 0.0, 0.0, -102.5287094116211, 0.0, 0.0, 0.550079345703125, 157457.625, 144413.09375, 149384.421875, 172.0
610990, 0.0, 0.0, -102.52450561523438, 0.0, 0.0, -0.074005126953125, 157451.203125, 144422.25, 149390.015625, 172.0
611010, 0.0, 0.0, -102.52194213867188, 0.0, 0.0, 0.322723388671875, 157456.21875, 144412.421875, 149390.015625, 172.0
