timeTick, stateX, stateY, stateZ, stateVX, stateVY, stateVZ, whisker1, whisker2, whisker3, motor1, motor2, motor3, motor4, otX, otY, otZ
127114, 1.1532881217135582e-05, 8.140027603076305e-06, -0.0007992481114342809, 0.0025546301621943712, 0.0018076372798532248, -0.17761048674583435, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.027412742376327515, -0.8694734573364258, 0.024429351091384888
127124, 5.050892650615424e-05, 3.579275289666839e-05, -0.003561850171536207, 0.005246964283287525, 0.0037248593289405107, -0.3749094605445862, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.027412742376327515, -0.8694734573364258, 0.024429351091384888
127134, 0.0001163544729934074, 8.320447523146868e-05, -0.008297710679471493, 0.007922840304672718, 0.0057569341734051704, -0.5722622871398926, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.027412742376327515, -0.8694734573364258, 0.024429351091384888
127144, 0.00021025189198553562, 0.00015112162509467453, -0.015008499845862389, 0.010863383300602436, 0.007826140150427818, -0.7698950171470642, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.027412742376327515, -0.8694734573364258, 0.024429351091384888
127154, 0.000334095093421638, 0.00023967985180206597, -0.02369532734155655, 0.013908350840210915, 0.009883658960461617, -0.967470109462738, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.027412742376327515, -0.8694734573364258, 0.024429351091384888
127164, 0.0004881878849118948, 0.0003481133608147502, -0.03435710817575455, 0.01691027730703354, 0.011802715249359608, -1.1648861169815063, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.027412742376327515, -0.8694734573364258, 0.024429351091384888
127174, 0.0006716936477459967, 0.00047578138764947653, -0.046991996467113495, 0.019796855747699738, 0.013729427941143513, -1.3620911836624146, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.027412742376327515, -0.8694734573364258, 0.024429351091384888
127184, 0.0008849764708429575, 0.0006228866404853761, -0.06159915030002594, 0.022867433726787567, 0.0156907569617033, -1.5593394041061401, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.027412742376327515, -0.8694734573364258, 0.024429351091384888
127194, 0.0011288289679214358, 0.0007901096832938492, -0.07817895710468292, 0.02590845339000225, 0.017754027619957924, -1.7566208839416504, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.027412742376327515, -0.8694734573364258, 0.024429351091384888
127204, 0.001403099624440074, 0.0009786506416276097, -0.09673232585191727, 0.028954284265637398, 0.01995730772614479, -1.9540528059005737, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.027412742376327515, -0.8694734573364258, 0.024429351091384888
127214, 0.0017078020609915257, 0.0011889266315847635, -0.11725994944572449, 0.03198736160993576, 0.02210131660103798, -2.1514718532562256, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.027412742376327515, -0.8694734573364258, 0.024429351091384888
127224, 0.002042336855083704, 0.0014202028978616, -0.13976195454597473, 0.03492521122097969, 0.024152690544724464, -2.3489298820495605, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.027412742376327515, -0.8694734573364258, 0.024429351091384888
127234, 0.0024065731558948755, 0.0016719457926228642, -0.16423845291137695, 0.03792688623070717, 0.02619573101401329, -2.546367883682251, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.027412742376327515, -0.8694734573364258, 0.024429351091384888
127244, 0.002800514455884695, 0.00194406951777637, -0.1906892955303192, 0.04086751490831375, 0.0282270647585392, -2.743800640106201, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.027412742376327515, -0.8694734573364258, 0.024429351091384888
