timeTick, stateX, stateY, stateZ, stateVX, stateVY, stateVZ, whisker1, whisker2, whisker3, motor1, motor2, motor3, motor4, laserFront
73512, 0.0, 0.0, 57.238800048828125, 0.0, 0.0, -0.5397796630859375, 155868.578125, 152666.859375, 166418.453125, 0.0, 0.0, 0.0, 0.0, 121.0
73522, 0.0, 0.0, 57.23394012451172, 0.0, 0.0, -0.485992431640625, 155871.078125, 152659.40625, 166414.984375, 0.0, 0.0, 0.0, 0.0, 121.0
73532, 0.0, 0.0, 57.22847366333008, 0.0, 0.0, -0.5466461181640625, 155871.078125, 152659.40625, 166414.984375, 0.0, 0.0, 0.0, 0.0, 121.0
73542, 0.0, 0.0, 57.22355270385742, 0.0, 0.0, -0.492095947265625, 155868.578125, 152673.109375, 166405.890625, 0.0, 0.0, 0.0, 0.0, 121.0
73552, 0.0, 0.0, 57.23060989379883, 0.0, 0.0, 0.705718994140625, 155873.59375, 152669.953125, 166414.984375, 0.0, 0.0, 0.0, 0.0, 121.0
73562, 0.0, 0.0, 57.236961364746094, 0.0, 0.0, 0.6351470947265625, 155868.578125, 152671.84375, 166417.5, 0.0, 0.0, 0.0, 0.0, 131.0
73572, 0.0, 0.0, 57.23830032348633, 0.0, 0.0, 0.1338958740234375, 155873.015625, 152664.984375, 166431.625, 0.0, 0.0, 0.0, 0.0, 131.0
73582, 0.0, 0.0, 57.239505767822266, 0.0, 0.0, 0.12054443359375, 155873.59375, 152669.34375, 166417.015625, 0.0, 0.0, 0.0, 0.0, 131.0
73592, 0.0, 0.0, 57.239498138427734, 0.0, 0.0, -0.000762939453125, 155871.078125, 152663.765625, 166422.046875, 0.0, 0.0, 0.0, 0.0, 131.0
73602, 0.0, 0.0, 57.2394905090332, 0.0, 0.0, -0.000762939453125, 155874.953125, 152669.34375, 166414.984375, 0.0, 0.0, 0.0, 0.0, 131.0
73612, 0.0, 0.0, 57.24276351928711, 0.0, 0.0, 0.327301025390625, 155873.59375, 152666.859375, 166422.046875, 0.0, 0.0, 0.0, 0.0, 131.0
73622, 0.0, 0.0, 57.24570846557617, 0.0, 0.0, 0.29449462890625, 155878.03125, 152678.078125, 166415.953125, 0.0, 0.0, 0.0, 0.0, 131.0
73632, 0.0, 0.0, 57.25, 0.0, 0.0, 0.4291534423828125, 155874.953125, 152673.71875, 166412.953125, 0.0, 0.0, 0.0, 0.0, 131.0
73642, 0.0, 0.0, 57.25386428833008, 0.0, 0.0, 0.3864288330078125, 155866.640625, 152676.203125, 166425.046875, 0.0, 0.0, 0.0, 0.0, 131.0
73652, 0.0, 0.0, 57.25187301635742, 0.0, 0.0, -0.199127197265625, 155872.453125, 152669.34375, 166415.46875, 0.0, 0.0, 0.0, 0.0, 131.0
73662, 0.0, 0.0, 57.25008010864258, 0.0, 0.0, -0.179290771484375, 155868.015625, 152666.859375, 166420.5, 0.0, 0.0, 0.0, 0.0, 117.0
73672, 0.0, 0.0, 57.246826171875, 0.0, 0.0, -0.3253936767578125, 155878.03125, 152672.4375, 166411.515625, 0.0, 0.0, 0.0, 0.0, 117.0
73682, 0.0, 0.0, 57.243900299072266, 0.0, 0.0, -0.2925872802734375, 155875.53125, 152674.328125, 166414.5, 0.0, 0.0, 0.0, 0.0, 117.0
73692, 0.0, 0.0, 57.23798370361328, 0.0, 0.0, -0.5916595458984375, 155868.578125, 152669.953125, 166408.40625, 0.0, 0.0, 0.0, 0.0, 117.0
73702, 0.0, 0.0, 57.23265838623047, 0.0, 0.0, -0.53253173828125, 155871.078125, 152678.6875, 166412.953125, 0.0, 0.0, 0.0, 0.0, 117.0
73712, 0.0, 0.0, 57.233333587646484, 0.0, 0.0, 0.0675201416015625, 155877.46875, 152671.84375, 166409.953125, 0.0, 0.0, 0.0, 0.0, 117.0
73722, 0.0, 0.0, 57.233943939208984, 0.0, 0.0, 0.06103515625, 155877.46875, 152667.46875, 166424.09375, 0.0, 0.0, 0.0, 0.0, 117.0
73732, 0.0, 0.0, 57.233943939208984, 0.0, 0.0, 0.0, 155876.09375, 152671.84375, 166414.984375, 0.0, 0.0, 0.0, 0.0, 117.0
73742, 0.0, 0.0, 57.233943939208984, 0.0, 0.0, 0.0, 155873.59375, 152676.203125, 166412.46875, 0.0, 0.0, 0.0, 0.0, 117.0
73752, 0.0, 0.0, 57.225196838378906, 0.0, 0.0, -0.8747100830078125, 155871.078125, 152679.296875, 166417.5, 0.0, 0.0, 0.0, 0.0, 117.0
