timeTick, stateX, stateY, stateZ, stateVX, stateVY, stateVZ, whisker1, whisker2, whisker3, motor1, motor2, motor3, motor4, otX, otY, otZ, laserHeight
266865, -0.043872568756341934, -1.296850323677063, 0.008255302906036377, 0.043367188423871994, 0.0016731101786717772, 0.008240299299359322, 0.0, 0.0, 0.0, 39838.0, 37956.0, 41976.0, 43481.0, -0.04737287759780884, -1.296682357788086, 0.009356051683425903, 0.0
266875, -0.04379517585039139, -1.2968711853027344, 0.008340207859873772, 0.04390215128660202, 0.001486030058003962, 0.01608511060476303, 0.0, 0.0, 0.0, 43409.0, 39257.0, 38278.0, 42649.0, -0.047813355922698975, -1.2968120574951172, 0.007829979062080383, 0.0
266885, -0.043665044009685516, -1.2968323230743408, 0.008563932962715626, 0.04460866376757622, 0.0017322717467322946, 0.018901146948337555, 0.0, 0.0, 0.0, 45027.0, 37417.0, 36422.0, 43576.0, -0.04817652702331543, -1.2968120574951172, 0.008353158831596375, 0.0
266895, -0.04350655898451805, -1.2967580556869507, 0.00877434853464365, 0.04533620551228523, 0.002233044942840934, 0.01681738905608654, 0.0, 0.0, 0.0, 42900.0, 35759.0, 38543.0, 45210.0, -0.04731065034866333, -1.2968463897705078, 0.00885036587715149, 0.0
266905, -0.04367143660783768, -1.296763300895691, 0.008782090619206429, 0.04474493861198425, 0.0021858764812350273, 0.016848813742399216, 0.0, 0.0, 0.0, 38632.0, 37500.0, 42675.0, 43881.0, -0.04761314392089844, -1.2967357635498047, 0.008944466710090637, 0.0
266915, -0.04310360178351402, -1.2966850996017456, 0.00901339203119278, 0.046909600496292114, 0.0026528681628406048, 0.011828353628516197, 0.0, 0.0, 0.0, 43443.0, 40721.0, 37621.0, 41357.0, -0.0474475622177124, -1.2966728210449219, 0.008741512894630432, 0.0
266925, -0.04301857948303223, -1.2966490983963013, 0.009077209047973156, 0.047127194702625275, 0.002856768202036619, 0.008026927709579468, 0.0, 0.0, 0.0, 42224.0, 39754.0, 39758.0, 42036.0, -0.04776144027709961, -1.2967071533203125, 0.009004160761833191, 0.0
266935, -0.04295439273118973, -1.296643614768982, 0.009026759304106236, 0.04711024463176727, 0.0027347744908183813, 0.0014755474403500557, 0.0, 0.0, 0.0, 43212.0, 37391.0, 38566.0, 44378.0, -0.048167526721954346, -1.296844482421875, 0.007457807660102844, 0.0
266945, -0.04286385700106621, -1.296633243560791, 0.008889290504157543, 0.04709622636437416, 0.002649884670972824, -0.006784053053706884, 0.0, 0.0, 0.0, 43845.0, 39200.0, 38274.0, 42647.0, -0.04823446273803711, -1.2966537475585938, 0.007766008377075195, 0.0
266955, -0.04307201877236366, -1.2966610193252563, 0.008859839290380478, 0.04630282148718834, 0.0024849886540323496, -0.006928098388016224, 0.0, 0.0, 0.0, 45576.0, 38174.0, 36476.0, 43896.0, -0.04781287908554077, -1.2970008850097656, 0.008333206176757812, 0.0
