timeTick, stateX, stateY, stateZ, stateVX, stateVY, stateVZ, whisker1_1, whisker1_2, whisker1_3, whisker2_1, whisker2_2, whisker2_3, motor1, motor2, motor3, motor4, yaw, pitch, laserFront
52641, 0.10437226295471191, -0.48086851835250854, 0.8832683563232422, 0.009927008301019669, -0.0013559043873101473, -0.22124511003494263, 81728.4296875, 110656.546875, 75187.2578125, 47470.046875, 129944.0234375, 126993.609375, 45246.0, 40789.0, 45044.0, 46952.0, 4.775412082672119, -0.004071182105690241, 1266.0
52661, 0.10457034409046173, -0.4808914065361023, 0.8788393139839172, 0.009873546659946442, -0.0009489947697147727, -0.22165612876415253, 81724.546875, 110660.0703125, 75186.3203125, 47469.66796875, 129930.765625, 126993.609375, 45348.0, 40253.0, 45434.0, 47913.0, 4.771787643432617, 0.010662339627742767, 1266.0
52681, 0.10476647317409515, -0.48090681433677673, 0.8743836879730225, 0.009721210226416588, -0.0005830500740557909, -0.2233659327030182, 81722.921875, 110653.015625, 75189.0, 47469.140625, 129940.7734375, 126995.203125, 46442.0, 40969.0, 44808.0, 47749.0, 4.763714790344238, 0.04564373940229416, 1266.0
52701, 0.10495887696743011, -0.48091453313827515, 0.8699328303337097, 0.00950976274907589, -0.00019907216483261436, -0.222333163022995, 81723.734375, 110660.8125, 75180.15625, 47470.046875, 129954.2890625, 126996.7890625, 46208.0, 41438.0, 45577.0, 47859.0, 4.758549690246582, 0.05838263779878616, 1274.0
52721, 0.1051463931798935, -0.48091548681259155, 0.8654985427856445, 0.00925126951187849, 7.321141310967505e-05, -0.22029751539230347, 81727.40625, 110650.8828125, 75186.3203125, 47470.046875, 129938.5234375, 126992.0234375, 45499.0, 40519.0, 46622.0, 48774.0, 4.751220226287842, 0.06358568370342255, 1274.0
52741, 0.10532911121845245, -0.4809114933013916, 0.8611336350440979, 0.009007207117974758, 0.0003549348621163517, -0.21723276376724243, 81722.921875, 110654.4140625, 75183.640625, 47469.66796875, 129955.9140625, 126999.6796875, 45951.0, 41059.0, 46667.0, 48620.0, 4.750182628631592, 0.0696849375963211, 1274.0
52761, 0.10550648719072342, -0.48090046644210815, 0.8568215370178223, 0.0087352329865098, 0.0007510799914598465, -0.2134278416633606, 81724.546875, 110658.6796875, 75179.3515625, 47470.94921875, 129952.0390625, 126993.609375, 44844.0, 41011.0, 44788.0, 46190.0, 4.756145000457764, 0.06424333155155182, 1283.0
52781, 0.10567798465490341, -0.4808824956417084, 0.8525635004043579, 0.008421848528087139, 0.0010329695651307702, -0.21352596580982208, 81730.0625, 110658.6796875, 75175.8671875, 47471.4765625, 129946.2734375, 127003.5, 45016.0, 40087.0, 44305.0, 46496.0, 4.759711742401123, 0.08169619739055634, 1283.0
52801, 0.10584336519241333, -0.48086026310920715, 0.8482733964920044, 0.008132986724376678, 0.0011728799436241388, -0.21440735459327698, 81722.7109375, 110663.6796875, 75178.546875, 47471.1015625, 129949.15625, 127010.8671875, 45028.0, 39236.0, 44449.0, 47307.0, 4.759706020355225, 0.07124859094619751, 1293.0
52821, 0.10600396990776062, -0.48083657026290894, 0.843955934047699, 0.007943056523799896, 0.0011769438860937953, -0.21811464428901672, 81731.0859375, 110662.9453125, 75181.09375, 47473.140625, 129938.5234375, 127002.5625, 45153.0, 39623.0, 44780.0, 47423.0, 4.757805824279785, 0.04781699180603027, 1293.0
52841, 0.10616178065538406, -0.4808136522769928, 0.839582622051239, 0.007854911498725414, 0.001112637692131102, -0.2189234346151352, 81728.4296875, 110660.8125, 75182.8359375, 47472.00390625, 129937.890625, 127009.2734375, 44894.0, 40039.0, 45465.0, 47503.0, 4.755324840545654, 0.01728750206530094, 1293.0
52861, 0.10631854832172394, -0.4807918667793274, 0.835176944732666, 0.007826687768101692, 0.0010736508993431926, -0.22142043709754944, 81733.9453125, 110653.015625, 75180.15625, 47474.1953125, 129952.671875, 127006.390625, 46071.0, 40555.0, 44768.0, 47508.0, 4.7519378662109375, 0.005862236954271793, 1303.0
52881, 0.10647524893283844, -0.48077094554901123, 0.8307462334632874, 0.007844236679375172, 0.0010001540649682283, -0.22209228575229645, 81733.9453125, 110657.28125, 75177.609375, 47472.3828125, 129949.7890625, 127007.0390625, 46546.0, 40490.0, 44693.0, 48165.0, 4.742245674133301, -0.0027524966280907393, 1303.0
52901, 0.10663250088691711, -0.48075297474861145, 0.8262999653816223, 0.007876906543970108, 0.0007786731002852321, -0.2215903103351593, 81733.9453125, 110665.078125, 75171.4453125, 47470.57421875, 129961.0546875, 127007.0390625, 45597.0, 40794.0, 45971.0, 48277.0, 4.723511219024658, -0.0013215603539720178, 1303.0
52921, 0.10679014027118683, -0.48074015974998474, 0.8219006061553955, 0.007882137782871723, 0.000496310880407691, -0.21846964955329895, 81732.109375, 110665.8125, 75184.7109375, 47475.85546875, 129961.0546875, 127009.2734375, 44716.0, 40109.0, 47312.0, 49116.0, 4.705687046051025, 0.008242686279118061, 1311.0
52941, 0.10694748163223267, -0.48073241114616394, 0.8175557851791382, 0.007828110828995705, 0.00028238468803465366, -0.21570703387260437, 81733.9453125, 110658.7578125, 75181.8984375, 47472.53125, 129958.171875, 127009.2734375, 46379.0, 41084.0, 45967.0, 48778.0, 4.688760280609131, 0.03409090265631676, 1311.0
52961, 0.10710342228412628, -0.48072919249534607, 0.8132789134979248, 0.0077665699645876884, 3.116894367849454e-05, -0.2130429744720459, 81733.9453125, 110662.28125, 75174.125, 47474.72265625, 129959.796875, 127011.5078125, 45521.0, 39087.0, 44028.0, 47736.0, 4.670220851898193, 0.023728499189019203, 1311.0
52981, 0.10725820064544678, -0.48073098063468933, 0.8090085983276367, 0.007728527300059795, -0.0002101872960338369, -0.21351519227027893, 81730.875, 110662.28125, 75171.4453125, 47472.76171875, 129945.28125, 127013.1015625, 44644.0, 38772.0, 44705.0, 47527.0, 4.663666248321533, 0.006649089511483908, 1321.0
53001, 0.10741330683231354, -0.48073676228523254, 0.8047307133674622, 0.007801604922860861, -0.0003615450987126678, -0.21576862037181854, 81730.265625, 110660.1484375, 75174.9296875, 47477.2890625, 129952.671875, 127009.921875, 44882.0, 39329.0, 44759.0, 47384.0, 4.669467449188232, -0.031108662486076355, 1321.0
53021, 0.10757117718458176, -0.48074519634246826, 0.8003595471382141, 0.007997190579771996, -0.0004867535608354956, -0.22068342566490173, 81737.6171875, 110658.015625, 75181.09375, 47475.62890625, 129945.28125, 127011.5078125, 45482.0, 39683.0, 44635.0, 47352.0, 4.67520809173584, -0.0623503178358078, 1333.0
53041, 0.10773390531539917, -0.4807570278644562, 0.7959071397781372, 0.008281669579446316, -0.0006930765230208635, -0.22487089037895203, 81732.921875, 110665.078125, 75171.578125, 47473.66796875, 129952.671875, 127016.6328125, 45461.0, 40652.0, 45331.0, 47114.0, 4.6879706382751465, -0.08348552137613297, 1333.0
53061, 0.10790271311998367, -0.48077306151390076, 0.7913850545883179, 0.008611157536506653, -0.0009189941338263452, -0.22687365114688873, 81731.8984375, 110657.28125, 75172.3828125, 47476.76171875, 129963.3046875, 127018.2265625, 45939.0, 40559.0, 45497.0, 47709.0, 4.703913688659668, -0.09731855243444443, 1333.0
53081, 0.10807837545871735, -0.4807938039302826, 0.7868252992630005, 0.008949412032961845, -0.0011602104641497135, -0.22932757437229156, 81736.59375, 110664.4140625, 75172.515625, 47476.91015625, 129946.90625, 127021.40625, 45643.0, 40577.0, 46138.0, 48102.0, 4.720977306365967, -0.09011474251747131, 1340.0
53101, 0.10826034098863602, -0.48081982135772705, 0.7822359204292297, 0.009237049147486687, -0.0014538479736074805, -0.2289097011089325, 81732.921875, 110666.546875, 75174.9296875, 47473.2890625, 129961.6796875, 127016.6328125, 45438.0, 39908.0, 47034.0, 48965.0, 4.7346930503845215, -0.0695987120270729, 1340.0
53121, 0.10844720155000687, -0.4808514714241028, 0.7776806950569153, 0.0094306580722332, -0.0016925501404330134, -0.22680766880512238, 81738.4296875, 110667.2109375, 75164.4765625, 47476.91015625, 129962.6796875, 127020.4609375, 46834.0, 41587.0, 46058.0, 48154.0, 4.756113052368164, -0.0412532240152359, 1340.0
