timeTick, stateX, stateY, stateZ, stateVX, stateVY, stateVZ, whisker1_1, whisker1_2, whisker1_3, whisker2_1, whisker2_2, whisker2_3, motor1, motor2, motor3, motor4, otX, otY, otZ, yaw, pitch
152839, 1.7728376388549805, -3.3362019062042236, 0.0022141565568745136, -0.0651487186551094, -0.0093445535749197, -0.005968817044049501, 118730.6796875, 148778.34375, 89931.09375, 120189.7109375, 139875.3125, 98392.328125, 0.0, 0.0, 0.0, 0.0, 1.7801940441131592, -3.334857940673828, -0.010932707227766514, 84.31381225585938, 3.9656310081481934
152859, 1.7728495597839355, -3.3356852531433105, 0.0033031923230737448, -0.06503402441740036, -0.004850312136113644, 0.001163342036306858, 118721.9296875, 148775.109375, 89929.1484375, 120188.171875, 139870.765625, 98391.0546875, 0.0, 0.0, 0.0, 0.0, 1.7801580429077148, -3.3348023891448975, -0.010889286175370216, 84.24922943115234, 3.9872536659240723
152879, 1.7729297876358032, -3.336043357849121, 0.0022065641824156046, -0.06369159370660782, -0.008471576496958733, -0.005664604250341654, 118726.3046875, 148778.34375, 89931.890625, 120191.90625, 139873.046875, 98393.6015625, 0.0, 0.0, 0.0, 0.0, 1.780133843421936, -3.334918975830078, -0.01044315192848444, 84.29869842529297, 3.952214479446411
152900, 1.7731776237487793, -3.336337089538574, 0.0033600779715925455, -0.06232146546244621, -0.011130044236779213, 0.0026798942126333714, 118724.1171875, 148774.65625, 89929.9453125, 120194.75, 139869.0, 98389.0234375, 0.0, 0.0, 0.0, 0.0, 1.7806326150894165, -3.3351120948791504, -0.011270314455032349, 84.2619400024414, 3.9404494762420654
152919, 1.7733197212219238, -3.336644172668457, 0.0020629323553293943, -0.061192017048597336, -0.013824143446981907, -0.005697968881577253, 118723.421875, 148780.65625, 89928.796875, 120185.9765625, 139870.25, 98396.390625, 0.0, 0.0, 0.0, 0.0, 1.7805886268615723, -3.335052490234375, -0.011113294400274754, 84.28173065185547, 3.9606010913848877
152940, 1.7728185653686523, -3.3362696170806885, 0.0035595984663814306, -0.06462384760379791, -0.01013779453933239, 0.004724531900137663, 118717.546875, 148771.4375, 89931.09375, 120195.6484375, 139875.3125, 98386.9921875, 0.0, 0.0, 0.0, 0.0, 1.7803668975830078, -3.3349225521087646, -0.01109025627374649, 84.24683380126953, 3.9685373306274414
152961, 1.7728081941604614, -3.336395025253296, 0.0021940632723271847, -0.06545005738735199, -0.011303652077913284, -0.004279937595129013, 118724.8046875, 148783.421875, 89933.0390625, 120200.0390625, 139874.8125, 98395.6328125, 0.0, 0.0, 0.0, 0.0, 1.7807104587554932, -3.3351120948791504, -0.011334395036101341, 84.25564575195312, 3.9814131259918213
152979, 1.7729120254516602, -3.335705280303955, 0.003016891423612833, -0.06478904187679291, -0.0051689716055989265, 0.001842290861532092, 118723.421875, 148778.34375, 89931.09375, 120190.3671875, 139877.59375, 98393.0859375, 0.0, 0.0, 0.0, 0.0, 1.7800488471984863, -3.334892511367798, -0.010456966236233711, 84.27069854736328, 3.982093095779419
153000, 1.7726380825042725, -3.3364181518554688, 0.002031582174822688, -0.06620749831199646, -0.011590344831347466, -0.004450683947652578, 118719.734375, 148775.578125, 89931.09375, 120193.453125, 139867.21875, 98398.9375, 0.0, 0.0, 0.0, 0.0, 1.780286192893982, -3.3348493576049805, -0.011021911166608334, 84.23405456542969, 3.9892776012420654
153019, 1.7723103761672974, -3.3361523151397705, 0.003919079899787903, -0.06860461831092834, -0.0090939374640584, 0.008544262498617172, 118718.2421875, 148776.046875, 89929.9453125, 120184.4296875, 139882.90625, 98395.6328125, 0.0, 0.0, 0.0, 0.0, 1.7802666425704956, -3.3348398208618164, -0.011008679866790771, 84.28385925292969, 3.977527141571045
