timeTick, stateX, stateY, stateZ, stateVX, stateVY, stateVZ, whisker1_1, whisker1_2, whisker1_3, whisker2_1, whisker2_2, whisker2_3, motor1, motor2, motor3, motor4, yaw, pitch, laserFront
513552, 0.02496139146387577, -0.2750346064567566, 1.3684148788452148, 0.11502593010663986, -0.008114061318337917, -0.023577461019158363, 78168.9765625, 107990.796875, 77065.546875, 45326.8203125, 125140.4140625, 124723.734375, 45475.0, 46287.0, 40881.0, 51334.0, -1.6860644817352295, -3.8747711181640625, 1140.0
513572, 0.027514008805155754, -0.2753147482872009, 1.3678667545318604, 0.12848195433616638, -0.008567205630242825, -0.022218387573957443, 78170.59375, 107990.796875, 77060.8671875, 45327.13671875, 125158.2421875, 124725.9609375, 44691.0, 47724.0, 41793.0, 50325.0, -1.6976219415664673, -3.722269296646118, 1140.0
513593, 0.03042861446738243, -0.2755900025367737, 1.3673031330108643, 0.1414513736963272, -0.0089968740940094, -0.023227699100971222, 78176.125, 107993.65625, 77061.1953125, 45326.50390625, 125164.9296875, 124723.734375, 40345.0, 47425.0, 45783.0, 50681.0, -1.7162938117980957, -3.4638357162475586, 1138.0
513613, 0.033390551805496216, -0.2759022116661072, 1.3667112588882446, 0.15251152217388153, -0.009278221987187862, -0.02358837053179741, 78177.109375, 107991.4140625, 77061.03125, 45326.50390625, 125182.1015625, 124717.7109375, 41013.0, 48145.0, 45354.0, 50022.0, -1.726587176322937, -3.154031276702881, 1138.0
513632, 0.03658489137887955, -0.2762000560760498, 1.3660129308700562, 0.16253869235515594, -0.009272328577935696, -0.02507120557129383, 78178.890625, 107989.3046875, 77059.2578125, 45326.50390625, 125170.0390625, 124728.1875, 43554.0, 48821.0, 43215.0, 49233.0, -1.731841802597046, -2.8408455848693848, 1138.0
513652, 0.04012443125247955, -0.2764768898487091, 1.365433931350708, 0.17201882600784302, -0.009243415668606758, -0.022712141275405884, 78182.46875, 107986.4453125, 77062.8046875, 45326.1875, 125176.9921875, 124722.1640625, 43835.0, 48168.0, 43278.0, 49734.0, -1.7275364398956299, -2.511401414871216, 1128.0
513672, 0.043586134910583496, -0.2767857611179352, 1.3648700714111328, 0.1796693205833435, -0.00942004844546318, -0.022736305370926857, 78179.5390625, 107990.796875, 77053.9375, 45327.45703125, 125157.5859375, 124725.9609375, 43872.0, 48103.0, 43286.0, 49892.0, -1.7194494009017944, -2.26772141456604, 1128.0
513692, 0.045399587601423264, -0.27699413895606995, 1.3645304441452026, 0.18326741456985474, -0.009554346092045307, -0.023541858419775963, 78174.3359375, 107995.0234375, 77062.0, 45325.8671875, 125148.015625, 124731.0703125, 43663.0, 47787.0, 43847.0, 49952.0, -1.704468011856079, -2.0816142559051514, 1128.0
513712, 0.050979677587747574, -0.2773568332195282, 1.3637607097625732, 0.19327054917812347, -0.009482428431510925, -0.021150486543774605, 78179.5390625, 107992.1640625, 77052.1640625, 45326.50390625, 125147.1015625, 124730.4140625, 43881.0, 46878.0, 43420.0, 50999.0, -1.6821751594543457, -1.9232012033462524, 1120.0
513732, 0.0548061728477478, -0.27767089009284973, 1.3632739782333374, 0.19902324676513672, -0.009486678056418896, -0.0185575932264328, 78183.28125, 107991.5390625, 77059.2578125, 45326.8203125, 125157.3203125, 124729.5, 44622.0, 47170.0, 43038.0, 50336.0, -1.6578813791275024, -1.7658090591430664, 1120.0
