timeTick, stateX, stateY, stateZ, stateVX, stateVY, stateVZ, whisker1, whisker2, whisker3, motor1, motor2, motor3, motor4, yaw, kalX, kalY, kalZ, kalPX, kalPY, kalPZ
1016831, 0.0, 0.0, 93.59780883789062, 0.0, 0.0, -0.258636474609375, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -10.49200439453125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
1016841, 0.0, 0.0, 93.5954818725586, 0.0, 0.0, -0.232696533203125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -10.492008209228516, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
1016851, 0.0, 0.0, 93.58682250976562, 0.0, 0.0, -0.865936279296875, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -10.492612838745117, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
1016861, 0.0, 0.0, 93.57903289794922, 0.0, 0.0, -0.778961181640625, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -10.491415977478027, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
1016871, 0.0, 0.0, 93.57257080078125, 0.0, 0.0, -0.646209716796875, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -10.492115020751953, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
1016881, 0.0, 0.0, 93.5667495727539, 0.0, 0.0, -0.582122802734375, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -10.49146556854248, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
1016891, 0.0, 0.0, 93.56424713134766, 0.0, 0.0, -0.250244140625, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -10.49173355102539, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
1016901, 0.0, 0.0, 93.56199645996094, 0.0, 0.0, -0.225067138671875, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -10.492158889770508, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
1016911, 0.0, 0.0, 93.57144927978516, 0.0, 0.0, 0.945281982421875, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -10.492878913879395, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
1016921, 0.0, 0.0, 93.57996368408203, 0.0, 0.0, 0.8514404296875, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -10.494033813476562, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
1016931, 0.0, 0.0, 93.58379364013672, 0.0, 0.0, 0.38299560546875, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -10.494216918945312, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
1016941, 0.0, 0.0, 93.58724212646484, 0.0, 0.0, 0.3448486328125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -10.494436264038086, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
