timeTick, stateX, stateY, stateZ, stateVX, stateVY, stateVZ, motor1, motor2, motor3, motor4, kalX, kalY, kalZ, kalPX, kalPY, kalPZ
702106, 0.0, 0.0, 94.36700439453125, 0.0, 0.0, -0.116729736328125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
702116, 0.0, 0.0, 94.36431121826172, 0.0, 0.0, -0.269317626953125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
702126, 0.0, 0.0, 94.36188507080078, 0.0, 0.0, -0.24261474609375, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
702136, 0.0, 0.0, 94.36134338378906, 0.0, 0.0, -0.054168701171875, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
702146, 0.0, 0.0, 94.36085510253906, 0.0, 0.0, -0.048828125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
702156, 0.0, 0.0, 94.37572479248047, 0.0, 0.0, 1.486968994140625, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
702166, 0.0, 0.0, 94.38910675048828, 0.0, 0.0, 1.33819580078125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
702176, 0.0, 0.0, 94.40060424804688, 0.0, 0.0, 1.149749755859375, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
702186, 0.0, 0.0, 94.41095733642578, 0.0, 0.0, 1.035308837890625, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
702196, 0.0, 0.0, 94.4169921875, 0.0, 0.0, 0.603485107421875, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
702206, 0.0, 0.0, 94.42242431640625, 0.0, 0.0, 0.543212890625, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
702216, 0.0, 0.0, 94.4278564453125, 0.0, 0.0, 0.543212890625, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
702226, 0.0, 0.0, 94.43274688720703, 0.0, 0.0, 0.489044189453125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
702236, 0.0, 0.0, 94.43824005126953, 0.0, 0.0, 0.54931640625, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
702246, 0.0, 0.0, 94.44318389892578, 0.0, 0.0, 0.494384765625, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
702256, 0.0, 0.0, 94.4432601928711, 0.0, 0.0, 0.00762939453125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
702266, 0.0, 0.0, 94.44332885742188, 0.0, 0.0, 0.006866455078125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
702276, 0.0, 0.0, 94.43791961669922, 0.0, 0.0, -0.540924072265625, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
702286, 0.0, 0.0, 94.43305206298828, 0.0, 0.0, -0.48675537109375, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
702296, 0.0, 0.0, 94.43250274658203, 0.0, 0.0, -0.054931640625, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
702306, 0.0, 0.0, 94.4320068359375, 0.0, 0.0, -0.049591064453125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
702316, 0.0, 0.0, 94.42117309570312, 0.0, 0.0, -1.0833740234375, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
702326, 0.0, 0.0, 94.41142272949219, 0.0, 0.0, -0.97503662109375, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
702336, 0.0, 0.0, 94.40592956542969, 0.0, 0.0, -0.54931640625, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
702346, 0.0, 0.0, 94.40098571777344, 0.0, 0.0, -0.494384765625, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
702356, 0.0, 0.0, 94.38668823242188, 0.0, 0.0, -1.42974853515625, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
