timeTick, stateX, stateY, stateZ, stateVX, stateVY, stateVZ, whisker1_1, whisker1_2, whisker1_3, whisker2_1, whisker2_2, whisker2_3, motor1, motor2, motor3, motor4, roll, pitch, whiskerP1_2, whiskerP2_2, laserFront
109761, 0.40891411900520325, 0.016466869041323662, 0.2560339868068695, 0.1777632236480713, -0.0016938645858317614, 0.012664981186389923, 158324.96875, 119338.8828125, 158428.484375, 144461.3125, 132426.34375, 153248.828125, 37696.0, 46026.0, 44763.0, 41557.0, 0.12056521326303482, -0.2501232624053955, 0, 0, 78.0
109781, 0.41259345412254333, 0.01623888872563839, 0.25451990962028503, 0.1782800257205963, -0.002677184995263815, 0.006527990102767944, 158323.015625, 119343.390625, 158428.484375, 144471.875, 132423.9375, 153251.921875, 36439.0, 46819.0, 45579.0, 40274.0, 0.14046581089496613, -0.2503201961517334, 0, 0, 78.0
109801, 0.4158516526222229, 0.01674480177462101, 0.25470802187919617, 0.17762593924999237, -0.0018437575781717896, 0.010639912448823452, 158323.015625, 119338.15625, 158430.4375, 144479.3125, 132437.5, 153241.921875, 36325.0, 46506.0, 45923.0, 41080.0, 0.14599044620990753, -0.16367122530937195, 0, 0, 76.0
109821, 0.41985663771629333, 0.01670055463910103, 0.2563745975494385, 0.17902156710624695, -0.0024450805503875017, 0.021076953038573265, 158319.125, 119344.109375, 158426.53125, 144477.484375, 132429.5, 153254.421875, 37099.0, 46126.0, 45270.0, 41398.0, 0.16183552145957947, -0.1469569206237793, 0, 0, 76.0
109841, 0.42306268215179443, 0.01599053665995598, 0.25683125853538513, 0.17889326810836792, -0.004754944704473019, 0.02455184794962406, 158323.015625, 119341.1015625, 158428.484375, 144478.125, 132433.40625, 153253.09375, 37801.0, 44709.0, 44343.0, 42562.0, 0.15430252254009247, -0.1815323531627655, 0, 0, 76.0
109861, 0.4267076849937439, 0.01665397547185421, 0.26034852862358093, 0.17951560020446777, -0.003414007369428873, 0.04346754774451256, 158321.078125, 119343.328125, 158424.578125, 144476.296875, 132442.328125, 153257.5, 39297.0, 43123.0, 42951.0, 44077.0, 0.1820402592420578, -0.21270599961280823, 0, 0, 78.0
109881, 0.42944854497909546, 0.015413925983011723, 0.26124635338783264, 0.1782500296831131, -0.007016361225396395, 0.04606226086616516, 158319.125, 119344.109375, 158428.484375, 144484.90625, 132438.234375, 153260.59375, 40945.0, 40882.0, 40750.0, 45060.0, 0.1472083181142807, -0.2459523230791092, 0, 0, 78.0
109901, 0.4322736859321594, 0.01543706376105547, 0.26209306716918945, 0.17729908227920532, -0.0071931821294128895, 0.0453803725540638, 158321.078125, 119349.28125, 158420.671875, 144483.078125, 132443.8125, 153266.171875, 42942.0, 38812.0, 38160.0, 46334.0, 0.1554933339357376, -0.2851575016975403, 0, 0, 78.0
109921, 0.4369277060031891, 0.01546014379709959, 0.26295793056488037, 0.18124336004257202, -0.007261525373905897, 0.0436047688126564, 158323.015625, 119353.015625, 158426.53125, 144481.890625, 132447.890625, 153268.078125, 44263.0, 37417.0, 36361.0, 47160.0, 0.1545429527759552, -0.30956941843032837, 0, 0, 78.0
109941, 0.4399619698524475, 0.01603434607386589, 0.26380765438079834, 0.1809009164571762, -0.0058023519814014435, 0.040932267904281616, 158317.171875, 119338.8828125, 158424.578125, 144488.6875, 132445.484375, 153274.984375, 45115.0, 36781.0, 35585.0, 47520.0, 0.12504465878009796, -0.36446037888526917, 0, 0, 78.0
