timestamp,whisker1_1,whisker2_2
1714396624.9074175,[3.33008808],[2.97678387]
1714396624.9178164,[3.33008808],[2.97678387]
1714396624.9282968,[3.40779343],[2.83056857]
1714396624.9387252,[3.40779343],[2.83056857]
1714396624.949021,[3.45089905],[2.59601818]
1714396624.9593408,[3.45089905],[2.59601818]
1714396624.9695265,[3.82232862],[2.73572189]
1714396624.9798217,[3.82232862],[2.73572189]
1714396624.990108,[4.05831717],[2.55666413]
1714396625.0004082,[4.05831717],[2.55666413]
1714396625.0106924,[3.83737882],[2.16718045]
1714396625.0208893,[3.83737882],[2.16718045]
1714396625.031208,[3.34602203],[2.0794304]
1714396625.0415123,[3.34602203],[2.0794304]
1714396625.0519133,[2.36840008],[1.95194067]
1714396625.0622108,[2.36840008],[1.95194067]
1714396625.0725026,[1.40857093],[1.44565417]
1714396625.0827973,[1.40857093],[1.44565417]
1714396625.0931025,[0.77980118],[0.87505302]
1714396625.1034071,[0.77980118],[0.87505302]
1714396625.113686,[0.44522211],[0.60907276]
1714396625.1241136,[-0.05499558],[0.83030973]
1714396625.134419,[-0.05499558],[0.83030973]
1714396625.1447227,[-0.32071624],[1.44796425]
1714396625.155012,[-0.32071624],[1.44796425]
1714396625.1653125,[-0.28787471],[1.58509587]
1714396625.1757855,[-0.28787471],[1.58509587]
1714396625.1860912,[-0.39371792],[1.58524254]
1714396625.1963751,[-0.39371792],[1.58524254]
1714396625.2065809,[-0.53353326],[1.87929849]
1714396625.2169106,[-0.53353326],[1.87929849]
1714396625.2272043,[-1.19680835],[2.16295429]
1714396625.2377312,[-1.19680835],[2.16295429]
1714396625.248017,[-1.78477015],[2.925308]
1714396625.2583194,[-1.78477015],[2.925308]
1714396625.2687645,[-1.74464559],[3.00952971]
1714396625.2790544,[-1.74464559],[3.00952971]
1714396625.2893565,[-1.5292643],[2.47353464]
1714396625.2996535,[-1.5292643],[2.47353464]
1714396625.3099527,[-1.36032772],[2.86926391]
1714396625.3202467,[-1.36032772],[2.86926391]
1714396625.3308177,[-0.76132819],[3.69439871]
1714396625.3411074,[-0.76132819],[3.69439871]
1714396625.3514001,[-0.43235865],[3.6526785]
1714396625.3617105,[-0.43235865],[3.6526785]
1714396625.3720126,[-0.45555176],[3.22166023]
1714396625.3823464,[-0.45555176],[3.22166023]
1714396625.3926432,[-0.20699442],[3.76459776]
1714396625.402928,[-0.16600731],[4.32184791]
1714396625.4132211,[-0.16600731],[4.32184791]
1714396625.4235098,[-0.48939835],[4.5120616]
1714396625.4338005,[-0.48939835],[4.5120616]
1714396625.4440892,[-0.64284806],[4.53905763]
1714396625.4545505,[-0.64284806],[4.53905763]
1714396625.4648547,[-0.51015752],[4.25865858]
1714396625.475277,[-0.51015752],[4.25865858]
1714396625.4856195,[-0.39243681],[3.86786718]
1714396625.4959967,[-0.39243681],[3.86786718]
1714396625.506256,[-0.6026428],[3.59661963]
1714396625.5165584,[-0.6026428],[3.59661963]
1714396625.5268803,[-0.65514773],[3.99202376]
1714396625.537164,[-0.65514773],[3.99202376]
1714396625.5474403,[-0.16370796],[4.8336549]
1714396625.5578656,[-0.16370796],[4.8336549]
1714396625.5682917,[0.74255734],[5.43836003]
1714396625.5785866,[0.74255734],[5.43836003]
1714396625.5890222,[1.67960196],[5.83196865]
1714396625.5993142,[1.67960196],[5.83196865]
1714396625.60961,[2.37451607],[6.43581775]
1714396625.619909,[2.37451607],[6.43581775]
1714396625.6302063,[3.34707226],[6.84686684]
1714396625.6405094,[3.34707226],[6.84686684]
1714396625.6508214,[4.40839379],[6.88742222]
1714396625.6610775,[4.40839379],[6.88742222]
1714396625.6713781,[4.69520092],[6.36442218]
1714396625.6816833,[4.69520092],[6.36442218]
1714396625.6919868,[5.07970318],[5.46781519]
1714396625.702269,[5.07970318],[5.46781519]
1714396625.7125509,[6.13433294],[5.21623911]
1714396625.72303,[6.13433294],[5.21623911]
1714396625.7332742,[6.90689846],[5.28469451]
1714396625.7435594,[6.90689846],[5.28469451]
1714396625.7538557,[8.46130002],[5.20308815]
1714396625.7641375,[10.10287607],[5.36772445]
1714396625.7745667,[10.10287607],[5.36772445]
1714396625.7848606,[11.07955429],[5.96746258]
1714396625.795157,[11.07955429],[5.96746258]
1714396625.805474,[12.65509776],[6.69990387]
1714396625.8157747,[12.65509776],[6.69990387]
1714396625.8260634,[14.31230321],[7.76628925]
1714396625.8363552,[14.31230321],[7.76628925]
1714396625.8466613,[16.19712212],[8.87528081]
1714396625.85685,[16.19712212],[8.87528081]
1714396625.8672693,[18.95564826],[10.635382]
1714396625.8775675,[18.95564826],[10.635382]
1714396625.887857,[21.36562819],[12.50221294]
1714396625.898135,[21.36562819],[12.50221294]
1714396625.9084477,[23.50951104],[14.57116141]
1714396625.918732,[23.50951104],[14.57116141]
1714396625.9290075,[26.15628442],[17.79328116]
1714396625.9393065,[26.15628442],[17.79328116]
1714396625.9496186,[28.50624074],[21.00609009]
1714396625.9599047,[28.50624074],[21.00609009]
1714396625.9705365,[30.3668597],[23.57560269]
1714396625.9808106,[30.3668597],[23.57560269]
