whisker1_1,whisker1_2,whisker1_3,whisker2_1,whisker2_2,whisker2_3,WhiskerGT1,WhiskerGT2
-10.777995286547522,-8.410530682450698,-9.093989607702767,9.294134038485725,-11.13136558952055,20.880598962530005,0.0,0.0
-10.815168492769068,-9.75833773924596,-9.405484930510838,10.234958285993219,-11.559879408959556,20.309129492139473,0.0,0.0
-10.887147168252415,-9.88454610680407,-9.361242386473423,12.74800005479709,-9.761699668029124,21.941068594759873,0.0,0.0
-11.28815883050543,-8.842169326474622,-9.384399370633016,13.798720517045592,-8.899178913800515,23.274112248625087,0.0,0.0
-11.602421488208979,-7.727405281072274,-9.146733755161927,13.159892127908655,-8.745154153967967,25.07782993069624,0.0,0.0
-12.16317099289537,-7.038659282473121,-9.652865612494093,11.695705205384355,-8.495100938303692,27.677755951804915,0.0,0.0
-12.27517200865639,-6.401018754067163,-10.656144059836247,10.99935635817424,-9.430327769141591,27.751948445292747,0.0,0.0
-12.391526809835241,-6.86736492363204,-11.377124242821502,11.61709966863057,-9.050355518563569,27.319818359981905,0.0,0.0
-12.510337933236023,-6.773025140564325,-11.599803175545768,11.979974447035895,-8.644957468431585,26.828218034253798,0.0,0.0
-12.324359535165499,-5.473197992270562,-11.79313757744561,12.294726902289034,-10.151931079063953,25.808635809354897,0.0,0.0
-13.155940156147803,-6.206548875610551,-12.271967537722007,13.585849830182747,-11.222403285743098,24.834310550727366,0.0,0.0
-14.05765225044055,-6.642293437644941,-12.328556014975543,13.905210526911354,-12.353850944550953,24.292256396682447,0.0,0.0
-14.393384821121133,-7.231036078471633,-12.407509174290643,14.67060707951837,-12.559030024990836,26.53246195607285,0.0,0.0
-14.039488073359536,-7.449964299980148,-12.50115564310047,15.640243806662514,-10.788557342183985,28.931949990299383,0.0,0.0
-12.614750827594381,-6.7171105114130745,-12.604288277309776,15.860006152061857,-9.234072248748664,28.657657727060833,0.0,0.0
-12.61382309754066,-7.118293138006235,-13.325299750668801,16.948739648610356,-8.432734097864746,29.266606719484933,0.0,0.0
-13.262472717137252,-7.5650237314675355,-13.846167273671911,16.628781069252643,-9.314148913807092,32.261848977569194,0.0,0.0
