Timestamp,app.PreprocessWhisker1_1,app.PreprocessWhisker1_2,app.PreprocessWhisker1_3,app.PreprocessWhisker2_1,app.PreprocessWhisker2_2,app.PreprocessWhisker2_3,app.stateInnerLoop,app.stateOuterLoop
137430,22.2808399200439,22.993070602417,-170.230911254883,28.8213768005371,12.1713666915894,50.9967498779297,2,2
137450,22.2808399200439,22.993070602417,-170.230911254883,28.8213768005371,12.1713666915894,50.9967498779297,2,2
137470,22.2808399200439,22.993070602417,-170.230911254883,28.8213768005371,12.1713666915894,50.9967498779297,2,2
137490,22.2808399200439,22.993070602417,-170.230911254883,28.8213768005371,12.1713666915894,50.9967498779297,2,2
137510,22.2808399200439,22.993070602417,-170.230911254883,28.8213768005371,12.1713666915894,50.9967498779297,2,2
137530,22.2808399200439,22.993070602417,-170.230911254883,28.8213768005371,12.1713666915894,50.9967498779297,2,2
137550,22.2808399200439,22.993070602417,-170.230911254883,28.8213768005371,12.1713666915894,50.9967498779297,2,2
137570,22.2808399200439,22.993070602417,-170.230911254883,28.8213768005371,12.1713666915894,50.9967498779297,2,2
137590,22.2808399200439,22.993070602417,-170.230911254883,28.8213768005371,12.1713666915894,50.9967498779297,2,2
137610,22.2808399200439,22.993070602417,-170.230911254883,28.8213768005371,12.1713666915894,50.9967498779297,2,2
137630,22.2808399200439,22.993070602417,-170.230911254883,28.8213768005371,12.1713666915894,50.9967498779297,2,2
137650,22.2808399200439,22.993070602417,-170.230911254883,28.8213768005371,12.1713666915894,50.9967498779297,2,2
137670,22.2808399200439,22.993070602417,-170.230911254883,28.8213768005371,12.1713666915894,50.9967498779297,2,2
137690,22.2808399200439,22.993070602417,-170.230911254883,28.8213768005371,12.1713666915894,50.9967498779297,2,2
137710,22.2808399200439,22.993070602417,-170.230911254883,28.8213768005371,12.1713666915894,50.9967498779297,2,2
137730,22.2808399200439,22.993070602417,-170.230911254883,28.8213768005371,12.1713666915894,50.9967498779297,2,2
137750,22.2808399200439,22.993070602417,-170.230911254883,28.8213768005371,12.1713666915894,50.9967498779297,2,2
137770,22.2808399200439,22.993070602417,-170.230911254883,28.8213768005371,12.1713666915894,50.9967498779297,2,2
137790,22.2808399200439,22.993070602417,-170.230911254883,28.8213768005371,12.1713666915894,50.9967498779297,2,2
137810,22.2808399200439,22.993070602417,-170.230911254883,28.8213768005371,12.1713666915894,50.9967498779297,2,2
137830,22.2808399200439,22.993070602417,-170.230911254883,28.8213768005371,12.1713666915894,50.9967498779297,2,2
137850,22.2808399200439,22.993070602417,-170.230911254883,28.8213768005371,12.1713666915894,50.9967498779297,2,2
137870,22.2808399200439,22.993070602417,-170.230911254883,28.8213768005371,12.1713666915894,50.9967498779297,2,2
137890,22.2808399200439,22.993070602417,-170.230911254883,28.8213768005371,12.1713666915894,50.9967498779297,2,2
137910,22.2808399200439,22.993070602417,-170.230911254883,28.8213768005371,12.1713666915894,50.9967498779297,2,2
137930,22.2808399200439,22.993070602417,-170.230911254883,28.8213768005371,12.1713666915894,50.9967498779297,2,2
137950,22.2808399200439,22.993070602417,-170.230911254883,28.8213768005371,12.1713666915894,50.9967498779297,2,2
137970,22.2808399200439,22.993070602417,-170.230911254883,28.8213768005371,12.1713666915894,50.9967498779297,2,2
137990,22.2808399200439,22.993070602417,-170.230911254883,28.8213768005371,12.1713666915894,50.9967498779297,2,2
138010,22.2808399200439,22.993070602417,-170.230911254883,28.8213768005371,12.1713666915894,50.9967498779297,2,2
138030,22.2808399200439,22.993070602417,-170.230911254883,28.8213768005371,12.1713666915894,50.9967498779297,2,2
138050,22.2808399200439,22.993070602417,-170.230911254883,28.8213768005371,12.1713666915894,50.9967498779297,2,2
138070,22.2808399200439,22.993070602417,-170.230911254883,28.8213768005371,12.1713666915894,50.9967498779297,2,2
138090,22.2808399200439,22.993070602417,-170.230911254883,28.8213768005371,12.1713666915894,50.9967498779297,2,2
138110,22.2808399200439,22.993070602417,-170.230911254883,28.8213768005371,12.1713666915894,50.9967498779297,2,2
138130,22.2808399200439,22.993070602417,-170.230911254883,28.8213768005371,12.1713666915894,50.9967498779297,2,2
138150,22.2808399200439,22.993070602417,-170.230911254883,28.8213768005371,12.1713666915894,50.9967498779297,2,2
138170,22.2808399200439,22.993070602417,-170.230911254883,28.8213768005371,12.1713666915894,50.9967498779297,2,2
138190,22.2808399200439,22.993070602417,-170.230911254883,28.8213768005371,12.1713666915894,50.9967498779297,2,2
138210,22.2808399200439,22.993070602417,-170.230911254883,28.8213768005371,12.1713666915894,50.9967498779297,2,2
138230,22.2808399200439,22.993070602417,-170.230911254883,28.8213768005371,12.1713666915894,50.9967498779297,2,2
138250,22.2808399200439,22.993070602417,-170.230911254883,28.8213768005371,12.1713666915894,50.9967498779297,2,2
138270,22.2808399200439,22.993070602417,-170.230911254883,28.8213768005371,12.1713666915894,50.9967498779297,2,2
138290,22.2808399200439,22.993070602417,-170.230911254883,28.8213768005371,12.1713666915894,50.9967498779297,2,2
138310,22.2808399200439,22.993070602417,-170.230911254883,28.8213768005371,12.1713666915894,50.9967498779297,2,2
138330,22.2808399200439,22.993070602417,-170.230911254883,28.8213768005371,12.1713666915894,50.9967498779297,2,2
138350,22.2808399200439,22.993070602417,-170.230911254883,28.8213768005371,12.1713666915894,50.9967498779297,2,2
138370,22.2808399200439,22.993070602417,-170.230911254883,28.8213768005371,12.1713666915894,50.9967498779297,2,2
138390,22.2808399200439,22.993070602417,-170.230911254883,28.8213768005371,12.1713666915894,50.9967498779297,2,2
138410,22.2808399200439,22.993070602417,-170.230911254883,28.8213768005371,12.1713666915894,50.9967498779297,2,2
