Timestamp,Whisker.Barometer1_1,Whisker.Barometer1_2,Whisker.Barometer1_3,Whisker1.Barometer2_1,Whisker1.Barometer2_2,Whisker1.Barometer2_3
129833,114277.765625,149077.578125,89875.5546875,111566.4375,137445.4375,96747.25
129853,114273.4375,149068.78125,89876.7109375,111562.15625,137434.0625,96738.6796875
129873,114265.4921875,149068.78125,89874.3984375,111562.09375,137434.59375,96739.9375
129893,114253.96875,149072.953125,89873.609375,111543.5625,137437.390625,96743.21875
129913,114240.2421875,149079.4375,89874.3984375,111534.3046875,137445.4375,96744.7265625
129933,114243.859375,149078.03125,89877.5,111517.1640625,137440.890625,96748.0078125
129953,114233.7578125,149069.234375,89881.3984375,111501.4140625,137440.890625,96752.0390625
129973,114245.3203125,149075.71875,89880.609375,111504.25,137445.4375,96745.9921875
129993,114249.640625,149071.546875,89874.765625,111501.4140625,137443.15625,96750.0234375
130013,114249.609375,149079.4375,89867.3984375,111525.671875,137441.40625,96750.5234375
130033,114264.7890625,149071.546875,89871.6640625,111537.140625,137443.6875,96745.9921875
130053,114271.984375,149071.546875,89865.8203125,111557.109375,137443.15625,96742.7109375
130073,114271.984375,149066.921875,89859.9765625,111557.109375,137449.984375,96742.7109375
130093,114267.65625,149068.78125,89858.8203125,111560.703125,137434.59375,96756.0703125
130113,114259.0078125,149071.09375,89855.71875,111543.5625,137443.15625,96748.0078125
130133,114252.515625,149077.578125,89863.875,111537.828125,137439.140625,96750.0234375
130153,114248.1875,149080.34375,89862.71875,111522.140625,137450.515625,96752.7890625
130173,114251.0625,149071.09375,89865.453125,111520.6953125,137448.234375,96752.7890625
130193,114254.6796875,149086.828125,89858.03125,111515.7109375,137441.40625,96751.28125
130213,114251.0625,149079.890625,89853.7734375,111522.140625,137448.234375,96752.7890625
130233,114264.078125,149069.234375,89859.9765625,111520.6953125,137445.953125,96748.7578125
130253,114259.7109375,149076.171875,89849.0859375,111537.140625,137440.1875,96748.7578125
130273,114267.65625,149080.796875,89856.0859375,111544.2578125,137441.9375,96750.7734375
130293,114268.3671875,149080.796875,89852.984375,111552.1328125,137441.9375,96750.0234375
130313,114267.65625,149082.203125,89851.03125,111557.109375,137444.203125,96748.7578125
